year,month,state,fips,dead
1999,08,Missouri,29,4134
1999,08,Montana,30,617
1999,08,Nebraska,31,1163
1999,08,Nevada,32,1112
1999,08,New Hampshire,33,735
1999,08,New Jersey,34,5622
1999,08,New Mexico,35,1046
1999,08,New York,36,12084
1999,08,North Carolina,37,5368
1999,08,North Dakota,38,471
1999,08,Ohio,39,8098
1999,08,Oklahoma,40,2593
1999,08,Oregon,41,2247
1999,08,Pennsylvania,42,9803
1999,08,Rhode Island,44,778
1999,08,South Carolina,45,2684
1999,08,South Dakota,46,499
1999,08,Tennessee,47,4191
1999,08,Texas,48,11626
1999,08,Utah,49,965
1999,08,Vermont,50,378
1999,08,Virginia,51,4107
1999,08,Washington,53,3320
1999,08,West Virginia,54,1567
1999,08,Wisconsin,55,3507
1999,08,Wyoming,56,325
1999,09,Alabama,01,3450
1999,09,Alaska,02,236
1999,09,Arizona,04,2920
1999,09,Arkansas,05,2053
1999,09,California,06,16945
1999,09,Colorado,08,2078
1999,09,Connecticut,09,2129
1999,09,Delaware,10,511
1999,09,District of Columbia,11,463
1999,09,Florida,12,12409
1999,09,Georgia,13,4705
1999,09,Hawaii,15,614
1999,09,Idaho,16,777
1999,09,Illinois,17,8091
1999,09,Indiana,18,4166
1999,09,Iowa,19,2191
1999,09,Kansas,20,1819
1999,09,Kentucky,21,3021
1999,09,Louisiana,22,3124
1999,09,Maine,23,940
1999,09,Maryland,24,3390
1999,09,Massachusetts,25,4099
1999,09,Michigan,26,6706
1999,09,Minnesota,27,2981
1999,09,Mississippi,28,2145
1999,09,Missouri,29,4266
1999,09,Montana,30,643
1999,09,Nebraska,31,1173
1999,09,Nevada,32,1120
1999,09,New Hampshire,33,674
1999,09,New Jersey,34,5462
1999,09,New Mexico,35,1037
1999,09,New York,36,12001
1999,09,North Carolina,37,5361
1999,09,North Dakota,38,471
1999,09,Ohio,39,8116
1999,09,Oklahoma,40,2617
1999,09,Oregon,41,2243
1999,09,Pennsylvania,42,9811
1999,09,Rhode Island,44,718
1999,09,South Carolina,45,2770
1999,09,South Dakota,46,522
1999,09,Tennessee,47,4046
1999,09,Texas,48,10948
1999,09,Utah,49,927
1999,09,Vermont,50,391
1999,09,Virginia,51,4226
1999,09,Washington,53,3345
1999,09,West Virginia,54,1529
1999,09,Wisconsin,55,3601
1999,09,Wyoming,56,329
1999,10,Alabama,01,3541
1999,10,Alaska,02,242
1999,10,Arizona,04,3163
1999,10,Arkansas,05,2295
1999,10,California,06,18094
1999,10,Colorado,08,2216
1999,10,Connecticut,09,2375
1999,10,Delaware,10,541
1999,10,District of Columbia,11,512
1999,10,Florida,12,13546
1999,10,Georgia,13,4995
1999,10,Hawaii,15,669
1999,10,Idaho,16,811
1999,10,Illinois,17,8846
1999,10,Indiana,18,4492
1999,10,Iowa,19,2379
1999,10,Kansas,20,2092
1999,10,Kentucky,21,3159
1999,10,Louisiana,22,3327
1999,10,Maine,23,1097
1999,10,Maryland,24,3493
1999,10,Massachusetts,25,4669
1999,10,Michigan,26,7238
1999,10,Minnesota,27,3264
1999,10,Mississippi,28,2296
1999,10,Missouri,29,4591
1999,10,Montana,30,698
1999,10,Nebraska,31,1320
1999,10,Nevada,32,1246
1999,10,New Hampshire,33,847
1999,10,New Jersey,34,6060
1999,10,New Mexico,35,1074
1999,10,New York,36,13092
1999,10,North Carolina,37,5665
1999,10,North Dakota,38,491
1999,10,Ohio,39,8800
1999,10,Oklahoma,40,2933
