date,age,covid,all
2002-11,15-24,,2686
2002-12,15-24,,2663
2003-01,15-24,,2550
2003-02,15-24,,2326
2003-03,15-24,,2666
2003-04,15-24,,2627
2003-05,15-24,,2882
2003-06,15-24,,2992
2003-07,15-24,,3077
2003-08,15-24,,3119
2003-09,15-24,,2762
2003-10,15-24,,2841
2003-11,15-24,,2885
2003-12,15-24,,2841
2004-01,15-24,,2811
2004-02,15-24,,2483
2004-03,15-24,,2688
2004-04,15-24,,2616
2004-05,15-24,,2991
2004-06,15-24,,2841
2004-07,15-24,,3147
2004-08,15-24,,3038
2004-09,15-24,,2764
2004-10,15-24,,2750
2004-11,15-24,,2574
2004-12,15-24,,2718
2005-01,15-24,,2641
2005-02,15-24,,2422
2005-03,15-24,,2817
2005-04,15-24,,2828
2005-05,15-24,,2898
2005-06,15-24,,2981
2005-07,15-24,,3295
2005-08,15-24,,3012
2005-09,15-24,,2797
2005-10,15-24,,2965
2005-11,15-24,,2762
2005-12,15-24,,2816
2006-01,15-24,,2711
2006-02,15-24,,2489
2006-03,15-24,,2773
2006-04,15-24,,2953
2006-05,15-24,,3076
2006-06,15-24,,3069
2006-07,15-24,,3329
2006-08,15-24,,2982
2006-09,15-24,,2837
2006-10,15-24,,3074
2006-11,15-24,,2776
2006-12,15-24,,2818
2007-01,15-24,,2786
2007-02,15-24,,2423
2007-03,15-24,,2905
2007-04,15-24,,2853
2007-05,15-24,,2889
2007-06,15-24,,3032
2007-07,15-24,,3133
2007-08,15-24,,3020
2007-09,15-24,,2782
2007-10,15-24,,2771
2007-11,15-24,,2705
2007-12,15-24,,2683
2008-01,15-24,,2658
2008-02,15-24,,2493
2008-03,15-24,,2647
2008-04,15-24,,2592
2008-05,15-24,,2719
2008-06,15-24,,2776
2008-07,15-24,,2816
2008-08,15-24,,2859
2008-09,15-24,,2679
2008-10,15-24,,2665
2008-11,15-24,,2644
2008-12,15-24,,2650
2009-01,15-24,,2461
2009-02,15-24,,2253
2009-03,15-24,,2494
2009-04,15-24,,2509
2009-05,15-24,,2706
2009-06,15-24,,2601
2009-07,15-24,,2704
2009-08,15-24,,2756
2009-09,15-24,,2551
2009-10,15-24,,2554
2009-11,15-24,,2411
2009-12,15-24,,2416
2010-01,15-24,,2317
2010-02,15-24,,2082
2010-03,15-24,,2410
2010-04,15-24,,2447
2010-05,15-24,,2675
2010-06,15-24,,2514
2010-07,15-24,,2749
2010-08,15-24,,2661
2010-09,15-24,,2418
2010-10,15-24,,2579
2010-11,15-24,,2354
2010-12,15-24,,2345
2011-01,15-24,,2299
2011-02,15-24,,2154
2011-03,15-24,,2444
2011-04,15-24,,2428
2011-05,15-24,,2583
2011-06,15-24,,2464
2011-07,15-24,,2816
2011-08,15-24,,2680
2011-09,15-24,,2452
2011-10,15-24,,2556
2011-11,15-24,,2410
2011-12,15-24,,2381
2012-01,15-24,,2412
2012-02,15-24,,2121
2012-03,15-24,,2417
2012-04,15-24,,2390
2012-05,15-24,,2456
2012-06,15-24,,2577
2012-07,15-24,,2675
2012-08,15-24,,2514
2012-09,15-24,,2511
2012-10,15-24,,2393
2012-11,15-24,,2334
2012-12,15-24,,2382
2013-01,15-24,,2403
2013-02,15-24,,2030
2013-03,15-24,,2524
2013-04,15-24,,2244
2013-05,15-24,,2395
2013-06,15-24,,2533
2013-07,15-24,,2595
2013-08,15-24,,2501
2013-09,15-24,,2311
2013-10,15-24,,2306
2013-11,15-24,,2287
2013-12,15-24,,2357
2014-01,15-24,,2362
2014-02,15-24,,2030
2014-03,15-24,,2399
2014-04,15-24,,2244
2014-05,15-24,,2360
2014-06,15-24,,2433
2014-07,15-24,,2513
2014-08,15-24,,2522
2014-09,15-24,,2340
2014-10,15-24,,2535
2014-11,15-24,,2549
2014-12,15-24,,2504
2015-01,15-24,,2537
2015-02,15-24,,2073
2015-03,15-24,,2433
2015-04,15-24,,2467
2015-05,15-24,,2658
2015-06,15-24,,2633
2015-07,15-24,,2779
2015-08,15-24,,2776
2015-09,15-24,,2476
2015-10,15-24,,2638
2015-11,15-24,,2455
2015-12,15-24,,2569
2016-01,15-24,,2471
2016-02,15-24,,2435
2016-03,15-24,,2761
