age,date,state,dead
all,2021-03,North Dakota,12
all,2021-03,Ohio,600
all,2021-03,Oklahoma,256
all,2021-03,Oregon,101
all,2021-03,Pennsylvania,791
all,2021-03,Rhode Island,61
all,2021-03,South Carolina,451
all,2021-03,South Dakota,31
all,2021-03,Tennessee,459
all,2021-03,Texas,2334
all,2021-03,Utah,80
all,2021-03,Vermont,19
all,2021-03,Virginia,530
all,2021-03,Washington,156
all,2021-03,West Virginia,98
all,2021-03,Wisconsin,128
all,2021-03,Wyoming,10
all,2021-04,Alabama,200
all,2021-04,Alaska,14
all,2021-04,Arizona,197
all,2021-04,Arkansas,65
all,2021-04,California,791
all,2021-04,Colorado,161
all,2021-04,Connecticut,170
all,2021-04,Delaware,57
all,2021-04,District of Columbia,39
all,2021-04,Florida,1269
all,2021-04,Georgia,443
all,2021-04,Hawaii,11
all,2021-04,Idaho,63
all,2021-04,Illinois,709
all,2021-04,Indiana,193
all,2021-04,Iowa,84
all,2021-04,Kansas,60
all,2021-04,Kentucky,181
all,2021-04,Louisiana,152
all,2021-04,Maine,51
all,2021-04,Maryland,447
all,2021-04,Massachusetts,229
all,2021-04,Michigan,1581
all,2021-04,Minnesota,237
all,2021-04,Mississippi,131
all,2021-04,Missouri,181
all,2021-04,Montana,20
all,2021-04,Nebraska,49
all,2021-04,Nevada,131
all,2021-04,New Hampshire,35
all,2021-04,New Jersey,919
all,2021-04,New Mexico,57
all,2021-04,New York,1779
all,2021-04,North Carolina,398
all,2021-04,North Dakota,16
all,2021-04,Ohio,556
all,2021-04,Oklahoma,129
all,2021-04,Oregon,93
all,2021-04,Pennsylvania,1104
all,2021-04,Rhode Island,40
all,2021-04,South Carolina,304
all,2021-04,South Dakota,31
all,2021-04,Tennessee,398
all,2021-04,Texas,1241
all,2021-04,Utah,50
all,2021-04,Vermont,12
all,2021-04,Virginia,428
all,2021-04,Washington,191
all,2021-04,West Virginia,116
all,2021-04,Wisconsin,149
all,2021-05,Alabama,189
all,2021-05,Alaska,27
all,2021-05,Arizona,206
all,2021-05,Arkansas,76
all,2021-05,California,530
all,2021-05,Colorado,274
all,2021-05,Connecticut,101
all,2021-05,Delaware,33
all,2021-05,District of Columbia,22
all,2021-05,Florida,1151
all,2021-05,Georgia,341
all,2021-05,Hawaii,22
all,2021-05,Idaho,54
all,2021-05,Illinois,728
all,2021-05,Indiana,260
all,2021-05,Iowa,79
all,2021-05,Kansas,74
all,2021-05,Kentucky,164
all,2021-05,Louisiana,161
all,2021-05,Maine,58
all,2021-05,Maryland,287
all,2021-05,Massachusetts,156
all,2021-05,Michigan,1213
all,2021-05,Minnesota,190
all,2021-05,Mississippi,125
all,2021-05,Missouri,163
all,2021-05,Montana,25
all,2021-05,Nebraska,35
all,2021-05,Nevada,99
all,2021-05,New Hampshire,40
all,2021-05,New Jersey,441
all,2021-05,New Mexico,76
all,2021-05,New York,852
all,2021-05,North Carolina,437
all,2021-05,North Dakota,21
all,2021-05,Ohio,460
all,2021-05,Oklahoma,88
all,2021-05,Oregon,189
all,2021-05,Pennsylvania,772
all,2021-05,Rhode Island,34
all,2021-05,South Carolina,192
all,2021-05,South Dakota,19
all,2021-05,Tennessee,357
all,2021-05,Texas,1020
all,2021-05,Utah,47
all,2021-05,Virginia,303
all,2021-05,Washington,223
all,2021-05,West Virginia,120
all,2021-05,Wisconsin,132
all,2021-05,Wyoming,21
all,2021-06,Alabama,116
all,2021-06,Arizona,147
all,2021-06,Arkansas,117
all,2021-06,California,341
all,2021-06,Colorado,166
all,2021-06,Connecticut,21
all,2021-06,Delaware,16
all,2021-06,Florida,696
all,2021-06,Georgia,184
all,2021-06,Hawaii,11
all,2021-06,Idaho,46
all,2021-06,Illinois,317
all,2021-06,Indiana,167
all,2021-06,Iowa,35
all,2021-06,Kansas,50
all,2021-06,Kentucky,120
all,2021-06,Louisiana,111
all,2021-06,Maine,28
all,2021-06,Maryland,91
all,2021-06,Massachusetts,68
all,2021-06,Michigan,307
all,2021-06,Minnesota,89
all,2021-06,Mississippi,72
all,2021-06,Missouri,249
all,2021-06,Montana,31
all,2021-06,Nebraska,12
all,2021-06,Nevada,97
all,2021-06,New Hampshire,11
all,2021-06,New Jersey,122
all,2021-06,New Mexico,52
all,2021-06,New York,302
all,2021-06,North Carolina,214
all,2021-06,Ohio,235
all,2021-06,Oklahoma,97
all,2021-06,Oregon,91
all,2021-06,Pennsylvania,268
all,2021-06,Rhode Island,13
all,2021-06,South Carolina,86
all,2021-06,Tennessee,157
all,2021-06,Texas,628
all,2021-06,Utah,61
all,2021-06,Virginia,135
all,2021-06,Washington,178
all,2021-06,West Virginia,64
all,2021-06,Wisconsin,53
all,2021-06,Wyoming,27
all,2021-07,Alabama,256
all,2021-07,Alaska,21
all,2021-07,Arizona,266
all,2021-07,Arkansas,371
all,2021-07,California,695
all,2021-07,Colorado,165
all,2021-07,Connecticut,15
all,2021-07,Delaware,10
all,2021-07,Florida,1777
all,2021-07,Georgia,269
all,2021-07,Hawaii,23
all,2021-07,Idaho,51
all,2021-07,Illinois,216
all,2021-07,Indiana,129
all,2021-07,Iowa,45
all,2021-07,Kansas,129
all,2021-07,Kentucky,158
all,2021-07,Louisiana,315
all,2021-07,Maine,11
all,2021-07,Maryland,65
all,2021-07,Massachusetts,51
all,2021-07,Michigan,96
all,2021-07,Minnesota,43
all,2021-07,Mississippi,197
all,2021-07,Missouri,686
all,2021-07,Montana,38
all,2021-07,Nebraska,38
all,2021-07,Nevada,355
all,2021-07,New Hampshire,10
all,2021-07,New Jersey,100
all,2021-07,New Mexico,35
all,2021-07,New York,169
all,2021-07,North Carolina,268
all,2021-07,Ohio,164
all,2021-07,Oklahoma,225
all,2021-07,Oregon,76
all,2021-07,Pennsylvania,127
all,2021-07,South Carolina,126
all,2021-07,Tennessee,223
all,2021-07,Texas,1181
all,2021-07,Utah,104
all,2021-07,Virginia,98
all,2021-07,Washington,143
all,2021-07,West Virginia,38
all,2021-07,Wisconsin,48
all,2021-07,Wyoming,41
all,2021-08,Alabama,1661
all,2021-08,Alaska,93
all,2021-08,Arizona,745
all,2021-08,Arkansas,899
all,2021-08,California,3198
all,2021-08,Colorado,259
all,2021-08,Connecticut,107
all,2021-08,Delaware,56
all,2021-08,District of Columbia,27
all,2021-08,Florida,9641
all,2021-08,Georgia,2556
all,2021-08,Hawaii,151
all,2021-08,Idaho,206
all,2021-08,Illinois,749
all,2021-08,Indiana,575
all,2021-08,Iowa,162
all,2021-08,Kansas,392
all,2021-08,Kentucky,833
all,2021-08,Louisiana,1655
all,2021-08,Maine,44
all,2021-08,Maryland,207
all,2021-08,Massachusetts,149
all,2021-08,Michigan,376
all,2021-08,Minnesota,148
all,2021-08,Mississippi,1135
all,2021-08,Missouri,1301
all,2021-08,Montana,125
all,2021-08,Nebraska,124
all,2021-08,Nevada,681
all,2021-08,New Hampshire,37
all,2021-08,New Jersey,323
all,2021-08,New Mexico,227
all,2021-08,New York,685
all,2021-08,North Carolina,1531
all,2021-08,North Dakota,21
all,2021-08,Ohio,737
all,2021-08,Oklahoma,1020
all,2021-08,Oregon,561
all,2021-08,Pennsylvania,518
all,2021-08,Rhode Island,31
all,2021-08,South Carolina,1112
all,2021-08,South Dakota,37
all,2021-08,Tennessee,1493
all,2021-08,Texas,6867
all,2021-08,Utah,209
all,2021-08,Vermont,11
all,2021-08,Virginia,516
all,2021-08,Washington,607
all,2021-08,West Virginia,190
all,2021-08,Wisconsin,269
all,2021-08,Wyoming,95
all,2021-09,Alabama,1970
all,2021-09,Alaska,171
all,2021-09,Arizona,1122
all,2021-09,Arkansas,708
all,2021-09,California,4027
all,2021-09,Colorado,456
all,2021-09,Connecticut,161
all,2021-09,Delaware,124
all,2021-09,District of Columbia,35
all,2021-09,Florida,7656
all,2021-09,Georgia,3532
all,2021-09,Hawaii,237
all,2021-09,Idaho,584
all,2021-09,Illinois,1127
all,2021-09,Indiana,1173
all,2021-09,Iowa,362
all,2021-09,Kansas,489
all,2021-09,Kentucky,1650
all,2021-09,Louisiana,1137
all,2021-09,Maine,123
all,2021-09,Maryland,419
