year,age,dead
2010,13,622
2010,14,827
2010,15,1064
2010,16,1614
2010,17,2049
2010,18,2900
2010,19,3260
2010,20,3456
2010,21,3797
2010,22,3700
2010,23,3713
2010,24,3998
2010,25,3915
2010,26,3959
2010,27,3937
2010,28,4188
2010,29,4264
2010,30,4427
2010,31,4341
2010,32,4390
2010,33,4411
2010,34,4427
2010,35,4759
2010,36,4997
2010,37,5402
2010,38,6030
2010,39,6824
2010,40,7107
2010,41,7594
2010,42,8187
2010,43,8882
2010,44,10251
2010,45,11627
2010,46,13489
2010,47,14718
2010,48,15924
2010,49,17811
2010,50,19263
2010,51,20259
2010,52,22233
2010,53,23362
2010,54,24521
2010,55,25630
2010,56,27040
2010,57,27950
2010,58,29193
2010,59,30148
2010,60,31140
2010,61,32563
2010,62,35571
2010,63,38345
2010,64,33222
2010,65,34379
2010,66,37049
2010,67,40139
2010,68,39193
2010,69,39202
2010,70,40181
2010,71,41586
2010,72,43748
2010,73,44508
2010,74,47166
2010,75,49951
2010,76,50625
2010,77,54012
2010,78,57767
2010,79,60993
2010,80,64957
2010,81,67177
2010,82,71411
2010,83,73119
2010,84,75639
2010,85,78314
2010,86,77674
2010,87,75827
2010,88,75609
2010,89,72013
2010,90,66424
2010,91,56893
2010,92,52726
2010,93,45038
2010,94,38443
2010,95,32683
2010,96,26112
2010,97,19923
2010,98,14945
2010,99,11021
2010,100,21829
2010,NA,126
2011,0,23985
2011,1,1672
2011,2,1063
2011,3,837
2011,4,674
2011,5,571
2011,6,502
2011,7,458
2011,8,483
2011,9,437
2011,10,457
2011,11,478
2011,12,531
2011,13,634
2011,14,850
2011,15,1015
2011,16,1536
2011,17,2010
2011,18,2743
2011,19,3290
2011,20,3404
2011,21,3862
2011,22,3980
2011,23,3976
2011,24,3851
2011,25,4012
2011,26,4100
2011,27,3988
2011,28,4114
2011,29,4358
2011,30,4454
2011,31,4651
2011,32,4663
2011,33,4627
2011,34,4781
2011,35,4757
2011,36,5083
2011,37,5281
2011,38,5847
2011,39,6510
2011,40,7453
2011,41,7816
2011,42,8441
2011,43,8991
2011,44,9714
2011,45,11059
2011,46,12734
2011,47,14488
2011,48,15866
2011,49,17527
2011,50,19331
2011,51,20743
2011,52,22408
2011,53,23696
2011,54,25395
2011,55,26577
2011,56,27949
2011,57,29099
2011,58,29725
2011,59,30922
2011,60,31999
2011,61,32922
2011,62,34963
2011,63,37844
2011,64,41315
2011,65,34544
2011,66,35741
2011,67,38966
2011,68,42848
2011,69,41376
2011,70,41773
2011,71,42217
2011,72,44239
2011,73,46254
2011,74,47094
2011,75,49648
2011,76,52770
2011,77,53114
2011,78,56561
2011,79,60183
2011,80,64593
2011,81,68673
2011,82,70496
2011,83,74190
2011,84,75997
2011,85,77207
2011,86,78410
2011,87,78279
2011,88,75417
2011,89,74599
2011,90,69991
2011,91,62791
2011,92,53805
2011,93,47733
2011,94,39893
2011,95,33411
2011,96,27333
2011,97,21417
2011,98,15858
2011,99,11591
2011,100,22810
2011,NA,134
2012,0,23629
2012,1,1627
2012,2,1079
2012,3,820
2012,4,692
2012,5,547
2012,6,446
2012,7,461
2012,8,427
2012,9,453
2012,10,440
2012,11,471
2012,12,510
2012,13,622
2012,14,823
2012,15,1088
2012,16,1459
2012,17,1839
2012,18,2672
2012,19,3016
2012,20,3409
2012,21,3795
2012,22,4095
2012,23,3839
2012,24,3970
2012,25,3957
2012,26,4127
2012,27,4115
2012,28,4284
2012,29,4509
2012,30,4586
2012,31,4694
2012,32,4666
2012,33,4828
2012,34,4825
2012,35,5011
2012,36,5172
2012,37,5404
2012,38,5622
2012,39,6163
2012,40,7009
2012,41,7924
2012,42,8437
2012,43,8906
2012,44,9514
2012,45,10436
2012,46,11833
2012,47,13724
2012,48,15563
2012,49,16923
2012,50,18901
2012,51,20891
2012,52,22318
2012,53,23538
2012,54,25336
2012,55,27447
2012,56,28607
2012,57,29739
2012,58,31089
2012,59,32096
2012,60,33235
2012,61,34291
2012,62,35562
2012,63,37540
2012,64,40000
2012,65,43332
2012,66,36941
2012,67,38210
2012,68,41710
2012,69,45297
2012,70,43873
2012,71,43899
2012,72,44604
2012,73,46022
2012,74,48458
2012,75,49471
2012,76,52228
2012,77,55335
2012,78,55289
2012,79,59613
2012,80,63071
2012,81,66712
2012,82,70743
2012,83,72321
2012,84,75645
2012,85,77107
2012,86,77501
2012,87,78394
2012,88,77411
2012,89,73849
2012,90,71900
2012,91,65335
2012,92,57024
2012,93,47598
2012,94,42416
2012,95,34396
2012,96,27640
2012,97,22038
2012,98,16723
