type,cause,month,dead
mcd,O00-O99,2007-10,87
mcd,O00-O99,2007-11,83
mcd,O00-O99,2007-12,92
mcd,O00-O99,2008-01,106
mcd,O00-O99,2008-02,109
mcd,O00-O99,2008-03,95
mcd,O00-O99,2008-04,87
mcd,O00-O99,2008-05,114
mcd,O00-O99,2008-06,83
mcd,O00-O99,2008-07,92
mcd,O00-O99,2008-08,96
mcd,O00-O99,2008-09,82
mcd,O00-O99,2008-10,85
mcd,O00-O99,2008-11,86
mcd,O00-O99,2008-12,102
mcd,O00-O99,2009-01,113
mcd,O00-O99,2009-02,98
mcd,O00-O99,2009-03,87
mcd,O00-O99,2009-04,105
mcd,O00-O99,2009-05,126
mcd,O00-O99,2009-06,121
mcd,O00-O99,2009-07,127
mcd,O00-O99,2009-08,98
mcd,O00-O99,2009-09,140
mcd,O00-O99,2009-10,129
mcd,O00-O99,2009-11,109
mcd,O00-O99,2009-12,98
mcd,O00-O99,2010-01,114
mcd,O00-O99,2010-02,111
mcd,O00-O99,2010-03,112
mcd,O00-O99,2010-04,95
mcd,O00-O99,2010-05,133
mcd,O00-O99,2010-06,92
mcd,O00-O99,2010-07,109
mcd,O00-O99,2010-08,96
mcd,O00-O99,2010-09,105
mcd,O00-O99,2010-10,115
mcd,O00-O99,2010-11,116
mcd,O00-O99,2010-12,115
mcd,O00-O99,2011-01,118
mcd,O00-O99,2011-02,120
mcd,O00-O99,2011-03,124
mcd,O00-O99,2011-04,114
mcd,O00-O99,2011-05,103
mcd,O00-O99,2011-06,109
mcd,O00-O99,2011-07,115
mcd,O00-O99,2011-08,133
mcd,O00-O99,2011-09,140
mcd,O00-O99,2011-10,128
mcd,O00-O99,2011-11,121
mcd,O00-O99,2011-12,96
mcd,O00-O99,2012-01,124
mcd,O00-O99,2012-02,123
mcd,O00-O99,2012-03,137
mcd,O00-O99,2012-04,110
mcd,O00-O99,2012-05,109
mcd,O00-O99,2012-06,137
mcd,O00-O99,2012-07,133
mcd,O00-O99,2012-08,135
mcd,O00-O99,2012-09,109
mcd,O00-O99,2012-10,137
mcd,O00-O99,2012-11,126
mcd,O00-O99,2012-12,131
mcd,O00-O99,2013-01,152
mcd,O00-O99,2013-02,136
mcd,O00-O99,2013-03,147
mcd,O00-O99,2013-04,130
mcd,O00-O99,2013-05,127
mcd,O00-O99,2013-06,130
mcd,O00-O99,2013-07,131
mcd,O00-O99,2013-08,136
mcd,O00-O99,2013-09,138
mcd,O00-O99,2013-10,143
mcd,O00-O99,2013-11,140
mcd,O00-O99,2013-12,176
mcd,O00-O99,2014-01,169
mcd,O00-O99,2014-02,126
mcd,O00-O99,2014-03,137
mcd,O00-O99,2014-04,143
mcd,O00-O99,2014-05,122
mcd,O00-O99,2014-06,127
mcd,O00-O99,2014-07,147
mcd,O00-O99,2014-08,117
mcd,O00-O99,2014-09,120
mcd,O00-O99,2014-10,125
mcd,O00-O99,2014-11,140
mcd,O00-O99,2014-12,128
mcd,O00-O99,2015-01,142
mcd,O00-O99,2015-02,117
mcd,O00-O99,2015-03,145
mcd,O00-O99,2015-04,135
mcd,O00-O99,2015-05,130
mcd,O00-O99,2015-06,137
mcd,O00-O99,2015-07,134
mcd,O00-O99,2015-08,137
mcd,O00-O99,2015-09,147
mcd,O00-O99,2015-10,161
mcd,O00-O99,2015-11,145
mcd,O00-O99,2015-12,148
mcd,O00-O99,2016-01,148
mcd,O00-O99,2016-02,129
mcd,O00-O99,2016-03,162
mcd,O00-O99,2016-04,165
mcd,O00-O99,2016-05,153
mcd,O00-O99,2016-06,146
mcd,O00-O99,2016-07,169
mcd,O00-O99,2016-08,153
mcd,O00-O99,2016-09,178
mcd,O00-O99,2016-10,146
mcd,O00-O99,2016-11,158
mcd,O00-O99,2016-12,164
mcd,O00-O99,2017-01,153
mcd,O00-O99,2017-02,140
mcd,O00-O99,2017-03,157
mcd,O00-O99,2017-04,149
mcd,O00-O99,2017-05,146
mcd,O00-O99,2017-06,164
mcd,O00-O99,2017-07,148
mcd,O00-O99,2017-08,164
mcd,O00-O99,2017-09,176
mcd,O00-O99,2017-10,165
mcd,O00-O99,2017-11,157
mcd,O00-O99,2017-12,162
mcd,O00-O99,2018-01,170
mcd,O00-O99,2018-02,149
mcd,O00-O99,2018-03,151
mcd,O00-O99,2018-04,136
mcd,O00-O99,2018-05,124
mcd,O00-O99,2018-06,120
mcd,O00-O99,2018-07,159
mcd,O00-O99,2018-08,158
mcd,O00-O99,2018-09,159
mcd,O00-O99,2018-10,129
mcd,O00-O99,2018-11,129
mcd,O00-O99,2018-12,143
mcd,O00-O99,2019-01,156
mcd,O00-O99,2019-02,148
mcd,O00-O99,2019-03,144
mcd,O00-O99,2019-04,142
mcd,O00-O99,2019-05,171
mcd,O00-O99,2019-06,142
mcd,O00-O99,2019-07,165
mcd,O00-O99,2019-08,160
mcd,O00-O99,2019-09,131
mcd,O00-O99,2019-10,151
mcd,O00-O99,2019-11,165
mcd,O00-O99,2019-12,145
mcd,O00-O99,2020-01,76
mcd,O00-O99,2020-02,84
mcd,O00-O99,2020-03,122
mcd,O00-O99,2020-04,116
mcd,O00-O99,2020-05,126
mcd,O00-O99,2020-06,116
mcd,O00-O99,2020-07,118
mcd,O00-O99,2020-08,123
mcd,O00-O99,2020-09,121
mcd,O00-O99,2020-10,102
mcd,O00-O99,2020-11,104
mcd,O00-O99,2020-12,118
mcd,O00-O99,2021-01,135
mcd,O00-O99,2021-02,97
mcd,O00-O99,2021-03,114
mcd,O00-O99,2021-04,120
mcd,O00-O99,2021-05,124
mcd,O00-O99,2021-06,95
mcd,O00-O99,2021-07,127
mcd,O00-O99,2021-08,211
mcd,O00-O99,2021-09,242
mcd,O00-O99,2021-10,161
mcd,O00-O99,2021-11,139
mcd,O00-O99,2021-12,175
mcd,O00-O99,2022-01,172
mcd,O00-O99,2022-02,111
mcd,O00-O99,2022-03,100
mcd,O00-O99,2022-04,85
mcd,O00-O99,2022-05,89
mcd,O00-O99,2022-06,114
mcd,O00-O99,2022-07,112
mcd,O00-O99,2022-08,97
mcd,O00-O99,2022-09,97
mcd,O00-O99,2022-10,96
mcd,O00-O99,2022-11,117
mcd,O00-O99,2022-12,103
mcd,O00-O99,2023-01,104
mcd,O00-O99,2023-02,84
mcd,O00-O99,2023-03,96
mcd,O00-O99,2023-04,85
mcd,O00-O99,2023-05,72
mcd,O00-O99,2023-06,91
mcd,O00-O99,2023-07,100
mcd,O00-O99,2023-08,71
mcd,O00-O99,2023-09,95
mcd,O00-O99,2023-10,88
mcd,O00-O99,2023-11,86
mcd,O00-O99,2023-12,110
mcd,O00-O99,2024-01,99
mcd,O00-O99,2024-02,80
mcd,O00-O99,2024-03,98
mcd,O00-O99,2024-04,76
mcd,O00-O99,2024-05,91
mcd,O00-O99,2024-06,82
mcd,O00-O99,2024-07,87
mcd,O00-O99,2024-08,81
mcd,O00-O99,2024-09,82
mcd,O00-O99,2024-10,97
mcd,O00-O99,2024-11,92
mcd,O00-O99,2024-12,51
and,O00-O99,2022-09,1
and,O00-O99,2020-10,4
and,O00-O99,2020-11,7
and,O00-O99,2021-10,87
and,O00-O99,2021-01,36
and,O00-O99,2020-12,29
and,O00-O99,2021-02,21
and,O00-O99,2021-11,35
and,O00-O99,2020-04,14
and,O00-O99,2022-10,6
and,O00-O99,2022-01,78
and,O00-O99,2021-03,15
and,O00-O99,2021-12,78
and,O00-O99,2020-05,8
and,O00-O99,2022-02,43
and,O00-O99,2021-04,24
and,O00-O99,2020-06,6
and,O00-O99,2021-05,15
and,O00-O99,2020-07,10
and,O00-O99,2022-04,8
and,O00-O99,2021-06,1
and,O00-O99,2020-08,3
and,O00-O99,2021-07,14
and,O00-O99,2020-09,10
and,O00-O99,2022-06,5
and,O00-O99,2021-08,106
and,O00-O99,2022-07,10
and,O00-O99,2021-09,138
and,O00-O99,2022-08,3
ucdand,O00-O99,2020-04,14
ucdand,O00-O99,2020-05,8
ucdand,O00-O99,2020-06,6
ucdand,O00-O99,2020-07,10
ucdand,O00-O99,2020-08,3
ucdand,O00-O99,2020-09,10
ucdand,O00-O99,2020-10,4
ucdand,O00-O99,2020-11,7
ucdand,O00-O99,2020-12,29
ucdand,O00-O99,2021-01,36
ucdand,O00-O99,2021-02,21
ucdand,O00-O99,2021-03,15
ucdand,O00-O99,2021-04,24
ucdand,O00-O99,2021-05,15
ucdand,O00-O99,2021-06,1
ucdand,O00-O99,2021-07,14
ucdand,O00-O99,2021-08,106
ucdand,O00-O99,2021-09,138
ucdand,O00-O99,2021-10,87
ucdand,O00-O99,2021-11,35
ucdand,O00-O99,2021-12,78
ucdand,O00-O99,2022-01,78
ucdand,O00-O99,2022-02,43
ucdand,O00-O99,2022-04,8
ucdand,O00-O99,2022-06,5
ucdand,O00-O99,2022-07,10
ucdand,O00-O99,2022-08,3
ucdand,O00-O99,2022-09,1
ucdand,O00-O99,2022-10,6
