date,count_first_shot_general,count_second_shot_general,count_third_shot_general,count_fourth_shot_general,count_fifth_shot_general,count_sixth_shot_general,count_seventh_shot_general,count_first_shot_general_wo_deceased,count_second_shot_general_wo_deceased,count_third_shot_general_wo_deceased,count_fourth_shot_general_wo_deceased,count_fifth_shot_general_wo_deceased,count_sixth_shot_general_wo_deceased,count_seventh_shot_general_wo_deceased
2021/10/23,266430,666094,0,0,0,0,0,262720,658867,0,0,0,0,0
2021/10/24,167349,504994,0,0,0,0,0,164719,499184,0,0,0,0,0
2021/10/25,110319,355419,0,0,0,0,0,108347,349960,0,0,0,0,0
2021/10/26,113749,361086,0,0,0,0,0,111494,355330,0,0,0,0,0
2021/10/27,106061,346605,0,0,0,0,0,104076,340843,0,0,0,0,0
2021/10/28,102877,334381,0,0,0,0,0,100585,328831,0,0,0,0,0
2021/10/29,131634,427036,0,0,0,0,0,129126,421300,0,0,0,0,0
2021/10/30,182242,569723,0,0,0,0,0,179706,562831,0,0,0,0,0
2021/10/31,119769,408054,0,0,0,0,0,117723,402593,0,0,0,0,0
2021/11/1,57303,277792,0,0,0,0,0,56177,273310,0,0,0,0,0
2021/11/2,38747,275498,0,0,0,0,0,37936,271180,0,0,0,0,0
2021/11/3,21737,77602,0,0,0,0,0,21336,76130,0,0,0,0,0
2021/11/4,55003,274047,0,0,0,0,0,53546,269544,0,0,0,0,0
2021/11/5,84790,328787,0,0,0,0,0,83053,324051,0,0,0,0,0
2021/11/6,116381,439743,0,0,0,0,0,114639,434061,0,0,0,0,0
2021/11/7,73604,278078,0,0,0,0,0,72247,274390,0,0,0,0,0
2021/11/8,48369,183058,0,0,0,0,0,47364,180051,0,0,0,0,0
2021/11/9,50372,177727,0,0,0,0,0,49279,174811,0,0,0,0,0
2021/11/10,34000,174336,0,0,0,0,0,33153,170940,0,0,0,0,0
2021/11/11,30639,153405,0,0,0,0,0,29904,150595,0,0,0,0,0
2021/11/12,50812,222354,0,0,0,0,0,49811,218856,0,0,0,0,0
2021/11/13,67701,291077,0,0,0,0,0,66610,287183,0,0,0,0,0
2021/11/14,30918,176135,0,0,0,0,0,30300,173340,0,0,0,0,0
2021/11/15,25935,120169,0,0,0,0,0,25351,118122,0,0,0,0,0
2021/11/16,25367,121150,0,0,0,0,0,24733,118906,0,0,0,0,0
2021/11/17,24966,115608,0,0,0,0,0,24332,113461,0,0,0,0,0
2021/11/18,23400,106852,0,0,0,0,0,22820,104576,0,0,0,0,0
2021/11/19,42177,157796,0,0,0,0,0,41292,155070,0,0,0,0,0
2021/11/20,56005,224037,0,0,0,0,0,54988,220874,0,0,0,0,0
2021/11/21,24972,133850,0,0,0,0,0,24455,131685,0,0,0,0,0
2021/11/22,22606,70461,0,0,0,0,0,22077,69100,0,0,0,0,0
2021/11/23,4989,20845,0,0,0,0,0,4874,20525,0,0,0,0,0
2021/11/24,22482,48794,0,0,0,0,0,21909,47768,0,0,0,0,0
2021/11/25,20246,66256,0,0,0,0,0,19576,64567,0,0,0,0,0
2021/11/26,38369,111083,0,0,0,0,0,37524,108993,0,0,0,0,0
2021/11/27,51594,156614,0,0,0,0,0,50699,154322,0,0,0,0,0
2021/11/28,19875,93651,0,0,0,0,0,19481,91739,0,0,0,0,0
2021/11/29,18371,57683,0,0,0,0,0,17910,56513,0,0,0,0,0
2021/11/30,18077,62270,0,0,0,0,0,17583,60999,0,0,0,0,0
2021/12/1,16197,32964,4945,0,0,0,0,15792,32190,4914,0,0,0,0
2021/12/2,15286,29876,3900,0,0,0,0,14865,29150,3881,0,0,0,0
2021/12/3,29180,53369,10135,0,0,0,0,28505,52440,10071,0,0,0,0
2021/12/4,44671,77155,2597,0,0,0,0,43927,75927,2581,0,0,0,0
2021/12/5,16218,33282,819,0,0,0,0,15881,32679,815,0,0,0,0
2021/12/6,14042,25881,10338,0,0,0,0,13688,25271,10297,0,0,0,0
2021/12/7,11782,24494,12317,0,0,0,0,11508,23940,12251,0,0,0,0
2021/12/8,6840,23611,13969,0,0,0,0,6633,23054,13886,0,0,0,0
2021/12/9,4862,22069,16349,0,0,0,0,4732,21511,16273,0,0,0,0
