year,week,age,dead
2010,33,25,5
2010,33,30,13
2010,33,35,15
2010,33,40,22
2010,33,45,45
2010,33,50,66
2010,33,55,114
2010,33,60,184
2010,33,65,188
2010,33,70,186
2010,33,75,274
2010,33,80,360
2010,33,85,308
2010,33,90,147
2010,34,0,9
2010,34,5,1
2010,34,10,4
2010,34,15,2
2010,34,20,8
2010,34,25,8
2010,34,30,7
2010,34,35,22
2010,34,40,20
2010,34,45,35
2010,34,50,68
2010,34,55,106
2010,34,60,168
2010,34,65,197
2010,34,70,203
2010,34,75,247
2010,34,80,345
2010,34,85,324
2010,34,90,147
2010,35,0,6
2010,35,5,1
2010,35,10,1
2010,35,15,9
2010,35,20,2
2010,35,25,8
2010,35,30,8
2010,35,35,13
2010,35,40,27
2010,35,45,38
2010,35,50,56
2010,35,55,117
2010,35,60,162
2010,35,65,171
2010,35,70,208
2010,35,75,243
2010,35,80,308
2010,35,85,285
2010,35,90,145
2010,36,0,11
2010,36,5,2
2010,36,10,0
2010,36,15,6
2010,36,20,12
2010,36,25,10
2010,36,30,17
2010,36,35,19
2010,36,40,29
2010,36,45,28
2010,36,50,75
2010,36,55,117
2010,36,60,200
2010,36,65,176
2010,36,70,168
2010,36,75,270
2010,36,80,365
2010,36,85,334
2010,36,90,147
2010,37,0,4
2010,37,5,1
2010,37,10,0
2010,37,15,5
2010,37,20,10
2010,37,25,6
2010,37,30,11
2010,37,35,15
2010,37,40,26
2010,37,45,37
2010,37,50,70
2010,37,55,124
2010,37,60,185
2010,37,65,193
2010,37,70,208
2010,37,75,274
2010,37,80,360
2010,37,85,334
2010,37,90,147
2010,38,0,3
2010,38,5,2
2010,38,10,3
2010,38,15,3
2010,38,20,5
2010,38,25,8
2010,38,30,12
2010,38,35,15
2010,38,40,23
2010,38,45,37
2010,38,50,63
2010,38,55,135
2010,38,60,190
2010,38,65,222
2010,38,70,215
2010,38,75,296
2010,38,80,388
2010,38,85,334
2010,38,90,180
2010,39,0,5
2010,39,5,2
2010,39,10,1
2010,39,15,5
2010,39,20,5
2010,39,25,7
2010,39,30,16
2010,39,35,8
2010,39,40,22
2010,39,45,45
2010,39,50,74
2010,39,55,108
2010,39,60,168
2010,39,65,180
2010,39,70,196
2010,39,75,256
2010,39,80,381
2010,39,85,343
2010,39,90,174
2010,40,0,7
2010,40,5,0
2010,40,10,1
2010,40,15,4
2010,40,20,8
2010,40,25,5
2010,40,30,17
2010,40,35,17
2010,40,40,18
2010,40,45,30
2010,40,50,54
2010,40,55,113
2010,40,60,173
2010,40,65,218
2010,40,70,220
2010,40,75,320
2010,40,80,372
2010,40,85,359
2010,40,90,179
2010,41,0,7
2010,41,5,3
2010,41,10,2
2010,41,15,4
2010,41,20,10
2010,41,25,8
2010,41,30,10
2010,41,35,15
2010,41,40,20
2010,41,45,39
2010,41,50,51
2010,41,55,115
2010,41,60,199
2010,41,65,193
2010,41,70,201
2010,41,75,293
2010,41,80,371
2010,41,85,354
2010,41,90,176
2010,42,0,8
2010,42,5,0
2010,42,10,0
2010,42,15,5
2010,42,20,10
2010,42,25,8
2010,42,30,9
2010,42,35,23
2010,42,40,22
2010,42,45,36
2010,42,50,57
2010,42,55,109
2010,42,60,174
2010,42,65,207
2010,42,70,208
2010,42,75,304
2010,42,80,359
2010,42,85,375
2010,42,90,173
2010,43,0,13
2010,43,5,0
2010,43,10,0
2010,43,15,5
2010,43,20,12
2010,43,25,11
2010,43,30,9
2010,43,35,14
2010,43,40,30
2010,43,45,35
2010,43,50,70
2010,43,55,113
2010,43,60,171
2010,43,65,186
2010,43,70,198
2010,43,75,270
2010,43,80,370
2010,43,85,370
2010,43,90,158
2010,44,0,8
2010,44,5,0
2010,44,10,1
2010,44,15,6
2010,44,20,9
2010,44,25,10
2010,44,30,13
2010,44,35,22
2010,44,40,25
2010,44,45,41
2010,44,50,59
2010,44,55,123
2010,44,60,179
2010,44,65,242
2010,44,70,203
2010,44,75,295
2010,44,80,370
2010,44,85,357
2010,44,90,179
2010,45,0,7
2010,45,5,2
2010,45,10,0
2010,45,15,3
2010,45,20,8
2010,45,25,11
2010,45,30,7
2010,45,35,16
2010,45,40,16
2010,45,45,35
2010,45,50,64
2010,45,55,125
2010,45,60,168
2010,45,65,183
2010,45,70,206
2010,45,75,280
2010,45,80,401
2010,45,85,310
2010,45,90,146
2010,46,0,6
2010,46,5,0
2010,46,10,2
2010,46,15,1
2010,46,20,7
2010,46,25,8
2010,46,30,10
2010,46,35,17
2010,46,40,24
2010,46,45,34
2010,46,50,74
2010,46,55,119
