month_of_death,age_at_death,last_dose_number,days_between_last_vaccination_and_death,count
2021-10,0_to_20,2,<=_30,5
2021-10,0_to_20,2,<=_90,<5
2021-10,100+,0,NA,<5
2021-10,100+,1,<=_90,<5
2021-10,100+,2,<=_180,5
2021-10,100+,2,<=_90,<5
2021-10,21_to_40,0,NA,43
2021-10,21_to_40,1,<=_30,8
2021-10,21_to_40,1,<=_90,9
2021-10,21_to_40,2,<=_180,<5
2021-10,21_to_40,2,<=_30,<5
2021-10,21_to_40,2,<=_90,10
2021-10,41_to_60,0,NA,136
2021-10,41_to_60,1,<=_180,<5
2021-10,41_to_60,1,<=_30,21
2021-10,41_to_60,1,<=_90,29
2021-10,41_to_60,2,<=_180,24
2021-10,41_to_60,2,<=_30,45
2021-10,41_to_60,2,<=_90,54
2021-10,61_to_80,0,NA,243
2021-10,61_to_80,1,<=_180,18
2021-10,61_to_80,1,<=_30,63
2021-10,61_to_80,1,<=_90,70
2021-10,61_to_80,2,<=_180,275
2021-10,61_to_80,2,<=_30,88
2021-10,61_to_80,2,<=_90,284
2021-10,81_to_100,0,NA,238
2021-10,81_to_100,1,<=_180,27
2021-10,81_to_100,1,<=_30,49
2021-10,81_to_100,1,<=_90,64
2021-10,81_to_100,2,<=_180,653
2021-10,81_to_100,2,<=_30,74
2021-10,81_to_100,2,<=_365,<5
2021-10,81_to_100,2,<=_90,298
2021-11,0_to_20,0,NA,66
2021-11,0_to_20,1,<=_30,<5
2021-11,0_to_20,1,<=_90,<5
2021-11,0_to_20,2,<=_30,<5
2021-11,0_to_20,2,<=_90,5
2021-11,100+,0,NA,<5
2021-11,100+,1,<=_90,<5
2021-11,100+,2,<=_180,7
2021-11,21_to_40,0,NA,28
2021-11,21_to_40,1,<=_30,10
2021-11,21_to_40,1,<=_90,<5
2021-11,21_to_40,2,<=_180,<5
2021-11,21_to_40,2,<=_30,11
2021-11,21_to_40,2,<=_365,<5
2021-11,21_to_40,2,<=_90,8
2021-11,41_to_60,0,NA,92
2021-11,41_to_60,1,<=_180,<5
2021-11,41_to_60,1,<=_30,21
2021-11,41_to_60,1,<=_90,20
2021-11,41_to_60,2,<=_180,42
2021-11,41_to_60,2,<=_30,37
2021-11,41_to_60,2,<=_365,<5
2021-11,41_to_60,2,<=_90,90
2021-11,61_to_80,0,NA,165
2021-11,61_to_80,1,<=_180,12
2021-11,61_to_80,1,<=_30,36
2021-11,61_to_80,1,<=_365,<5
2021-11,61_to_80,1,<=_90,49
2021-11,61_to_80,2,<=_180,412
2021-11,61_to_80,2,<=_30,83
2021-11,61_to_80,2,<=_365,24
2021-11,61_to_80,2,<=_90,261
2021-11,61_to_80,3,<=_30,<5
2021-11,61_to_80,3,<=_90,<5
2021-11,81_to_100,0,NA,156
2021-11,81_to_100,1,<=_180,9
2021-11,81_to_100,1,<=_30,32
2021-11,81_to_100,1,<=_365,<5
2021-11,81_to_100,1,<=_90,29
2021-11,81_to_100,2,<=_180,730
2021-11,81_to_100,2,<=_30,71
2021-11,81_to_100,2,<=_365,54
2021-11,81_to_100,2,<=_90,253
2021-12,0_to_20,0,NA,72
2021-12,0_to_20,1,<=_30,<5
2021-12,0_to_20,2,<=_180,<5
2021-12,0_to_20,2,<=_30,<5
2021-12,0_to_20,2,<=_90,5
2021-12,100+,0,NA,<5
2021-12,100+,1,<=_30,<5
2021-12,100+,2,<=_180,10
2021-12,100+,2,<=_365,<5
2021-12,100+,2,<=_90,<5
2021-12,21_to_40,0,NA,30
2021-12,21_to_40,1,<=_180,<5
2021-12,21_to_40,1,<=_30,7
2021-12,21_to_40,1,<=_90,<5
2021-12,21_to_40,2,<=_180,9
2021-12,21_to_40,2,<=_30,15
2021-12,21_to_40,2,<=_90,25
2021-12,21_to_40,3,<=_30,<5
2021-12,41_to_60,0,NA,47
2021-12,41_to_60,1,<=_180,<5
2021-12,41_to_60,1,<=_30,9
2021-12,41_to_60,1,<=_90,15
2021-12,41_to_60,2,<=_180,76
2021-12,41_to_60,2,<=_30,24
2021-12,41_to_60,2,<=_365,14
2021-12,41_to_60,2,<=_90,92
2021-12,41_to_60,3,<=_30,9
2021-12,41_to_60,3,<=_90,<5
2021-12,61_to_80,0,NA,148
2021-12,61_to_80,1,<=_180,7
2021-12,61_to_80,1,<=_30,19
2021-12,61_to_80,1,<=_90,22
2021-12,61_to_80,2,<=_180,472
2021-12,61_to_80,2,<=_30,42
2021-12,61_to_80,2,<=_365,91
2021-12,61_to_80,2,<=_90,204
2021-12,61_to_80,3,<=_30,69
2021-12,61_to_80,3,<=_90,14
2021-12,81_to_100,0,NA,118
2021-12,81_to_100,1,<=_180,<5
2021-12,81_to_100,1,<=_30,17
2021-12,81_to_100,1,<=_365,5
2021-12,81_to_100,1,<=_90,20
2021-12,81_to_100,2,<=_180,662
2021-12,81_to_100,2,<=_30,35
2021-12,81_to_100,2,<=_365,213
2021-12,81_to_100,2,<=_90,142
2021-12,81_to_100,3,<=_30,119
2021-12,81_to_100,3,<=_90,<5
2022-01,0_to_20,0,NA,60
2022-01,0_to_20,1,<=_90,<5
2022-01,0_to_20,2,<=_180,<5
2022-01,0_to_20,2,<=_30,<5
2022-01,0_to_20,2,<=_90,5
2022-01,100+,0,NA,<5
2022-01,100+,2,<=_180,<5
2022-01,100+,2,<=_365,<5
2022-01,100+,2,<=_90,<5
2022-01,100+,3,<=_30,7
2022-01,100+,3,<=_90,<5
2022-01,21_to_40,0,NA,16
2022-01,21_to_40,1,<=_180,<5
2022-01,21_to_40,1,<=_30,<5
2022-01,21_to_40,1,<=_90,<5
2022-01,21_to_40,2,<=_180,18
2022-01,21_to_40,2,<=_30,5
2022-01,21_to_40,2,<=_365,<5
2022-01,21_to_40,2,<=_90,28
2022-01,21_to_40,3,<=_30,<5
2022-01,21_to_40,3,<=_90,<5
2022-01,41_to_60,0,NA,46
2022-01,41_to_60,1,<=_180,5
2022-01,41_to_60,1,<=_30,<5
2022-01,41_to_60,1,<=_90,9
2022-01,41_to_60,2,<=_180,99
2022-01,41_to_60,2,<=_30,15
2022-01,41_to_60,2,<=_365,16
2022-01,41_to_60,2,<=_90,87
2022-01,41_to_60,3,<=_30,15
2022-01,41_to_60,3,<=_90,27
2022-01,61_to_80,0,NA,85
2022-01,61_to_80,1,<=_180,<5
2022-01,61_to_80,1,<=_30,<5
2022-01,61_to_80,1,<=_365,<5
2022-01,61_to_80,1,<=_90,19
2022-01,61_to_80,2,<=_180,391
2022-01,61_to_80,2,<=_30,19
2022-01,61_to_80,2,<=_365,164
2022-01,61_to_80,2,<=_90,143
2022-01,61_to_80,3,<=_180,<5
2022-01,61_to_80,3,<=_30,132
2022-01,61_to_80,3,<=_90,105
2022-01,81_to_100,0,NA,79
2022-01,81_to_100,1,<=_180,6
2022-01,81_to_100,1,<=_30,12
2022-01,81_to_100,1,<=_365,<5
2022-01,81_to_100,1,<=_90,16
2022-01,81_to_100,2,<=_180,373
2022-01,81_to_100,2,<=_30,12
2022-01,81_to_100,2,<=_365,277
2022-01,81_to_100,2,<=_90,131
2022-01,81_to_100,3,<=_30,245
2022-01,81_to_100,3,<=_90,187
2022-02,0_to_20,0,NA,61
2022-02,0_to_20,1,<=_30,<5
