date,age,deaths
2022-06-26,30 to 59,85
2022-06-26,60 to 79,269
2022-06-26,80 and over,459
2022-06-26,Total,829
2022-06-26,Under 30,16
2022-07-03,30 to 59,70
2022-07-03,60 to 79,277
2022-07-03,80 and over,436
2022-07-03,Total,797
2022-07-03,Under 30,14
2022-07-10,30 to 59,77
2022-07-10,60 to 79,278
2022-07-10,80 and over,479
2022-07-10,Total,842
2022-07-10,Under 30,8
2022-07-17,30 to 59,81
2022-07-17,60 to 79,286
2022-07-17,80 and over,497
2022-07-17,Total,888
2022-07-17,Under 30,24
2022-07-24,30 to 59,83
2022-07-24,60 to 79,261
2022-07-24,80 and over,496
2022-07-24,Total,853
2022-07-24,Under 30,13
2022-07-31,30 to 59,84
2022-07-31,60 to 79,297
2022-07-31,80 and over,569
2022-07-31,Total,968
2022-07-31,Under 30,18
2022-08-07,30 to 59,82
2022-08-07,60 to 79,305
2022-08-07,80 and over,438
2022-08-07,Total,847
2022-08-07,Under 30,22
2022-08-14,30 to 59,66
2022-08-14,60 to 79,268
2022-08-14,80 and over,411
2022-08-14,Total,761
2022-08-14,Under 30,16
2022-08-21,30 to 59,78
2022-08-21,60 to 79,280
2022-08-21,80 and over,462
2022-08-21,Total,829
2022-08-21,Under 30,9
2022-08-28,30 to 59,74
2022-08-28,60 to 79,267
2022-08-28,80 and over,401
2022-08-28,Total,758
2022-08-28,Under 30,16
2022-09-04,30 to 59,74
2022-09-04,60 to 79,256
2022-09-04,80 and over,415
2022-09-04,Total,759
2022-09-04,Under 30,14
2022-09-11,30 to 59,80
2022-09-11,60 to 79,293
2022-09-11,80 and over,367
2022-09-11,Total,754
2022-09-11,Under 30,14
2022-09-18,30 to 59,67
2022-09-18,60 to 79,247
2022-09-18,80 and over,379
2022-09-18,Total,706
2022-09-18,Under 30,13
2022-09-25,30 to 59,74
2022-09-25,60 to 79,274
2022-09-25,80 and over,392
2022-09-25,Total,754
2022-09-25,Under 30,14
2022-10-02,30 to 59,71
2022-10-02,60 to 79,228
2022-10-02,80 and over,382
2022-10-02,Total,698
2022-10-02,Under 30,17
2022-10-09,30 to 59,65
2022-10-09,60 to 79,282
2022-10-09,80 and over,351
2022-10-09,Total,712
2022-10-09,Under 30,14
2022-10-16,30 to 59,63
2022-10-16,60 to 79,253
2022-10-16,80 and over,373
2022-10-16,Total,701
2022-10-16,Under 30,12
2022-10-23,30 to 59,82
2022-10-23,60 to 79,258
2022-10-23,80 and over,397
2022-10-23,Total,749
2022-10-23,Under 30,12
2022-10-30,30 to 59,78
2022-10-30,60 to 79,257
2022-10-30,80 and over,356
2022-10-30,Total,710
2022-10-30,Under 30,19
2022-11-06,30 to 59,92
2022-11-06,60 to 79,239
2022-11-06,80 and over,362
2022-11-06,Total,714
2022-11-06,Under 30,21
2022-11-13,30 to 59,88
2022-11-13,60 to 79,232
2022-11-13,80 and over,330
2022-11-13,Total,671
2022-11-13,Under 30,21
2022-11-20,30 to 59,61
2022-11-20,60 to 79,248
2022-11-20,80 and over,347
2022-11-20,Total,669
2022-11-20,Under 30,13
2022-11-27,30 to 59,67
2022-11-27,60 to 79,270
2022-11-27,80 and over,378
2022-11-27,Total,730
2022-11-27,Under 30,15
2022-12-04,30 to 59,80
2022-12-04,60 to 79,222
2022-12-04,80 and over,320
2022-12-04,Total,634
2022-12-04,Under 30,12
2022-12-11,30 to 59,88
2022-12-11,60 to 79,253
2022-12-11,80 and over,354
2022-12-11,Total,712
2022-12-11,Under 30,17
2022-12-18,30 to 59,73
2022-12-18,60 to 79,261
2022-12-18,80 and over,395
2022-12-18,Total,737
2022-12-18,Under 30,8
2022-12-25,30 to 59,68
2022-12-25,60 to 79,231
2022-12-25,80 and over,368
2022-12-25,Total,686
2022-12-25,Under 30,19
2023-01-01,30 to 59,84
2023-01-01,60 to 79,258
2023-01-01,80 and over,335
2023-01-01,Total,715
2023-01-01,Under 30,38
2023-01-08,30 to 59,75
2023-01-08,60 to 79,264
2023-01-08,80 and over,399
2023-01-08,Total,756
2023-01-08,Under 30,18
2023-01-15,30 to 59,82
2023-01-15,60 to 79,247
2023-01-15,80 and over,326
2023-01-15,Total,669
2023-01-15,Under 30,14
2023-01-22,30 to 59,91
2023-01-22,60 to 79,247
2023-01-22,80 and over,366
2023-01-22,Total,725
2023-01-22,Under 30,21
2023-01-29,30 to 59,82
2023-01-29,60 to 79,239
2023-01-29,80 and over,357
2023-01-29,Total,697
2023-01-29,Under 30,19
2023-02-05,30 to 59,80
2023-02-05,60 to 79,205
2023-02-05,80 and over,344
2023-02-05,Total,638
2023-02-05,Under 30,9
2023-02-12,30 to 59,71
2023-02-12,60 to 79,235
2023-02-12,80 and over,315
2023-02-12,Total,634
2023-02-12,Under 30,13
2023-02-19,30 to 59,82
2023-02-19,60 to 79,242
2023-02-19,80 and over,345
2023-02-19,Total,695
2023-02-19,Under 30,26
2023-02-26,30 to 59,78
2023-02-26,60 to 79,237
2023-02-26,80 and over,352
2023-02-26,Total,681
2023-02-26,Under 30,14
2023-03-05,30 to 59,81
2023-03-05,60 to 79,258
2023-03-05,80 and over,320
2023-03-05,Total,679
2023-03-05,Under 30,20
2023-03-12,30 to 59,64
2023-03-12,60 to 79,257
2023-03-12,80 and over,349
2023-03-12,Total,685
2023-03-12,Under 30,15
2023-03-19,30 to 59,64
2023-03-19,60 to 79,233
2023-03-19,80 and over,328
2023-03-19,Total,642
2023-03-19,Under 30,17
2023-03-26,30 to 59,72
2023-03-26,60 to 79,252
2023-03-26,80 and over,328
2023-03-26,Total,672
2023-03-26,Under 30,20
2023-04-02,30 to 59,68
2023-04-02,60 to 79,257
2023-04-02,80 and over,365
2023-04-02,Total,705
2023-04-02,Under 30,15
2023-04-09,30 to 59,77
2023-04-09,60 to 79,268
2023-04-09,80 and over,363
2023-04-09,Total,722
2023-04-09,Under 30,14
2023-04-16,30 to 59,61
2023-04-16,60 to 79,234
2023-04-16,80 and over,371
2023-04-16,Total,678
2023-04-16,Under 30,12
2023-04-23,30 to 59,73
2023-04-23,60 to 79,255
2023-04-23,80 and over,396
2023-04-23,Total,741
2023-04-23,Under 30,17
2023-04-30,30 to 59,68
2023-04-30,60 to 79,230
2023-04-30,80 and over,341
2023-04-30,Total,656
2023-04-30,Under 30,17
2023-05-07,30 to 59,74
2023-05-07,60 to 79,241
2023-05-07,80 and over,333
2023-05-07,Total,662
2023-05-07,Under 30,14
2023-05-14,30 to 59,78
2023-05-14,60 to 79,238
2023-05-14,80 and over,389
2023-05-14,Total,718
2023-05-14,Under 30,13
2023-05-21,30 to 59,80
2023-05-21,60 to 79,257
2023-05-21,80 and over,394
2023-05-21,Total,752
2023-05-21,Under 30,21
2023-05-28,30 to 59,79
2023-05-28,60 to 79,277
2023-05-28,80 and over,384
2023-05-28,Total,758
2023-05-28,Under 30,18
2023-06-04,30 to 59,82
2023-06-04,60 to 79,223
2023-06-04,80 and over,407
2023-06-04,Total,733
2023-06-04,Under 30,21
2023-06-11,30 to 59,71
2023-06-11,60 to 79,298
2023-06-11,80 and over,364
2023-06-11,Total,750
2023-06-11,Under 30,17
2023-06-18,30 to 59,88
2023-06-18,60 to 79,302
2023-06-18,80 and over,384
2023-06-18,Total,790
2023-06-18,Under 30,16
2023-06-25,30 to 59,80
2023-06-25,60 to 79,264
2023-06-25,80 and over,385
2023-06-25,Total,744
2023-06-25,Under 30,15
2023-07-02,30 to 59,66
2023-07-02,60 to 79,276
2023-07-02,80 and over,378
2023-07-02,Total,737
2023-07-02,Under 30,17
2023-07-09,30 to 59,84
2023-07-09,60 to 79,271
2023-07-09,80 and over,396
2023-07-09,Total,773
2023-07-09,Under 30,22
2023-07-16,30 to 59,88
2023-07-16,60 to 79,272
2023-07-16,80 and over,397
2023-07-16,Total,773
2023-07-16,Under 30,16
2023-07-23,30 to 59,90
2023-07-23,60 to 79,256
2023-07-23,80 and over,411
2023-07-23,Total,777
2023-07-23,Under 30,20
2023-07-30,30 to 59,70
2023-07-30,60 to 79,250
2023-07-30,80 and over,388
2023-07-30,Total,712
2023-07-30,Under 30,4
2023-08-06,30 to 59,82
2023-08-06,60 to 79,232
2023-08-06,80 and over,423
2023-08-06,Total,760
2023-08-06,Under 30,23
2023-08-13,30 to 59,71
2023-08-13,60 to 79,235
2023-08-13,80 and over,387
2023-08-13,Total,710
2023-08-13,Under 30,17
2023-08-20,30 to 59,77
2023-08-20,60 to 79,272
2023-08-20,80 and over,386
2023-08-20,Total,752
2023-08-20,Under 30,17
2023-08-27,30 to 59,84
2023-08-27,60 to 79,298
2023-08-27,80 and over,440
2023-08-27,Total,833
2023-08-27,Under 30,11
2023-09-03,30 to 59,85
2023-09-03,60 to 79,278
2023-09-03,80 and over,427
2023-09-03,Total,804
2023-09-03,Under 30,14
2023-09-10,30 to 59,80
2023-09-10,60 to 79,273
2023-09-10,80 and over,432
2023-09-10,Total,802
2023-09-10,Under 30,17
2023-09-17,30 to 59,79
2023-09-17,60 to 79,267
2023-09-17,80 and over,400
2023-09-17,Total,758
2023-09-17,Under 30,12
2023-09-24,30 to 59,97
2023-09-24,60 to 79,250
2023-09-24,80 and over,425
2023-09-24,Total,790
2023-09-24,Under 30,18
2023-10-01,30 to 59,70
2023-10-01,60 to 79,245
2023-10-01,80 and over,384
2023-10-01,Total,715
2023-10-01,Under 30,16
2023-10-08,30 to 59,64
2023-10-08,60 to 79,253
2023-10-08,80 and over,396
2023-10-08,Total,733
2023-10-08,Under 30,20
2023-10-15,30 to 59,85
2023-10-15,60 to 79,273
2023-10-15,80 and over,382
2023-10-15,Total,761
2023-10-15,Under 30,21
2023-10-22,30 to 59,70
2023-10-22,60 to 79,280
2023-10-22,80 and over,382
2023-10-22,Total,750
2023-10-22,Under 30,18
2023-10-29,30 to 59,69
2023-10-29,60 to 79,238
2023-10-29,80 and over,338
2023-10-29,Total,666
2023-10-29,Under 30,21
2023-11-05,30 to 59,79
2023-11-05,60 to 79,271
2023-11-05,80 and over,371
2023-11-05,Total,738
2023-11-05,Under 30,17
2023-11-12,30 to 59,67
2023-11-12,60 to 79,282
2023-11-12,80 and over,330
2023-11-12,Total,695
2023-11-12,Under 30,16
2023-11-19,30 to 59,64
2023-11-19,60 to 79,245
2023-11-19,80 and over,371
2023-11-19,Total,696
2023-11-19,Under 30,16
2023-11-26,30 to 59,72
2023-11-26,60 to 79,239
2023-11-26,80 and over,409
2023-11-26,Total,735
2023-11-26,Under 30,15
2023-12-03,30 to 59,58
2023-12-03,60 to 79,271
2023-12-03,80 and over,418
2023-12-03,Total,760
2023-12-03,Under 30,13
2023-12-10,30 to 59,72
2023-12-10,60 to 79,263
2023-12-10,80 and over,379
2023-12-10,Total,727
2023-12-10,Under 30,13
2023-12-17,30 to 59,75
2023-12-17,60 to 79,240
2023-12-17,80 and over,364
2023-12-17,Total,695
2023-12-17,Under 30,16
2023-12-24,30 to 59,70
2023-12-24,60 to 79,253
2023-12-24,80 and over,351
2023-12-24,Total,692
2023-12-24,Under 30,18
2023-12-31,30 to 59,66
2023-12-31,60 to 79,255
2023-12-31,80 and over,387
2023-12-31,Total,727
2023-12-31,Under 30,19
2024-01-07,30 to 59,78
2024-01-07,60 to 79,230
2024-01-07,80 and over,324
2024-01-07,Total,649
2024-01-07,Under 30,17
2024-01-14,30 to 59,66
2024-01-14,60 to 79,215
2024-01-14,80 and over,335
2024-01-14,Total,632
2024-01-14,Under 30,16
