date,age,deaths
2012-12-09,Under 30,18
2012-12-16,30 to 59,61
2012-12-16,60 to 79,181
2012-12-16,80 and over,280
2012-12-16,Total,540
2012-12-16,Under 30,18
2012-12-23,30 to 59,69
2012-12-23,60 to 79,197
2012-12-23,80 and over,281
2012-12-23,Total,567
2012-12-23,Under 30,20
2012-12-30,30 to 59,66
2012-12-30,60 to 79,163
2012-12-30,80 and over,278
2012-12-30,Total,525
2012-12-30,Under 30,18
2013-01-06,30 to 59,70
2013-01-06,60 to 79,203
2013-01-06,80 and over,272
2013-01-06,Total,568
2013-01-06,Under 30,23
2013-01-13,30 to 59,62
2013-01-13,60 to 79,210
2013-01-13,80 and over,268
2013-01-13,Total,561
2013-01-13,Under 30,21
2013-01-20,30 to 59,63
2013-01-20,60 to 79,184
2013-01-20,80 and over,295
2013-01-20,Total,558
2013-01-20,Under 30,16
2013-01-27,30 to 59,64
2013-01-27,60 to 79,189
2013-01-27,80 and over,253
2013-01-27,Total,520
2013-01-27,Under 30,14
2013-02-03,30 to 59,78
2013-02-03,60 to 79,172
2013-02-03,80 and over,252
2013-02-03,Total,516
2013-02-03,Under 30,14
2013-02-10,30 to 59,67
2013-02-10,60 to 79,176
2013-02-10,80 and over,252
2013-02-10,Total,508
2013-02-10,Under 30,13
2013-02-17,30 to 59,71
2013-02-17,60 to 79,186
2013-02-17,80 and over,239
2013-02-17,Total,506
2013-02-17,Under 30,10
2013-02-24,30 to 59,56
2013-02-24,60 to 79,179
2013-02-24,80 and over,251
2013-02-24,Total,512
2013-02-24,Under 30,26
2013-03-03,30 to 59,65
2013-03-03,60 to 79,174
2013-03-03,80 and over,246
2013-03-03,Total,499
2013-03-03,Under 30,14
2013-03-10,30 to 59,60
2013-03-10,60 to 79,177
2013-03-10,80 and over,262
2013-03-10,Total,511
2013-03-10,Under 30,12
2013-03-17,30 to 59,67
2013-03-17,60 to 79,166
2013-03-17,80 and over,284
2013-03-17,Total,530
2013-03-17,Under 30,13
2013-03-24,30 to 59,80
2013-03-24,60 to 79,188
2013-03-24,80 and over,282
2013-03-24,Total,565
2013-03-24,Under 30,15
2013-03-31,30 to 59,71
2013-03-31,60 to 79,194
2013-03-31,80 and over,274
2013-03-31,Total,553
2013-03-31,Under 30,14
2013-04-07,30 to 59,66
2013-04-07,60 to 79,191
2013-04-07,80 and over,265
2013-04-07,Total,533
2013-04-07,Under 30,11
2013-04-14,30 to 59,77
2013-04-14,60 to 79,197
2013-04-14,80 and over,278
2013-04-14,Total,561
2013-04-14,Under 30,9
2013-04-21,30 to 59,69
2013-04-21,60 to 79,180
2013-04-21,80 and over,301
2013-04-21,Total,560
2013-04-21,Under 30,10
2013-04-28,30 to 59,75
2013-04-28,60 to 79,195
2013-04-28,80 and over,284
2013-04-28,Total,568
2013-04-28,Under 30,14
2013-05-05,30 to 59,68
2013-05-05,60 to 79,177
2013-05-05,80 and over,290
2013-05-05,Total,551
2013-05-05,Under 30,16
2013-05-12,30 to 59,72
2013-05-12,60 to 79,182
2013-05-12,80 and over,273
2013-05-12,Total,539
2013-05-12,Under 30,12
2013-05-19,30 to 59,75
2013-05-19,60 to 79,200
2013-05-19,80 and over,277
2013-05-19,Total,565
2013-05-19,Under 30,13
2013-05-26,30 to 59,66
2013-05-26,60 to 79,189
2013-05-26,80 and over,304
2013-05-26,Total,579
2013-05-26,Under 30,20
2013-06-02,30 to 59,66
2013-06-02,60 to 79,204
2013-06-02,80 and over,284
2013-06-02,Total,571
2013-06-02,Under 30,17
2013-06-09,30 to 59,72
2013-06-09,60 to 79,192
2013-06-09,80 and over,295
2013-06-09,Total,572
2013-06-09,Under 30,13
2013-06-16,30 to 59,65
2013-06-16,60 to 79,194
2013-06-16,80 and over,275
2013-06-16,Total,548
2013-06-16,Under 30,14
2013-06-23,30 to 59,66
2013-06-23,60 to 79,220
2013-06-23,80 and over,329
2013-06-23,Total,627
2013-06-23,Under 30,12
2013-06-30,30 to 59,68
2013-06-30,60 to 79,176
2013-06-30,80 and over,296
2013-06-30,Total,557
2013-06-30,Under 30,17
2013-07-07,30 to 59,72
2013-07-07,60 to 79,191
2013-07-07,80 and over,333
2013-07-07,Total,611
2013-07-07,Under 30,15
2013-07-14,30 to 59,76
2013-07-14,60 to 79,229
2013-07-14,80 and over,334
2013-07-14,Total,653
2013-07-14,Under 30,14
2013-07-21,30 to 59,63
2013-07-21,60 to 79,221
2013-07-21,80 and over,336
2013-07-21,Total,642
2013-07-21,Under 30,22
2013-07-28,30 to 59,81
2013-07-28,60 to 79,212
2013-07-28,80 and over,295
2013-07-28,Total,597
2013-07-28,Under 30,9
2013-08-04,30 to 59,59
2013-08-04,60 to 79,192
2013-08-04,80 and over,328
2013-08-04,Total,593
2013-08-04,Under 30,14
2013-08-11,30 to 59,66
2013-08-11,60 to 79,213
2013-08-11,80 and over,340
2013-08-11,Total,644
2013-08-11,Under 30,25
2013-08-18,30 to 59,69
2013-08-18,60 to 79,213
2013-08-18,80 and over,310
2013-08-18,Total,614
2013-08-18,Under 30,22
2013-08-25,30 to 59,76
2013-08-25,60 to 79,206
2013-08-25,80 and over,320
2013-08-25,Total,621
2013-08-25,Under 30,19
2013-09-01,30 to 59,62
2013-09-01,60 to 79,213
2013-09-01,80 and over,286
2013-09-01,Total,576
2013-09-01,Under 30,15
2013-09-08,30 to 59,70
2013-09-08,60 to 79,207
2013-09-08,80 and over,309
2013-09-08,Total,597
2013-09-08,Under 30,11
2013-09-15,30 to 59,78
2013-09-15,60 to 79,229
2013-09-15,80 and over,336
2013-09-15,Total,664
2013-09-15,Under 30,21
2013-09-22,30 to 59,83
2013-09-22,60 to 79,216
2013-09-22,80 and over,319
2013-09-22,Total,635
2013-09-22,Under 30,17
2013-09-29,30 to 59,70
2013-09-29,60 to 79,217
2013-09-29,80 and over,298
2013-09-29,Total,598
2013-09-29,Under 30,13
2013-10-06,30 to 59,60
2013-10-06,60 to 79,179
2013-10-06,80 and over,304
2013-10-06,Total,556
2013-10-06,Under 30,13
2013-10-13,30 to 59,67
2013-10-13,60 to 79,194
2013-10-13,80 and over,310
2013-10-13,Total,592
2013-10-13,Under 30,21
2013-10-20,30 to 59,85
2013-10-20,60 to 79,192
2013-10-20,80 and over,286
2013-10-20,Total,579
2013-10-20,Under 30,16
2013-10-27,30 to 59,55
2013-10-27,60 to 79,179
2013-10-27,80 and over,285
2013-10-27,Total,533
2013-10-27,Under 30,14
2013-11-03,30 to 59,78
2013-11-03,60 to 79,192
2013-11-03,80 and over,272
2013-11-03,Total,559
2013-11-03,Under 30,17
2013-11-10,30 to 59,64
2013-11-10,60 to 79,209
2013-11-10,80 and over,285
2013-11-10,Total,580
2013-11-10,Under 30,22
2013-11-17,30 to 59,65
2013-11-17,60 to 79,179
2013-11-17,80 and over,274
2013-11-17,Total,532
2013-11-17,Under 30,14
2013-11-24,30 to 59,86
2013-11-24,60 to 79,175
2013-11-24,80 and over,267
2013-11-24,Total,548
2013-11-24,Under 30,20
2013-12-01,30 to 59,60
2013-12-01,60 to 79,180
2013-12-01,80 and over,269
2013-12-01,Total,525
2013-12-01,Under 30,16
2013-12-08,30 to 59,72
2013-12-08,60 to 79,174
2013-12-08,80 and over,250
2013-12-08,Total,505
2013-12-08,Under 30,9
2013-12-15,30 to 59,59
2013-12-15,60 to 79,175
2013-12-15,80 and over,280
2013-12-15,Total,526
2013-12-15,Under 30,12
2013-12-22,30 to 59,67
2013-12-22,60 to 79,167
2013-12-22,80 and over,272
2013-12-22,Total,527
2013-12-22,Under 30,21
2013-12-29,30 to 59,73
2013-12-29,60 to 79,179
2013-12-29,80 and over,245
2013-12-29,Total,516
2013-12-29,Under 30,19
2014-01-05,30 to 59,72
2014-01-05,60 to 79,177
2014-01-05,80 and over,267
2014-01-05,Total,525
2014-01-05,Under 30,9
2014-01-12,30 to 59,58
2014-01-12,60 to 79,196
2014-01-12,80 and over,253
2014-01-12,Total,522
2014-01-12,Under 30,15
2014-01-19,30 to 59,67
2014-01-19,60 to 79,185
2014-01-19,80 and over,270
2014-01-19,Total,545
2014-01-19,Under 30,23
2014-01-26,30 to 59,55
2014-01-26,60 to 79,173
2014-01-26,80 and over,277
2014-01-26,Total,520
2014-01-26,Under 30,15
2014-02-02,30 to 59,50
2014-02-02,60 to 79,170
2014-02-02,80 and over,261
2014-02-02,Total,497
2014-02-02,Under 30,16
2014-02-09,30 to 59,70
2014-02-09,60 to 79,199
2014-02-09,80 and over,263
2014-02-09,Total,542
2014-02-09,Under 30,10
2014-02-16,30 to 59,66
2014-02-16,60 to 79,205
2014-02-16,80 and over,273
2014-02-16,Total,565
2014-02-16,Under 30,21
2014-02-23,30 to 59,73
2014-02-23,60 to 79,199
2014-02-23,80 and over,262
2014-02-23,Total,546
2014-02-23,Under 30,12
2014-03-02,30 to 59,61
2014-03-02,60 to 79,178
2014-03-02,80 and over,274
2014-03-02,Total,532
2014-03-02,Under 30,19
2014-03-09,30 to 59,64
2014-03-09,60 to 79,180
2014-03-09,80 and over,265
2014-03-09,Total,528
2014-03-09,Under 30,19
2014-03-16,30 to 59,64
2014-03-16,60 to 79,169
2014-03-16,80 and over,309
2014-03-16,Total,553
2014-03-16,Under 30,11
2014-03-23,30 to 59,67
2014-03-23,60 to 79,168
2014-03-23,80 and over,271
2014-03-23,Total,513
2014-03-23,Under 30,7
2014-03-30,30 to 59,78
2014-03-30,60 to 79,181
2014-03-30,80 and over,260
2014-03-30,Total,533
2014-03-30,Under 30,14
2014-04-06,30 to 59,65
2014-04-06,60 to 79,192
2014-04-06,80 and over,243
2014-04-06,Total,515
2014-04-06,Under 30,15
2014-04-13,30 to 59,71
2014-04-13,60 to 79,174
2014-04-13,80 and over,238
2014-04-13,Total,496
2014-04-13,Under 30,13
2014-04-20,30 to 59,77
2014-04-20,60 to 79,205
2014-04-20,80 and over,303
2014-04-20,Total,603
2014-04-20,Under 30,18
2014-04-27,30 to 59,65
2014-04-27,60 to 79,182
2014-04-27,80 and over,276
2014-04-27,Total,542
2014-04-27,Under 30,19
2014-05-04,30 to 59,55
2014-05-04,60 to 79,177
2014-05-04,80 and over,300
2014-05-04,Total,550
2014-05-04,Under 30,18
2014-05-11,30 to 59,64
2014-05-11,60 to 79,206
2014-05-11,80 and over,278
2014-05-11,Total,557
2014-05-11,Under 30,9
2014-05-18,30 to 59,64
2014-05-18,60 to 79,196
2014-05-18,80 and over,339
2014-05-18,Total,618
2014-05-18,Under 30,19
2014-05-25,30 to 59,82
2014-05-25,60 to 79,212
2014-05-25,80 and over,323
2014-05-25,Total,637
2014-05-25,Under 30,20
2014-06-01,30 to 59,81
2014-06-01,60 to 79,194
2014-06-01,80 and over,363
2014-06-01,Total,657
2014-06-01,Under 30,19
2014-06-08,30 to 59,69
2014-06-08,60 to 79,205
2014-06-08,80 and over,317
2014-06-08,Total,607
2014-06-08,Under 30,16
2014-06-15,30 to 59,68
2014-06-15,60 to 79,199
2014-06-15,80 and over,299
2014-06-15,Total,578
2014-06-15,Under 30,12
2014-06-22,30 to 59,75
2014-06-22,60 to 79,203
2014-06-22,80 and over,334
2014-06-22,Total,625
2014-06-22,Under 30,13
2014-06-29,30 to 59,69
2014-06-29,60 to 79,209
2014-06-29,80 and over,353
2014-06-29,Total,653
2014-06-29,Under 30,22
2014-07-06,30 to 59,67
2014-07-06,60 to 79,217
2014-07-06,80 and over,363
2014-07-06,Total,658
2014-07-06,Under 30,11
2014-07-13,30 to 59,67
2014-07-13,60 to 79,223
2014-07-13,80 and over,360
2014-07-13,Total,678
2014-07-13,Under 30,28
2014-07-20,30 to 59,71
2014-07-20,60 to 79,211
2014-07-20,80 and over,337
2014-07-20,Total,632
2014-07-20,Under 30,13
2014-07-27,30 to 59,73
2014-07-27,60 to 79,227
2014-07-27,80 and over,383
2014-07-27,Total,699
2014-07-27,Under 30,16
2014-08-03,30 to 59,66
2014-08-03,60 to 79,233
2014-08-03,80 and over,365
2014-08-03,Total,680
2014-08-03,Under 30,16
2014-08-10,30 to 59,57
2014-08-10,60 to 79,227
2014-08-10,80 and over,378
2014-08-10,Total,684
2014-08-10,Under 30,22
2014-08-17,30 to 59,82
2014-08-17,60 to 79,212
2014-08-17,80 and over,362
2014-08-17,Total,669
2014-08-17,Under 30,13
2014-08-24,30 to 59,66
2014-08-24,60 to 79,226
2014-08-24,80 and over,351
2014-08-24,Total,651
2014-08-24,Under 30,8
2014-08-31,30 to 59,95
2014-08-31,60 to 79,198
2014-08-31,80 and over,314
2014-08-31,Total,625
2014-08-31,Under 30,18
2014-09-07,30 to 59,59
2014-09-07,60 to 79,239
2014-09-07,80 and over,365
2014-09-07,Total,678
2014-09-07,Under 30,15
2014-09-14,30 to 59,79
2014-09-14,60 to 79,235
2014-09-14,80 and over,371
2014-09-14,Total,703
2014-09-14,Under 30,18
2014-09-21,30 to 59,84
2014-09-21,60 to 79,204
2014-09-21,80 and over,310
2014-09-21,Total,605
2014-09-21,Under 30,7
2014-09-28,30 to 59,68
2014-09-28,60 to 79,217
2014-09-28,80 and over,343
2014-09-28,Total,642
2014-09-28,Under 30,14
2014-10-05,30 to 59,68
2014-10-05,60 to 79,220
2014-10-05,80 and over,364
2014-10-05,Total,671
2014-10-05,Under 30,19
2014-10-12,30 to 59,70
2014-10-12,60 to 79,202
2014-10-12,80 and over,344
2014-10-12,Total,628
2014-10-12,Under 30,12
2014-10-19,30 to 59,59
2014-10-19,60 to 79,224
2014-10-19,80 and over,308
2014-10-19,Total,600
2014-10-19,Under 30,9
2014-10-26,30 to 59,74
2014-10-26,60 to 79,191
