age,date,year,week,dead
74,2023-05-20,2023,20,1339
74,2023-05-27,2023,21,1267
74,2023-06-03,2023,22,1387
74,2023-06-10,2023,23,1411
74,2023-06-17,2023,24,1311
74,2023-06-24,2023,25,1316
74,2023-07-01,2023,26,1318
74,2023-07-08,2023,27,1321
74,2023-07-15,2023,28,1324
74,2023-07-22,2023,29,1357
74,2023-07-29,2023,30,1285
74,2023-08-05,2023,31,1385
74,2023-08-12,2023,32,1349
74,2023-08-19,2023,33,1402
74,2023-08-26,2023,34,1323
74,2023-09-02,2023,35,1340
74,2023-09-09,2023,36,1366
74,2023-09-16,2023,37,1307
74,2023-09-23,2023,38,1354
74,2023-09-30,2023,39,1361
74,2023-10-07,2023,40,1405
74,2023-10-14,2023,41,1386
74,2023-10-21,2023,42,1439
74,2023-10-28,2023,43,1393
74,2023-11-04,2023,44,1390
74,2023-11-11,2023,45,1506
74,2023-11-18,2023,46,1427
74,2023-11-25,2023,47,1409
74,2023-12-02,2023,48,1483
74,2023-12-09,2023,49,1535
74,2023-12-16,2023,50,1509
74,2023-12-23,2023,51,1496
74,2023-12-30,2023,52,1651
74,2024-01-06,2024,1,1603
74,2024-01-13,2024,2,1616
74,2024-01-20,2024,3,1540
74,2024-01-27,2024,4,1503
74,2024-02-03,2024,5,1452
74,2024-02-10,2024,6,1467
74,2024-02-17,2024,7,1453
74,2024-02-24,2024,8,1492
74,2024-03-02,2024,9,1346
74,2024-03-09,2024,10,1482
74,2024-03-16,2024,11,1439
74,2024-03-23,2024,12,1364
74,2024-03-30,2024,13,1372
74,2024-04-06,2024,14,1356
74,2024-04-13,2024,15,1386
74,2024-04-20,2024,16,1308
74,2024-04-27,2024,17,1313
74,2024-05-04,2024,18,1392
74,2024-05-11,2024,19,1306
74,2024-05-18,2024,20,1321
74,2024-05-25,2024,21,1329
74,2024-06-01,2024,22,1277
74,2024-06-08,2024,23,1328
74,2024-06-15,2024,24,1350
74,2024-06-22,2024,25,1307
74,2024-06-29,2024,26,1279
74,2024-07-06,2024,27,1287
74,2024-07-13,2024,28,1325
74,2024-07-20,2024,29,1291
74,2024-07-27,2024,30,1224
74,2024-08-03,2024,31,1362
74,2024-08-10,2024,32,1320
74,2024-08-17,2024,33,1296
74,2024-08-24,2024,34,1318
74,2024-08-31,2024,35,1298
74,2024-09-07,2024,36,1292
74,2024-09-14,2024,37,1253
74,2024-09-21,2024,38,1247
74,2024-09-28,2024,39,1215
74,2024-10-05,2024,40,994
74,2024-10-12,2024,41,764
75,2018-01-06,2018,1,1258
75,2018-01-13,2018,2,1472
75,2018-01-20,2018,3,1472
75,2018-01-27,2018,4,1438
75,2018-02-03,2018,5,1407
75,2018-02-10,2018,6,1435
75,2018-02-17,2018,7,1385
75,2018-02-24,2018,8,1289
75,2018-03-03,2018,9,1353
75,2018-03-10,2018,10,1374
75,2018-03-17,2018,11,1258
75,2018-03-24,2018,12,1292
75,2018-03-31,2018,13,1271
75,2018-04-07,2018,14,1313
75,2018-04-14,2018,15,1321
75,2018-04-21,2018,16,1250
75,2018-04-28,2018,17,1328
75,2018-05-05,2018,18,1221
75,2018-05-12,2018,19,1232
75,2018-05-19,2018,20,1212
75,2018-05-26,2018,21,1205
75,2018-06-02,2018,22,1186
75,2018-06-09,2018,23,1207
75,2018-06-16,2018,24,1219
75,2018-06-23,2018,25,1148
75,2018-06-30,2018,26,1178
75,2018-07-07,2018,27,1206
75,2018-07-14,2018,28,1179
75,2018-07-21,2018,29,1187
75,2018-07-28,2018,30,1149
75,2018-08-04,2018,31,1243
75,2018-08-11,2018,32,1221
75,2018-08-18,2018,33,1225
75,2018-08-25,2018,34,1264
75,2018-09-01,2018,35,1177
75,2018-09-08,2018,36,1189
75,2018-09-15,2018,37,1203
75,2018-09-22,2018,38,1235
75,2018-09-29,2018,39,1265
75,2018-10-06,2018,40,1271
75,2018-10-13,2018,41,1223
75,2018-10-20,2018,42,1311
75,2018-10-27,2018,43,1310
75,2018-11-03,2018,44,1219
75,2018-11-10,2018,45,1284
75,2018-11-17,2018,46,1275
75,2018-11-24,2018,47,1257
75,2018-12-01,2018,48,1318
75,2018-12-08,2018,49,1310
75,2018-12-15,2018,50,1310
75,2018-12-22,2018,51,1303
75,2018-12-29,2018,52,1328
75,2019-01-05,2019,1,1277
75,2019-01-12,2019,2,1372
75,2019-01-19,2019,3,1385
75,2019-01-26,2019,4,1375
75,2019-02-02,2019,5,1281
75,2019-02-09,2019,6,1405
75,2019-02-16,2019,7,1311
75,2019-02-23,2019,8,1303
75,2019-03-02,2019,9,1290
75,2019-03-09,2019,10,1236
75,2019-03-16,2019,11,1245
75,2019-03-23,2019,12,1316
75,2019-03-30,2019,13,1298
75,2019-04-06,2019,14,1210
75,2019-04-13,2019,15,1230
75,2019-04-20,2019,16,1283
75,2019-04-27,2019,17,1229
75,2019-05-04,2019,18,1233
75,2019-05-11,2019,19,1202
75,2019-05-18,2019,20,1175
75,2019-05-25,2019,21,1230
75,2019-06-01,2019,22,1140
75,2019-06-08,2019,23,1246
75,2019-06-15,2019,24,1153
75,2019-06-22,2019,25,1116
75,2019-06-29,2019,26,1151
75,2019-07-06,2019,27,1162
75,2019-07-13,2019,28,1133
75,2019-07-20,2019,29,1123
75,2019-07-27,2019,30,1106
75,2019-08-03,2019,31,1070
75,2019-08-10,2019,32,1120
75,2019-08-17,2019,33,1134
75,2019-08-24,2019,34,1169
75,2019-08-31,2019,35,1167
75,2019-09-07,2019,36,1127
75,2019-09-14,2019,37,1167
75,2019-09-21,2019,38,1135
75,2019-09-28,2019,39,1103
75,2019-10-05,2019,40,1093
75,2019-10-12,2019,41,1173
75,2019-10-19,2019,42,1221
75,2019-10-26,2019,43,1203
75,2019-11-02,2019,44,1188
75,2019-11-09,2019,45,1200
75,2019-11-16,2019,46,1224
75,2019-11-23,2019,47,1185
75,2019-11-30,2019,48,1197
75,2019-12-07,2019,49,1241
75,2019-12-14,2019,50,1215
75,2019-12-21,2019,51,1127
75,2019-12-28,2019,52,1281
75,2020-01-04,2020,1,1335
75,2020-01-11,2020,2,1291
75,2020-01-18,2020,3,1271
