year,month,age,dead
2002,12,40,971
2002,12,45,1646
2002,12,50,2554
2002,12,55,3581
2002,12,60,4535
2002,12,65,5515
2002,12,70,6902
2002,12,75,7650
2002,12,80,6723
2002,12,85,4257
2002,12,90,1977
2002,12,95,542
2002,12,100,63
2003,01,1,39
2003,01,5,46
2003,01,10,57
2003,01,15,66
2003,01,20,84
2003,01,25,110
2003,01,30,210
2003,01,35,453
2003,01,40,915
2003,01,45,1674
2003,01,50,2628
2003,01,55,3631
2003,01,60,4537
2003,01,65,5307
2003,01,70,6805
2003,01,75,7878
2003,01,80,6741
2003,01,85,4269
2003,01,90,2065
2003,01,95,506
2003,01,100,79
2003,02,1,36
2003,02,5,45
2003,02,10,39
2003,02,15,35
2003,02,20,67
2003,02,25,81
2003,02,30,183
2003,02,35,383
2003,02,40,849
2003,02,45,1461
2003,02,50,2276
2003,02,55,3219
2003,02,60,4087
2003,02,65,4791
2003,02,70,6182
2003,02,75,6847
2003,02,80,6059
2003,02,85,4064
2003,02,90,1777
2003,02,95,445
2003,02,100,63
2003,03,1,23
2003,03,5,46
2003,03,10,48
2003,03,15,58
2003,03,20,79
2003,03,25,111
2003,03,30,214
2003,03,35,420
2003,03,40,873
2003,03,45,1693
2003,03,50,2501
2003,03,55,3585
2003,03,60,4554
2003,03,65,5373
2003,03,70,6599
2003,03,75,7678
2003,03,80,6627
2003,03,85,4277
2003,03,90,1872
2003,03,95,491
2003,03,100,52
2003,04,1,38
2003,04,5,44
2003,04,10,49
2003,04,15,61
2003,04,20,68
2003,04,25,100
2003,04,30,183
2003,04,35,402
2003,04,40,851
2003,04,45,1602
2003,04,50,2524
2003,04,55,3467
2003,04,60,4375
2003,04,65,5116
2003,04,70,6322
2003,04,75,7340
2003,04,80,6387
2003,04,85,4042
2003,04,90,1785
2003,04,95,461
2003,04,100,62
2003,05,1,30
2003,05,5,32
2003,05,10,43
2003,05,15,53
2003,05,20,76
2003,05,25,122
2003,05,30,185
2003,05,35,432
2003,05,40,838
2003,05,45,1669
2003,05,50,2562
2003,05,55,3549
2003,05,60,4460
2003,05,65,5296
2003,05,70,6535
2003,05,75,7402
2003,05,80,6598
2003,05,85,4133
2003,05,90,1914
2003,05,95,450
2003,05,100,64
2003,06,1,37
2003,06,5,45
2003,06,10,43
2003,06,15,53
2003,06,20,88
2003,06,25,98
2003,06,30,211
2003,06,35,393
2003,06,40,861
2003,06,45,1577
2003,06,50,2455
2003,06,55,3485
