reposter,reposted,count,reposter_likely_hybrid_or_not_bot
23xing1,WarClandestine,5,F
23xing1,wenbei2022,1,F
23xing1,wenjiebc,33,F
23xing1,wideawake_media,26,F
23xing1,WildermohnE,1,F
23xing1,WillingWitness,1,F
23xing1,WorldByWolf,1,F
23xing1,wto518,2,F
23xing1,wuxiang2022,6,F
23xing1,wyattreed13,1,F
23xing1,xiaojingcanxue,1,F
23xing1,xiaxiaoqiang,1,F
23xing1,xlmsnow,2,F
23xing1,YaarDabestaani,1,F
23xing1,YahyaX007,2,F
23xing1,yanyan_sandy,1,F
23xing1,ym_igws,1,F
23xing1,yongqianme,1,F
23xing1,Yuan_1315,1,F
23xing1,yuashwe,1,F
23xing1,YvesPDB,1,F
23xing1,zhu0588,2,F
23xing1,ZiWei2020,1,F
23xing1,Zlatti_71,1,F
23xing1,ZRS003,1,F
9qPyyAsKBSsXS7r,108SAR,2,F
9qPyyAsKBSsXS7r,1582_ten_mo_43,1,F
9qPyyAsKBSsXS7r,1800factsmatter,2,F
9qPyyAsKBSsXS7r,1A48wvlkQc6mVdR,1,F
9qPyyAsKBSsXS7r,1AmOld5hool,1,F
9qPyyAsKBSsXS7r,2022meimei3,1,F
9qPyyAsKBSsXS7r,24newseveryday,1,F
9qPyyAsKBSsXS7r,2Eriqajf,2,F
9qPyyAsKBSsXS7r,33isprogrammed,1,F
9qPyyAsKBSsXS7r,3oiEJ1zKZbJVdjY,1,F
9qPyyAsKBSsXS7r,827js,2,F
9qPyyAsKBSsXS7r,9EY70T8igVhTYN3,1,F
9qPyyAsKBSsXS7r,9mm_smg,2,F
9qPyyAsKBSsXS7r,airi_fact_555,1,F
9qPyyAsKBSsXS7r,AlertaMundo_,3,F
9qPyyAsKBSsXS7r,amisweetheart,1,F
9qPyyAsKBSsXS7r,AmooMayowa7,2,F
9qPyyAsKBSsXS7r,andtartary2,2,F
9qPyyAsKBSsXS7r,anti_ver2a,9,F
9qPyyAsKBSsXS7r,AntiWhiteWatch1,4,F
9qPyyAsKBSsXS7r,Arab_Storms,2,F
9qPyyAsKBSsXS7r,aussiecossack,1,F
