year,month,region,dead,born
2013,6,South,832,119914
2013,6,West,398,77946
2013,7,Midwest,442,75002
2013,7,Northeast,257,56384
2013,7,South,835,133337
2013,7,West,435,84435
2013,8,Midwest,467,74525
2013,8,Northeast,263,56399
2013,8,South,846,136311
2013,8,West,397,86250
2013,9,Midwest,428,70621
2013,9,Northeast,292,53413
2013,9,South,834,130065
2013,9,West,401,83909
2013,10,Midwest,465,71056
2013,10,Northeast,272,54308
2013,10,South,850,131434
2013,10,West,457,83764
2013,11,Midwest,417,66541
2013,11,Northeast,243,50422
2013,11,South,854,123614
2013,11,West,331,77905
2013,12,Midwest,453,69436
2013,12,Northeast,275,52063
2013,12,South,836,133239
2013,12,West,390,80836
2014,1,Midwest,405,67885
2014,1,Northeast,241,51488
2014,1,South,888,127428
2014,1,West,401,79565
2014,2,Midwest,422,62576
2014,2,Northeast,242,47030
2014,2,South,799,115982
2014,2,West,342,72816
2014,3,Midwest,428,68761
2014,3,Northeast,276,51831
2014,3,South,840,123541
2014,3,West,388,79439
2014,4,Midwest,449,68558
2014,4,Northeast,246,50823
2014,4,South,881,121279
2014,4,West,390,78330
2014,5,Midwest,461,72279
2014,5,Northeast,260,54700
2014,5,South,892,125553
2014,5,West,424,82081
2014,6,Midwest,424,69390
2014,6,Northeast,280,53532
2014,6,South,795,123511
2014,6,West,416,79548
2014,7,Midwest,476,75246
2014,7,Northeast,241,57441
2014,7,South,845,135920
2014,7,West,412,86917
2014,8,Midwest,427,74701
2014,8,Northeast,251,56571
2014,8,South,914,135988
2014,8,West,354,86997
2014,9,Midwest,429,72338
2014,9,Northeast,267,55221
2014,9,South,827,135056
2014,9,West,378,85809
2014,10,Midwest,456,70659
2014,10,Northeast,281,53902
2014,10,South,861,134652
2014,10,West,402,84143
2014,11,Midwest,435,65712
2014,11,Northeast,256,49675
2014,11,South,822,124445
2014,11,West,373,78166
2014,12,Midwest,422,70144
2014,12,Northeast,266,52278
2014,12,South,874,136230
2014,12,West,356,81939
2015,1,Midwest,459,67413
2015,1,Northeast,280,50825
2015,1,South,877,128517
2015,1,West,402,79200
2015,2,Midwest,436,62637
2015,2,Northeast,249,47117
2015,2,South,799,115697
2015,2,West,371,72607
2015,3,Midwest,453,69532
2015,3,Northeast,275,51960
2015,3,South,898,126645
2015,3,West,395,80786
2015,4,Midwest,414,68729
2015,4,Northeast,269,51641
2015,4,South,873,122698
2015,4,West,404,77764
2015,5,Midwest,453,70115
2015,5,Northeast,263,53922
2015,5,South,900,123805
2015,5,West,359,80075
2015,6,Midwest,457,70932
2015,6,Northeast,253,53870
2015,6,South,878,126041
2015,6,West,425,79698
2015,7,Midwest,439,75593
2015,7,Northeast,277,56458
2015,7,South,856,136845
2015,7,West,405,84519
2015,8,Midwest,466,73644
2015,8,Northeast,246,55757
2015,8,South,866,137116
2015,8,West,409,85274
2015,9,Midwest,443,71787
2015,9,Northeast,267,54756
2015,9,South,897,136503
2015,9,West,351,84470
2015,10,Midwest,424,70024
2015,10,Northeast,245,53257
2015,10,South,872,133444
2015,10,West,372,82282
2015,11,Midwest,379,65425
2015,11,Northeast,246,49533
2015,11,South,843,126803
2015,11,West,348,77059
2015,12,Midwest,448,69802
2015,12,Northeast,299,51526
2015,12,South,861,134034
2015,12,West,354,80360
2016,1,Midwest,452,65338
2016,1,Northeast,231,49853
2016,1,South,860,124355
2016,1,West,389,77161
2016,2,Midwest,407,63958
2016,2,Northeast,250,48185
2016,2,South,888,119653
2016,2,West,349,74219
2016,3,Midwest,451,69363
2016,3,Northeast,252,51718
2016,3,South,926,127060
2016,3,West,382,80385
2016,4,Midwest,450,66763
2016,4,Northeast,240,50873
2016,4,South,852,119182
2016,4,West,347,76667
2016,5,Midwest,445,70094
2016,5,Northeast,245,53382
2016,5,South,855,124960
2016,5,West,406,79195
2016,6,Midwest,448,71080
2016,6,Northeast,284,53015
2016,6,South,815,128413
2016,6,West,398,79816
2016,7,Midwest,468,73044
2016,7,Northeast,245,55433
2016,7,South,842,132371
2016,7,West,380,81880
2016,8,Midwest,503,75164
2016,8,Northeast,251,56314
2016,8,South,849,138903
2016,8,West,369,87449
2016,9,Midwest,430,71621
2016,9,Northeast,258,53851
2016,9,South,873,134586
2016,9,West,370,85494
2016,10,Midwest,450,68195
2016,10,Northeast,255,51998
2016,10,South,878,129327
2016,10,West,388,81438
2016,11,Midwest,417,65876
2016,11,Northeast,216,49730
2016,11,South,851,126803
2016,11,West,352,76980
2016,12,Midwest,460,67212
2016,12,Northeast,251,50845
2016,12,South,829,128523
2016,12,West,354,78150
2017,1,Midwest,435,64699
2017,1,Northeast,235,49138
2017,1,South,833,123746
2017,1,West,384,76203
2017,2,Midwest,397,60549
2017,2,Northeast,219,45735
2017,2,South,769,112759
2017,2,West,329,70011
2017,3,Midwest,406,67852
2017,3,Northeast,247,51090
2017,3,South,867,123277
2017,3,West,381,77406
2017,4,Midwest,430,64329
2017,4,Northeast,262,48902
2017,4,South,800,113515
2017,4,West,388,73370
2017,5,Midwest,427,69196
2017,5,Northeast,238,51980
2017,5,South,885,122915
2017,5,West,329,78365
2017,6,Midwest,471,69326
2017,6,Northeast,274,52508
2017,6,South,851,124266
2017,6,West,371,77820
2017,7,Midwest,415,71107
2017,7,Northeast,241,54154
2017,7,South,800,129592
2017,7,West,324,80071
2017,8,Midwest,425,74070
2017,8,Northeast,247,55634
2017,8,South,856,139496
2017,8,West,368,82951
2017,9,Midwest,476,70022
2017,9,Northeast,255,53587
2017,9,South,799,132824
2017,9,West,376,80742
2017,10,Midwest,467,68401
2017,10,Northeast,251,52696
2017,10,South,805,129852
2017,10,West,357,78920
2017,11,Midwest,397,65088
2017,11,Northeast,251,50256
2017,11,South,806,125958
2017,11,West,344,75209
2017,12,Midwest,410,65424
2017,12,Northeast,257,49682
2017,12,South,839,125817
2017,12,West,341,74990
2018,1,Midwest,469,65007
2018,1,Northeast,237,49915
2018,1,South,831,125256
2018,1,West,363,74630
2018,2,Midwest,387,60159
2018,2,Northeast,201,44675
2018,2,South,722,111492
2018,2,West,347,67924
2018,3,Midwest,481,67444
2018,3,Northeast,221,50787
2018,3,South,783,122692
2018,3,West,387,75121
2018,4,Midwest,414,64135
2018,4,Northeast,233,48622
2018,4,South,769,114516
2018,4,West,340,71121
2018,5,Midwest,383,69161
2018,5,Northeast,228,52744
2018,5,South,805,123463
2018,5,West,369,75254
2018,6,Midwest,385,67678
2018,6,Northeast,263,51687
2018,6,South,720,121736
2018,6,West,339,73715
2018,7,Midwest,425,69756
2018,7,Northeast,257,53180
2018,7,South,783,127485
2018,7,West,361,78588
2018,8,Midwest,433,72588
2018,8,Northeast,236,54742
2018,8,South,803,136029
2018,8,West,341,81391
2018,9,Midwest,420,67060
2018,9,Northeast,224,51305
2018,9,South,835,127603
2018,9,West,351,76804
2018,10,Midwest,425,67754
2018,10,Northeast,267,52128
2018,10,South,792,129668
2018,10,West,374,77228
2018,11,Midwest,404,63572
2018,11,Northeast,222,48663
2018,11,South,774,122453
