age,date,rate
75,2022-11-04,3521.44
75,2022-11-05,3523.23
75,2022-11-06,3525.09
75,2022-11-07,3527.05
75,2022-11-08,3529.10
75,2022-11-09,3531.27
75,2022-11-10,3533.56
75,2022-11-11,3535.99
75,2022-11-12,3538.56
75,2022-11-13,3541.29
75,2022-11-14,3544.18
75,2022-11-15,3547.24
75,2022-11-16,3550.48
75,2022-11-17,3553.90
75,2022-11-18,3557.52
75,2022-11-19,3561.34
75,2022-11-20,3565.37
75,2022-11-21,3569.61
75,2022-11-22,3574.07
75,2022-11-23,3578.74
75,2022-11-24,3583.63
75,2022-11-25,3588.74
75,2022-11-26,3594.09
75,2022-11-27,3599.66
75,2022-11-28,3605.46
75,2022-11-29,3611.49
75,2022-11-30,3617.74
75,2022-12-01,3624.21
75,2022-12-02,3630.91
75,2022-12-03,3637.82
75,2022-12-04,3644.94
75,2022-12-05,3652.28
75,2022-12-06,3659.81
75,2022-12-07,3667.54
75,2022-12-08,3675.45
75,2022-12-09,3683.54
75,2022-12-10,3691.79
75,2022-12-11,3700.21
75,2022-12-12,3708.78
75,2022-12-13,3717.49
75,2022-12-14,3726.33
75,2022-12-15,3735.29
75,2022-12-16,3744.36
75,2022-12-17,3753.53
75,2022-12-18,3762.77
75,2022-12-19,3772.09
75,2022-12-20,3781.47
75,2022-12-21,3790.90
75,2022-12-22,3800.37
75,2022-12-23,3809.86
75,2022-12-24,3819.37
75,2022-12-25,3828.88
75,2022-12-26,3838.38
75,2022-12-27,3847.86
75,2022-12-28,3857.32
75,2022-12-29,3866.76
75,2022-12-30,3876.15
75,2022-12-31,3885.51
80,2020-01-01,7432.29
80,2020-01-02,7448.50
80,2020-01-03,7464.63
80,2020-01-04,7480.66
80,2020-01-05,7496.59
80,2020-01-06,7512.39
80,2020-01-07,7528.04
80,2020-01-08,7543.54
80,2020-01-09,7558.84
80,2020-01-10,7573.94
80,2020-01-11,7588.81
80,2020-01-12,7603.44
80,2020-01-13,7617.79
80,2020-01-14,7631.85
80,2020-01-15,7645.60
80,2020-01-16,7659.01
80,2020-01-17,7672.07
80,2020-01-18,7684.74
80,2020-01-19,7697.02
80,2020-01-20,7708.87
80,2020-01-21,7720.28
80,2020-01-22,7731.22
80,2020-01-23,7741.69
80,2020-01-24,7751.66
80,2020-01-25,7761.12
80,2020-01-26,7770.05
80,2020-01-27,7778.43
80,2020-01-28,7786.25
80,2020-01-29,7793.50
80,2020-01-30,7800.15
80,2020-01-31,7806.21
80,2020-02-01,7811.66
80,2020-02-02,7816.49
80,2020-02-03,7820.70
80,2020-02-04,7824.28
80,2020-02-05,7827.21
80,2020-02-06,7829.50
80,2020-02-07,7831.14
80,2020-02-08,7832.13
80,2020-02-09,7832.48
80,2020-02-10,7832.19
80,2020-02-11,7831.24
80,2020-02-12,7829.65
80,2020-02-13,7827.41
80,2020-02-14,7824.53
80,2020-02-15,7821.01
80,2020-02-16,7816.87
80,2020-02-17,7812.11
80,2020-02-18,7806.74
80,2020-02-19,7800.77
80,2020-02-20,7794.20
80,2020-02-21,7787.05
80,2020-02-22,7779.33
80,2020-02-23,7771.05
80,2020-02-24,7762.22
80,2020-02-25,7752.87
80,2020-02-26,7742.99
80,2020-02-27,7732.60
80,2020-02-28,7721.72
80,2020-02-29,7715.81
80,2020-03-01,7709.90
80,2020-03-02,7698.07
80,2020-03-03,7685.79
80,2020-03-04,7673.07
80,2020-03-05,7659.92
80,2020-03-06,7646.35
80,2020-03-07,7632.39
80,2020-03-08,7618.05
80,2020-03-09,7603.33
80,2020-03-10,7588.25
80,2020-03-11,7572.83
80,2020-03-12,7557.07
80,2020-03-13,7540.98
80,2020-03-14,7524.59
80,2020-03-15,7507.91
80,2020-03-16,7490.94
80,2020-03-17,7473.69
80,2020-03-18,7456.19
80,2020-03-19,7438.44
80,2020-03-20,7420.45
80,2020-03-21,7402.24
80,2020-03-22,7383.81
80,2020-03-23,7365.19
80,2020-03-24,7346.38
80,2020-03-25,7327.39
80,2020-03-26,7308.24
80,2020-03-27,7288.94
80,2020-03-28,7269.49
80,2020-03-29,7249.93
80,2020-03-30,7230.24
80,2020-03-31,7210.46
80,2020-04-01,7190.58
80,2020-04-02,7170.63
80,2020-04-03,7150.61
80,2020-04-04,7130.54
80,2020-04-05,7110.44
80,2020-04-06,7090.30
80,2020-04-07,7070.15
80,2020-04-08,7050.00
80,2020-04-09,7029.85
80,2020-04-10,7009.73
80,2020-04-11,6989.65
80,2020-04-12,6969.62
80,2020-04-13,6949.65
80,2020-04-14,6929.75
80,2020-04-15,6909.94
80,2020-04-16,6890.23
80,2020-04-17,6870.62
80,2020-04-18,6851.14
80,2020-04-19,6831.80
80,2020-04-20,6812.60
80,2020-04-21,6793.57
80,2020-04-22,6774.70
80,2020-04-23,6756.01
80,2020-04-24,6737.52
80,2020-04-25,6719.23
80,2020-04-26,6701.15
80,2020-04-27,6683.30
80,2020-04-28,6665.68
80,2020-04-29,6648.31
80,2020-04-30,6631.20
80,2020-05-01,6614.34
80,2020-05-02,6597.76
80,2020-05-03,6581.46
80,2020-05-04,6565.45
80,2020-05-05,6549.73
80,2020-05-06,6534.32
80,2020-05-07,6519.23
80,2020-05-08,6504.46
80,2020-05-09,6490.01
80,2020-05-10,6475.90
80,2020-05-11,6462.14
80,2020-05-12,6448.72
80,2020-05-13,6435.65
80,2020-05-14,6422.95
80,2020-05-15,6410.62
80,2020-05-16,6398.65
80,2020-05-17,6387.06
80,2020-05-18,6375.85
80,2020-05-19,6365.02
80,2020-05-20,6354.59
80,2020-05-21,6344.55
80,2020-05-22,6334.90
80,2020-05-23,6325.66
80,2020-05-24,6316.82
80,2020-05-25,6308.38
80,2020-05-26,6300.35
80,2020-05-27,6292.72
80,2020-05-28,6285.51
80,2020-05-29,6278.70
80,2020-05-30,6272.30
80,2020-05-31,6266.31
80,2020-06-01,6260.72
80,2020-06-02,6255.53
80,2020-06-03,6250.74
80,2020-06-04,6246.35
80,2020-06-05,6242.34
80,2020-06-06,6238.73
80,2020-06-07,6235.49
80,2020-06-08,6232.61
80,2020-06-09,6230.10
80,2020-06-10,6227.94
80,2020-06-11,6226.11
80,2020-06-12,6224.61
80,2020-06-13,6223.43
80,2020-06-14,6222.56
80,2020-06-15,6221.98
80,2020-06-16,6221.67
80,2020-06-17,6221.63
80,2020-06-18,6221.83
80,2020-06-19,6222.25
80,2020-06-20,6222.89
80,2020-06-21,6223.72
80,2020-06-22,6224.73
80,2020-06-23,6225.90
80,2020-06-24,6227.21
80,2020-06-25,6228.65
80,2020-06-26,6230.18
80,2020-06-27,6231.80
80,2020-06-28,6233.49
80,2020-06-29,6235.23
80,2020-06-30,6237.00
80,2020-07-01,6238.78
80,2020-07-02,6240.57
80,2020-07-03,6242.33
80,2020-07-04,6244.06
80,2020-07-05,6245.73
80,2020-07-06,6247.34
80,2020-07-07,6248.86
80,2020-07-08,6250.30
80,2020-07-09,6251.63
80,2020-07-10,6252.85
80,2020-07-11,6253.95
80,2020-07-12,6254.91
80,2020-07-13,6255.73
80,2020-07-14,6256.40
80,2020-07-15,6256.91
80,2020-07-16,6257.26
80,2020-07-17,6257.45
80,2020-07-18,6257.49
80,2020-07-19,6257.35
80,2020-07-20,6257.06
80,2020-07-21,6256.59
80,2020-07-22,6255.97
80,2020-07-23,6255.20
80,2020-07-24,6254.28
80,2020-07-25,6253.23
80,2020-07-26,6252.05
80,2020-07-27,6250.74
80,2020-07-28,6249.33
80,2020-07-29,6247.81
80,2020-07-30,6246.20
80,2020-07-31,6244.51
80,2020-08-01,6242.76
80,2020-08-02,6240.96
80,2020-08-03,6239.14
80,2020-08-04,6237.29
80,2020-08-05,6235.44
80,2020-08-06,6233.61
80,2020-08-07,6231.81
80,2020-08-08,6230.05
80,2020-08-09,6228.36
80,2020-08-10,6226.75
80,2020-08-11,6225.25
80,2020-08-12,6223.86
80,2020-08-13,6222.60
80,2020-08-14,6221.49
80,2020-08-15,6220.54
80,2020-08-16,6219.76
80,2020-08-17,6219.18
80,2020-08-18,6218.80
80,2020-08-19,6218.64
80,2020-08-20,6218.72
80,2020-08-21,6219.03
80,2020-08-22,6219.60
80,2020-08-23,6220.44
80,2020-08-24,6221.54
80,2020-08-25,6222.91
80,2020-08-26,6224.57
80,2020-08-27,6226.52
80,2020-08-28,6228.76
80,2020-08-29,6231.30
80,2020-08-30,6234.13
80,2020-08-31,6237.25
80,2020-09-01,6240.66
80,2020-09-02,6244.36
80,2020-09-03,6248.35
80,2020-09-04,6252.61
80,2020-09-05,6257.16
80,2020-09-06,6261.98
80,2020-09-07,6267.07
80,2020-09-08,6272.40
80,2020-09-09,6277.98
80,2020-09-10,6283.80
80,2020-09-11,6289.84
80,2020-09-12,6296.09
80,2020-09-13,6302.54
80,2020-09-14,6309.17
80,2020-09-15,6315.98
80,2020-09-16,6322.95
80,2020-09-17,6330.06
80,2020-09-18,6337.30
80,2020-09-19,6344.65
80,2020-09-20,6352.11
80,2020-09-21,6359.66
80,2020-09-22,6367.27
80,2020-09-23,6374.95
80,2020-09-24,6382.67
80,2020-09-25,6390.41
80,2020-09-26,6398.17
80,2020-09-27,6405.93
80,2020-09-28,6413.68
80,2020-09-29,6421.41
80,2020-09-30,6429.10
80,2020-10-01,6436.74
80,2020-10-02,6444.33
80,2020-10-03,6451.85
80,2020-10-04,6459.30
80,2020-10-05,6466.65
80,2020-10-06,6473.91
80,2020-10-07,6481.06
80,2020-10-08,6488.11
80,2020-10-09,6495.04
80,2020-10-10,6501.86
80,2020-10-11,6508.54
80,2020-10-12,6515.10
80,2020-10-13,6521.52
80,2020-10-14,6527.82
80,2020-10-15,6533.98
80,2020-10-16,6540.01
80,2020-10-17,6545.91
80,2020-10-18,6551.68
80,2020-10-19,6557.32
80,2020-10-20,6562.83
80,2020-10-21,6568.21
80,2020-10-22,6573.48
80,2020-10-23,6578.64
80,2020-10-24,6583.69
80,2020-10-25,6588.64
80,2020-10-26,6593.51
80,2020-10-27,6598.28
80,2020-10-28,6602.99
80,2020-10-29,6607.63
80,2020-10-30,6612.22
80,2020-10-31,6616.77
80,2020-11-01,6621.29
80,2020-11-02,6625.80
80,2020-11-03,6630.31
80,2020-11-04,6634.82
80,2020-11-05,6639.36
80,2020-11-06,6643.94
80,2020-11-07,6648.57
80,2020-11-08,6653.27
80,2020-11-09,6658.05
80,2020-11-10,6662.93
80,2020-11-11,6667.93
80,2020-11-12,6673.06
80,2020-11-13,6678.33
80,2020-11-14,6683.77
80,2020-11-15,6689.38
80,2020-11-16,6695.18
80,2020-11-17,6701.20
80,2020-11-18,6707.43
80,2020-11-19,6713.90
80,2020-11-20,6720.63
80,2020-11-21,6727.61
80,2020-11-22,6734.87
80,2020-11-23,6742.42
80,2020-11-24,6750.26
80,2020-11-25,6758.41
80,2020-11-26,6766.89
80,2020-11-27,6775.69
80,2020-11-28,6784.83
80,2020-11-29,6794.31
80,2020-11-30,6804.14
80,2020-12-01,6814.31
80,2020-12-02,6824.84
80,2020-12-03,6835.73
80,2020-12-04,6846.98
80,2020-12-05,6858.58
80,2020-12-06,6870.53
80,2020-12-07,6882.82
80,2020-12-08,6895.45
80,2020-12-09,6908.41
80,2020-12-10,6921.68
