age,type,year,month,dead
all,and,2020,06,61
all,and,2020,07,130
all,and,2020,08,128
all,and,2020,09,94
all,and,2020,10,100
all,and,2020,11,208
all,and,2020,12,358
all,and,2021,01,479
all,and,2021,02,272
all,and,2021,03,142
all,and,2021,04,94
all,and,2021,05,101
all,and,2021,06,49
all,and,2021,07,49
all,and,2021,08,255
all,and,2021,09,356
all,and,2021,10,227
all,and,2021,11,182
all,and,2021,12,210
all,and,2022,01,441
all,and,2022,02,337
all,and,2022,03,108
all,and,2022,04,23
all,and,2022,05,38
all,and,2022,06,62
all,and,2022,07,61
all,and,2022,08,84
all,and,2022,09,66
all,and,2022,10,49
all,and,2022,11,54
all,and,2022,12,70
all,and,2023,01,80
all,and,2023,02,45
all,and,2023,03,25
all,and,2023,04,33
all,and,2023,05,19
all,and,2023,06,16
all,and,2023,07,11
all,and,2023,08,14
all,and,2023,09,26
all,and,2023,10,34
all,and,2023,11,35
all,and,2023,12,48
all,and,2024,01,58
all,and,2024,02,39
all,and,2024,03,19
all,and,2024,04,12
all,and,2024,07,17
all,and,2024,08,35
all,and,2024,09,30
all,and,2024,10,19
all,and,2024,11,16
all,and,2024,12,11
25-54,mcd,1999,01,89
25-54,mcd,1999,02,68
25-54,mcd,1999,03,68
25-54,mcd,1999,04,77
25-54,mcd,1999,05,74
25-54,mcd,1999,06,78
25-54,mcd,1999,07,74
25-54,mcd,1999,08,69
25-54,mcd,1999,09,75
25-54,mcd,1999,10,71
25-54,mcd,1999,11,71
25-54,mcd,1999,12,77
25-54,mcd,2000,01,89
25-54,mcd,2000,02,80
25-54,mcd,2000,03,80
25-54,mcd,2000,04,75
25-54,mcd,2000,05,73
25-54,mcd,2000,06,56
25-54,mcd,2000,07,78
25-54,mcd,2000,08,59
25-54,mcd,2000,09,58
25-54,mcd,2000,10,81
25-54,mcd,2000,11,72
25-54,mcd,2000,12,84
25-54,mcd,2001,01,67
25-54,mcd,2001,02,66
25-54,mcd,2001,03,75
25-54,mcd,2001,04,74
25-54,mcd,2001,05,66
25-54,mcd,2001,06,54
25-54,mcd,2001,07,61
25-54,mcd,2001,08,53
25-54,mcd,2001,09,74
25-54,mcd,2001,10,84
25-54,mcd,2001,11,76
25-54,mcd,2001,12,60
25-54,mcd,2002,01,71
25-54,mcd,2002,02,71
25-54,mcd,2002,03,72
25-54,mcd,2002,04,68
25-54,mcd,2002,05,82
25-54,mcd,2002,06,71
25-54,mcd,2002,07,69
25-54,mcd,2002,08,75
25-54,mcd,2002,09,88
25-54,mcd,2002,10,69
25-54,mcd,2002,11,55
25-54,mcd,2002,12,63
25-54,mcd,2003,01,87
25-54,mcd,2003,02,59
25-54,mcd,2003,03,71
25-54,mcd,2003,04,71
25-54,mcd,2003,05,63
25-54,mcd,2003,06,72
25-54,mcd,2003,07,70
25-54,mcd,2003,08,71
25-54,mcd,2003,09,74
25-54,mcd,2003,10,77
25-54,mcd,2003,11,72
25-54,mcd,2003,12,87
25-54,mcd,2004,01,78
25-54,mcd,2004,02,67
25-54,mcd,2004,03,83
25-54,mcd,2004,04,71
25-54,mcd,2004,05,74
25-54,mcd,2004,06,63
25-54,mcd,2004,07,79
25-54,mcd,2004,08,94
25-54,mcd,2004,09,76
25-54,mcd,2004,10,62
25-54,mcd,2004,11,73
25-54,mcd,2004,12,83
25-54,mcd,2005,01,90
25-54,mcd,2005,02,62
25-54,mcd,2005,03,84
25-54,mcd,2005,04,75
25-54,mcd,2005,05,67
25-54,mcd,2005,06,67
25-54,mcd,2005,07,89
25-54,mcd,2005,08,82
25-54,mcd,2005,09,73
25-54,mcd,2005,10,64
25-54,mcd,2005,11,70
25-54,mcd,2005,12,87
25-54,mcd,2006,01,90
25-54,mcd,2006,02,53
25-54,mcd,2006,03,72
25-54,mcd,2006,04,80
25-54,mcd,2006,05,85
25-54,mcd,2006,06,68
25-54,mcd,2006,07,83
25-54,mcd,2006,08,91
25-54,mcd,2006,09,89
25-54,mcd,2006,10,68
25-54,mcd,2006,11,75
25-54,mcd,2006,12,69
25-54,mcd,2007,01,72
25-54,mcd,2007,02,73
25-54,mcd,2007,03,69
25-54,mcd,2007,04,81
25-54,mcd,2007,05,68
25-54,mcd,2007,06,68
25-54,mcd,2007,07,82
25-54,mcd,2007,08,70
25-54,mcd,2007,09,77
25-54,mcd,2007,10,76
25-54,mcd,2007,11,82
25-54,mcd,2007,12,85
25-54,mcd,2008,01,76
25-54,mcd,2008,02,64
25-54,mcd,2008,03,84
25-54,mcd,2008,04,69
25-54,mcd,2008,05,63
25-54,mcd,2008,06,68
25-54,mcd,2008,07,72
25-54,mcd,2008,08,79
25-54,mcd,2008,09,61
25-54,mcd,2008,10,95
25-54,mcd,2008,11,76
25-54,mcd,2008,12,63
25-54,mcd,2009,01,69
25-54,mcd,2009,02,69
25-54,mcd,2009,03,75
25-54,mcd,2009,04,60
25-54,mcd,2009,05,72
25-54,mcd,2009,06,79
25-54,mcd,2009,07,76
25-54,mcd,2009,08,72
25-54,mcd,2009,09,77
25-54,mcd,2009,10,73
25-54,mcd,2009,11,71
25-54,mcd,2009,12,67
25-54,mcd,2010,01,95
25-54,mcd,2010,02,84
25-54,mcd,2010,03,98
25-54,mcd,2010,04,74
25-54,mcd,2010,05,69
25-54,mcd,2010,06,72
25-54,mcd,2010,07,76
25-54,mcd,2010,08,63
25-54,mcd,2010,09,64
25-54,mcd,2010,10,74
25-54,mcd,2010,11,83
25-54,mcd,2010,12,88
25-54,mcd,2011,01,79
25-54,mcd,2011,02,80
25-54,mcd,2011,03,97
25-54,mcd,2011,04,76
25-54,mcd,2011,05,71
25-54,mcd,2011,06,60
25-54,mcd,2011,07,77
25-54,mcd,2011,08,74
25-54,mcd,2011,09,70
25-54,mcd,2011,10,73
25-54,mcd,2011,11,69
25-54,mcd,2011,12,82
25-54,mcd,2012,01,69
25-54,mcd,2012,02,70
25-54,mcd,2012,03,92
25-54,mcd,2012,04,80
25-54,mcd,2012,05,82
25-54,mcd,2012,06,63
25-54,mcd,2012,07,94
25-54,mcd,2012,08,93
25-54,mcd,2012,09,79
25-54,mcd,2012,10,99
25-54,mcd,2012,11,79
25-54,mcd,2012,12,93
25-54,mcd,2013,01,78
25-54,mcd,2013,02,76
25-54,mcd,2013,03,84
25-54,mcd,2013,04,90
25-54,mcd,2013,05,81
25-54,mcd,2013,06,75
25-54,mcd,2013,07,72
25-54,mcd,2013,08,84
25-54,mcd,2013,09,84
25-54,mcd,2013,10,77
25-54,mcd,2013,11,73
25-54,mcd,2013,12,102
25-54,mcd,2014,01,79
25-54,mcd,2014,02,74
25-54,mcd,2014,03,76
25-54,mcd,2014,04,72
25-54,mcd,2014,05,75
25-54,mcd,2014,06,70
25-54,mcd,2014,07,73
25-54,mcd,2014,08,70
25-54,mcd,2014,09,83
25-54,mcd,2014,10,73
25-54,mcd,2014,11,81
25-54,mcd,2014,12,64
25-54,mcd,2015,01,90
25-54,mcd,2015,02,63
25-54,mcd,2015,03,74
25-54,mcd,2015,04,74
25-54,mcd,2015,05,68
25-54,mcd,2015,06,70
25-54,mcd,2015,07,87
