year,week,age,dead
2022,3,90,328
2022,4,0,8
2022,4,5,1
2022,4,10,0
2022,4,15,3
2022,4,20,3
2022,4,25,6
2022,4,30,13
2022,4,35,17
2022,4,40,28
2022,4,45,38
2022,4,50,57
2022,4,55,83
2022,4,60,147
2022,4,65,219
2022,4,70,309
2022,4,75,404
2022,4,80,346
2022,4,85,330
2022,4,90,360
2022,5,0,4
2022,5,5,1
2022,5,10,4
2022,5,15,3
2022,5,20,8
2022,5,25,7
2022,5,30,7
2022,5,35,10
2022,5,40,22
2022,5,45,43
2022,5,50,71
2022,5,55,95
2022,5,60,138
2022,5,65,262
2022,5,70,375
2022,5,75,362
2022,5,80,420
2022,5,85,405
2022,5,90,390
2022,6,0,7
2022,6,5,2
2022,6,10,3
2022,6,15,4
2022,6,20,7
2022,6,25,7
2022,6,30,12
2022,6,35,8
2022,6,40,17
2022,6,45,37
2022,6,50,62
2022,6,55,88
2022,6,60,121
2022,6,65,226
2022,6,70,372
2022,6,75,466
2022,6,80,434
2022,6,85,401
2022,6,90,402
2022,7,0,5
2022,7,5,0
2022,7,10,1
2022,7,15,3
2022,7,20,2
2022,7,25,6
2022,7,30,4
2022,7,35,14
2022,7,40,24
2022,7,45,49
2022,7,50,63
2022,7,55,84
2022,7,60,128
2022,7,65,224
2022,7,70,339
2022,7,75,461
2022,7,80,388
2022,7,85,419
2022,7,90,400
2022,8,0,6
2022,8,5,2
2022,8,10,4
2022,8,15,2
2022,8,20,4
2022,8,25,5
2022,8,30,13
2022,8,35,16
2022,8,40,24
2022,8,45,34
2022,8,50,47
2022,8,55,85
2022,8,60,133
2022,8,65,211
2022,8,70,314
2022,8,75,408
2022,8,80,395
2022,8,85,404
2022,8,90,389
2022,9,0,1
2022,9,5,2
2022,9,10,2
2022,9,15,1
2022,9,20,6
2022,9,25,6
2022,9,30,12
2022,9,35,15
2022,9,40,30
2022,9,45,44
2022,9,50,68
2022,9,55,81
2022,9,60,118
2022,9,65,200
2022,9,70,341
2022,9,75,397
2022,9,80,347
2022,9,85,377
2022,9,90,357
2022,10,0,4
2022,10,5,1
2022,10,10,0
2022,10,15,1
2022,10,20,3
2022,10,25,6
2022,10,30,9
2022,10,35,13
2022,10,40,25
2022,10,45,45
2022,10,50,52
2022,10,55,96
2022,10,60,136
2022,10,65,245
2022,10,70,301
2022,10,75,358
2022,10,80,351
2022,10,85,389
2022,10,90,350
2022,11,0,4
2022,11,5,1
2022,11,10,2
2022,11,15,6
2022,11,20,4
2022,11,25,3
2022,11,30,9
2022,11,35,10
2022,11,40,21
2022,11,45,34
2022,11,50,51
2022,11,55,74
2022,11,60,138
2022,11,65,228
2022,11,70,314
2022,11,75,334
2022,11,80,369
2022,11,85,353
2022,11,90,346
2022,12,0,8
2022,12,5,1
2022,12,10,0
2022,12,15,2
2022,12,20,6
2022,12,25,5
2022,12,30,11
2022,12,35,7
2022,12,40,16
2022,12,45,32
2022,12,50,64
2022,12,55,87
2022,12,60,137
2022,12,65,219
2022,12,70,329
2022,12,75,430
2022,12,80,357
2022,12,85,372
2022,12,90,369
2022,13,0,8
2022,13,5,1
2022,13,10,1
2022,13,15,4
2022,13,20,6
2022,13,25,4
2022,13,30,5
2022,13,35,15
2022,13,40,24
2022,13,45,44
2022,13,50,48
2022,13,55,105
2022,13,60,138
2022,13,65,245
2022,13,70,324
2022,13,75,402
2022,13,80,377
2022,13,85,387
2022,13,90,365
2022,14,0,0
2022,14,5,0
2022,14,10,0
2022,14,15,3
2022,14,20,2
2022,14,25,6
2022,14,30,7
2022,14,35,13
2022,14,40,20
2022,14,45,33
2022,14,50,53
2022,14,55,92
2022,14,60,121
2022,14,65,236
2022,14,70,325
2022,14,75,368
2022,14,80,362
2022,14,85,375
2022,14,90,399
2022,15,0,9
2022,15,5,1
2022,15,10,0
2022,15,15,1
2022,15,20,3
2022,15,25,2
2022,15,30,9
2022,15,35,14
2022,15,40,18
2022,15,45,41
2022,15,50,45
2022,15,55,74
2022,15,60,125
2022,15,65,211
2022,15,70,312
2022,15,75,396
2022,15,80,364
2022,15,85,346
2022,15,90,333
2022,16,0,5
2022,16,5,2
2022,16,10,0
2022,16,15,4
2022,16,20,6
2022,16,25,4
2022,16,30,11
2022,16,35,11
2022,16,40,34
2022,16,45,29
2022,16,50,49
2022,16,55,92
2022,16,60,99
2022,16,65,176
2022,16,70,331
2022,16,75,349
2022,16,80,374
2022,16,85,361
2022,16,90,374
2022,17,0,6
2022,17,5,1
2022,17,10,2
2022,17,15,4
2022,17,20,9
2022,17,25,6
2022,17,30,10
2022,17,35,17
2022,17,40,22
2022,17,45,39
2022,17,50,51
2022,17,55,87
2022,17,60,109
2022,17,65,198
2022,17,70,326
2022,17,75,352
2022,17,80,397
2022,17,85,301
2022,17,90,303
2022,18,0,9
2022,18,5,0
2022,18,10,0
2022,18,15,7
2022,18,20,4
2022,18,25,2
2022,18,30,13
2022,18,35,20
2022,18,40,28
2022,18,45,50
2022,18,50,54
2022,18,55,65
2022,18,60,118
2022,18,65,198
2022,18,70,305
2022,18,75,360
2022,18,80,357
2022,18,85,334
2022,18,90,334
2022,19,0,2
2022,19,5,0
2022,19,10,2
2022,19,15,1
2022,19,20,5
2022,19,25,3
2022,19,30,16
2022,19,35,15
2022,19,40,20
2022,19,45,40
2022,19,50,52
2022,19,55,75
2022,19,60,116
2022,19,65,231
2022,19,70,315
2022,19,75,360
2022,19,80,332
2022,19,85,313
2022,19,90,284
2022,20,0,5
2022,20,5,0
2022,20,10,0
2022,20,15,2
2022,20,20,4
2022,20,25,4
2022,20,30,10
2022,20,35,16
2022,20,40,24
2022,20,45,35
2022,20,50,54
2022,20,55,74
2022,20,60,108
2022,20,65,197
2022,20,70,288
2022,20,75,332
2022,20,80,316
2022,20,85,267
2022,20,90,295
2022,21,0,5
2022,21,5,0
2022,21,10,0
2022,21,15,3
2022,21,20,3
2022,21,25,3
2022,21,30,7
2022,21,35,9
2022,21,40,26
2022,21,45,42
2022,21,50,49
2022,21,55,77
2022,21,60,96
2022,21,65,153
2022,21,70,275
2022,21,75,325
2022,21,80,294
2022,21,85,268
2022,21,90,254
2022,22,0,5
2022,22,5,1
2022,22,10,1
2022,22,15,4
2022,22,20,4
2022,22,25,5
2022,22,30,7
2022,22,35,15
2022,22,40,14
2022,22,45,29
2022,22,50,45
2022,22,55,97
2022,22,60,111
2022,22,65,160
2022,22,70,280
2022,22,75,343
2022,22,80,342
2022,22,85,301
2022,22,90,283
2022,23,0,8
2022,23,5,2
2022,23,10,1
2022,23,15,5
2022,23,20,3
2022,23,25,5
2022,23,30,10
2022,23,35,11
2022,23,40,28
2022,23,45,31
2022,23,50,48
2022,23,55,73
2022,23,60,109
2022,23,65,194
2022,23,70,286
2022,23,75,322
2022,23,80,317
2022,23,85,302
2022,23,90,302
2022,24,0,2
2022,24,5,0
2022,24,10,0
2022,24,15,5
2022,24,20,2
2022,24,25,4
2022,24,30,10
2022,24,35,18
2022,24,40,16
2022,24,45,46
2022,24,50,43
2022,24,55,70
2022,24,60,98
2022,24,65,200
2022,24,70,282
2022,24,75,307
2022,24,80,284
2022,24,85,306
2022,24,90,280
2022,25,0,8
2022,25,5,2
2022,25,10,0
2022,25,15,0
2022,25,20,3
2022,25,25,4
2022,25,30,15
2022,25,35,13
2022,25,40,17
2022,25,45,35
2022,25,50,40
2022,25,55,77
2022,25,60,109
2022,25,65,178
2022,25,70,269
2022,25,75,296
2022,25,80,288
2022,25,85,317
2022,25,90,302
2022,26,0,7
2022,26,5,0
2022,26,10,1
2022,26,15,3
2022,26,20,6
2022,26,25,4
2022,26,30,12
2022,26,35,17
2022,26,40,21
2022,26,45,54
2022,26,50,43
2022,26,55,82
2022,26,60,98
2022,26,65,198
2022,26,70,292
2022,26,75,356
2022,26,80,327
2022,26,85,307
2022,26,90,333
2022,27,0,8
2022,27,5,2
2022,27,10,1
2022,27,15,5
2022,27,20,4
2022,27,25,4
2022,27,30,8
2022,27,35,7
2022,27,40,21
2022,27,45,30
2022,27,50,47
2022,27,55,71
2022,27,60,105
2022,27,65,178
2022,27,70,266
2022,27,75,289
2022,27,80,277
2022,27,85,296
2022,27,90,253
2022,28,0,6
2022,28,5,0
2022,28,10,0
2022,28,15,2
2022,28,20,3
2022,28,25,6
2022,28,30,10
2022,28,35,17
2022,28,40,30
2022,28,45,40
2022,28,50,52
2022,28,55,77
2022,28,60,93
2022,28,65,163
2022,28,70,261
2022,28,75,311
2022,28,80,292
2022,28,85,303
2022,28,90,290
2022,29,0,9
2022,29,5,3
2022,29,10,2
2022,29,15,3
2022,29,20,2
2022,29,25,7
2022,29,30,8
2022,29,35,11
2022,29,40,15
2022,29,45,37
2022,29,50,57
2022,29,55,79
2022,29,60,109
2022,29,65,199
2022,29,70,322
2022,29,75,398
2022,29,80,369
2022,29,85,361
2022,29,90,319
2022,30,0,9
2022,30,5,2
2022,30,10,1
2022,30,15,4
2022,30,20,6
2022,30,25,6
2022,30,30,12
2022,30,35,14
2022,30,40,22
2022,30,45,39
2022,30,50,47
2022,30,55,71
