group,date,age,dead
top17,2020-11,85,2365
top17,2020-11,90,1537
top17,2020-11,95,507
top17,2020-11,100,72
top17,2020-12,1,11
top17,2020-12,5,13
top17,2020-12,10,15
top17,2020-12,15,22
top17,2020-12,20,34
top17,2020-12,25,57
top17,2020-12,30,87
top17,2020-12,35,137
top17,2020-12,40,257
top17,2020-12,45,432
top17,2020-12,50,761
top17,2020-12,55,1450
top17,2020-12,60,2371
top17,2020-12,65,2983
top17,2020-12,70,3564
top17,2020-12,75,3474
top17,2020-12,80,3254
top17,2020-12,85,2657
top17,2020-12,90,1685
top17,2020-12,95,597
top17,2020-12,100,78
top17,2021-01,1,13
top17,2021-01,5,13
top17,2021-01,10,17
top17,2021-01,15,24
top17,2021-01,20,30
top17,2021-01,25,39
top17,2021-01,30,99
top17,2021-01,35,145
top17,2021-01,40,235
top17,2021-01,45,438
top17,2021-01,50,788
top17,2021-01,55,1496
top17,2021-01,60,2395
top17,2021-01,65,3055
top17,2021-01,70,3639
top17,2021-01,75,3598
top17,2021-01,80,3101
top17,2021-01,85,2705
top17,2021-01,90,1626
top17,2021-01,95,627
top17,2021-01,100,88
top17,2021-02,5,12
top17,2021-02,10,17
top17,2021-02,15,14
top17,2021-02,20,21
top17,2021-02,25,44
top17,2021-02,30,61
top17,2021-02,35,125
top17,2021-02,40,231
top17,2021-02,45,397
top17,2021-02,50,727
top17,2021-02,55,1308
top17,2021-02,60,2086
top17,2021-02,65,2651
top17,2021-02,70,3188
top17,2021-02,75,3049
top17,2021-02,80,2654
top17,2021-02,85,2220
top17,2021-02,90,1424
top17,2021-02,95,460
top17,2021-02,100,63
top17,2021-03,1,11
top17,2021-03,5,12
top17,2021-03,10,15
top17,2021-03,15,21
top17,2021-03,20,25
top17,2021-03,25,44
top17,2021-03,30,82
top17,2021-03,35,131
top17,2021-03,40,238
top17,2021-03,45,426
top17,2021-03,50,764
top17,2021-03,55,1446
top17,2021-03,60,2266
top17,2021-03,65,2861
top17,2021-03,70,3317
top17,2021-03,75,3246
top17,2021-03,80,2988
top17,2021-03,85,2394
top17,2021-03,90,1487
top17,2021-03,95,436
top17,2021-03,100,58
top17,2021-04,5,11
top17,2021-04,10,13
top17,2021-04,15,18
top17,2021-04,20,27
top17,2021-04,25,44
top17,2021-04,30,71
top17,2021-04,35,117
top17,2021-04,40,256
top17,2021-04,45,374
top17,2021-04,50,709
top17,2021-04,55,1395
top17,2021-04,60,2088
top17,2021-04,65,2606
top17,2021-04,70,3298
top17,2021-04,75,3136
top17,2021-04,80,2785
top17,2021-04,85,2352
top17,2021-04,90,1376
top17,2021-04,95,506
top17,2021-04,100,70
top17,2021-05,1,13
top17,2021-05,5,10
top17,2021-05,10,17
top17,2021-05,15,17
top17,2021-05,20,32
top17,2021-05,25,39
top17,2021-05,30,63
top17,2021-05,35,141
top17,2021-05,40,219
top17,2021-05,45,402
top17,2021-05,50,739
top17,2021-05,55,1413
top17,2021-05,60,2296
top17,2021-05,65,2832
top17,2021-05,70,3326
top17,2021-05,75,3206
top17,2021-05,80,2900
top17,2021-05,85,2328
top17,2021-05,90,1449
top17,2021-05,95,460
top17,2021-05,100,79
top17,2021-06,1,11
top17,2021-06,5,14
top17,2021-06,10,16
top17,2021-06,15,21
top17,2021-06,20,20
top17,2021-06,25,53
top17,2021-06,30,72
top17,2021-06,35,146
top17,2021-06,40,226
top17,2021-06,45,368
top17,2021-06,50,709
top17,2021-06,55,1352
top17,2021-06,60,2186
top17,2021-06,65,2816
top17,2021-06,70,3160
top17,2021-06,75,3067
top17,2021-06,80,2713
top17,2021-06,85,2312
top17,2021-06,90,1387
top17,2021-06,95,461
top17,2021-06,100,98
top17,2021-07,1,10
top17,2021-07,5,14
top17,2021-07,10,15
top17,2021-07,15,23
top17,2021-07,20,32
top17,2021-07,25,49
top17,2021-07,30,81
top17,2021-07,35,135
top17,2021-07,40,225
top17,2021-07,45,370
top17,2021-07,50,736
top17,2021-07,55,1355
top17,2021-07,60,2179
top17,2021-07,65,2813
top17,2021-07,70,3285
top17,2021-07,75,3255
top17,2021-07,80,2916
top17,2021-07,85,2338
top17,2021-07,90,1513
top17,2021-07,95,497
top17,2021-07,100,66
top17,2021-08,1,12
top17,2021-08,5,20
top17,2021-08,10,14
top17,2021-08,15,27
top17,2021-08,20,17
top17,2021-08,25,54
top17,2021-08,30,85
top17,2021-08,35,134
top17,2021-08,40,245
top17,2021-08,45,395
top17,2021-08,50,758
top17,2021-08,55,1456
top17,2021-08,60,2302
top17,2021-08,65,2919
top17,2021-08,70,3523
top17,2021-08,75,3310
top17,2021-08,80,2984
top17,2021-08,85,2412
top17,2021-08,90,1570
top17,2021-08,95,534
top17,2021-08,100,65
top17,2021-09,10,21
top17,2021-09,15,22
top17,2021-09,20,27
top17,2021-09,25,44
top17,2021-09,30,84
top17,2021-09,35,150
top17,2021-09,40,260
top17,2021-09,45,364
top17,2021-09,50,708
top17,2021-09,55,1316
top17,2021-09,60,2243
top17,2021-09,65,2783
top17,2021-09,70,3448
top17,2021-09,75,3279
top17,2021-09,80,2873
top17,2021-09,85,2322
top17,2021-09,90,1532
top17,2021-09,95,512
top17,2021-09,100,79
top17,2021-10,5,10
top17,2021-10,10,16
top17,2021-10,15,19
top17,2021-10,20,30
top17,2021-10,25,56
top17,2021-10,30,84
top17,2021-10,35,141
top17,2021-10,40,255
top17,2021-10,45,404
top17,2021-10,50,787
top17,2021-10,55,1476
top17,2021-10,60,2242
top17,2021-10,65,2873
top17,2021-10,70,3589
top17,2021-10,75,3470
top17,2021-10,80,2957
top17,2021-10,85,2512
top17,2021-10,90,1505
top17,2021-10,95,536
top17,2021-10,100,86
top17,2021-11,1,10
top17,2021-11,10,17
top17,2021-11,15,21
top17,2021-11,20,33
top17,2021-11,25,48
top17,2021-11,30,84
top17,2021-11,35,138
top17,2021-11,40,239
top17,2021-11,45,381
top17,2021-11,50,674
top17,2021-11,55,1321
top17,2021-11,60,2151
top17,2021-11,65,2895
top17,2021-11,70,3382
top17,2021-11,75,3368
top17,2021-11,80,2924
top17,2021-11,85,2364
top17,2021-11,90,1457
top17,2021-11,95,548
top17,2021-11,100,83
top17,2021-12,10,17
top17,2021-12,15,19
top17,2021-12,20,27
top17,2021-12,25,48
top17,2021-12,30,95
top17,2021-12,35,144
top17,2021-12,40,247
top17,2021-12,45,398
top17,2021-12,50,822
top17,2021-12,55,1425
top17,2021-12,60,2410
top17,2021-12,65,2967
top17,2021-12,70,3504
top17,2021-12,75,3576
top17,2021-12,80,3124
top17,2021-12,85,2445
top17,2021-12,90,1603
top17,2021-12,95,597
top17,2021-12,100,93
top17,2022-01,1,10
top17,2022-01,5,11
top17,2022-01,10,14
top17,2022-01,15,18
top17,2022-01,20,35
top17,2022-01,25,51
top17,2022-01,30,92
top17,2022-01,35,154
