cause,date,dead
X44,2015-08,1471
X44,2015-09,1374
X44,2015-10,1448
X44,2015-11,1363
X44,2015-12,1382
X44,2016-01,1456
X44,2016-02,1606
X44,2016-03,1732
X44,2016-04,1594
X44,2016-05,1566
X44,2016-06,1590
X44,2016-07,1681
X44,2016-08,1679
X44,2016-09,1579
X44,2016-10,1717
X44,2016-11,1642
X44,2016-12,1839
X44,2017-01,1959
X44,2017-02,1801
X44,2017-03,1976
X44,2017-04,1859
X44,2017-05,1855
X44,2017-06,1746
X44,2017-07,1738
X44,2017-08,1760
X44,2017-09,1760
X44,2017-10,1641
X44,2017-11,1701
X44,2017-12,1840
X44,2018-01,2194
X44,2018-02,1991
X44,2018-03,2155
X44,2018-04,2082
X44,2018-05,2113
X44,2018-06,2088
X44,2018-07,2141
X44,2018-08,2096
X44,2018-09,2082
X44,2018-10,2085
X44,2018-11,1920
X44,2018-12,2093
X44,2019-01,2070
X44,2019-02,1832
X44,2019-03,2227
X44,2019-04,2001
X44,2019-05,2122
X44,2019-06,2081
X44,2019-07,2259
X44,2019-08,2237
X44,2019-09,2108
X44,2019-10,2282
X44,2019-11,2343
X44,2019-12,2391
X44,2020-01,2502
X44,2020-02,2472
X44,2020-03,2890
X44,2020-04,3196
X44,2020-05,3889
X44,2020-06,3167
X44,2020-07,3380
X44,2020-08,3388
X44,2020-09,3006
X44,2020-10,2872
X44,2020-11,2996
X44,2020-12,3166
X44,2021-01,3641
X44,2021-02,3290
X44,2021-03,4082
X44,2021-04,4134
X44,2021-05,4003
X44,2021-06,3793
X44,2021-07,3868
X44,2021-08,3973
X44,2021-09,3807
X44,2021-10,3792
X44,2021-11,3658
X44,2021-12,3669
X44,2022-01,3831
X44,2022-02,3634
X44,2022-03,4014
X44,2022-04,3751
X44,2022-05,3807
X44,2022-06,3874
X44,2022-07,4057
X44,2022-08,3850
X44,2022-09,3730
X44,2022-10,4031
X44,2022-11,3879
X44,2022-12,4165
X44,2023-01,3937
X44,2023-02,3722
X44,2023-03,4173
X44,2023-04,4036
X44,2023-05,4068
X44,2023-06,3805
X44,2023-07,3954
X44,2023-08,3876
X44,2023-09,3488
X44,2023-10,818
