type,date,dead
ucd_covid,2020-09-12,4067
ucd_covid,2020-09-19,3755
ucd_covid,2020-09-26,3782
ucd_covid,2020-10-03,3689
ucd_covid,2020-10-10,4266
ucd_covid,2020-10-17,4584
ucd_covid,2020-10-24,5318
ucd_covid,2020-10-31,6245
ucd_covid,2020-11-07,7827
ucd_covid,2020-11-14,9569
ucd_covid,2020-11-21,12044
ucd_covid,2020-11-28,14115
ucd_covid,2020-12-05,16817
ucd_covid,2020-12-12,19035
ucd_covid,2020-12-19,20395
ucd_covid,2020-12-26,21316
ucd_covid,2021-01-02,22701
ucd_covid,2021-01-09,23902
ucd_covid,2021-01-16,23480
ucd_covid,2021-01-23,21643
ucd_covid,2021-01-30,18403
ucd_covid,2021-02-06,15238
ucd_covid,2021-02-13,12008
ucd_covid,2021-02-20,9485
ucd_covid,2021-02-27,7508
ucd_covid,2021-03-06,5783
ucd_covid,2021-03-13,4787
ucd_covid,2021-03-20,4081
ucd_covid,2021-03-27,3778
ucd_covid,2021-04-03,3524
ucd_covid,2021-04-10,3645
ucd_covid,2021-04-17,3766
ucd_covid,2021-04-24,3931
ucd_covid,2021-05-01,3592
ucd_covid,2021-05-08,3437
ucd_covid,2021-05-15,3154
ucd_covid,2021-05-22,2746
ucd_covid,2021-05-29,2302
ucd_covid,2021-06-05,1996
ucd_covid,2021-06-12,1669
ucd_covid,2021-06-19,1427
ucd_covid,2021-06-26,1315
ucd_covid,2021-07-03,1229
ucd_covid,2021-07-10,1346
ucd_covid,2021-07-17,1693
ucd_covid,2021-07-24,2412
ucd_covid,2021-07-31,3708
ucd_covid,2021-08-07,5933
ucd_covid,2021-08-14,8752
ucd_covid,2021-08-21,11352
ucd_covid,2021-08-28,13271
ucd_covid,2021-09-04,14528
ucd_covid,2021-09-11,14446
ucd_covid,2021-09-18,14159
ucd_covid,2021-09-25,13372
ucd_covid,2021-10-02,11842
ucd_covid,2021-10-09,10288
ucd_covid,2021-10-16,9013
ucd_covid,2021-10-23,8082
ucd_covid,2021-10-30,7188
ucd_covid,2021-11-06,6496
ucd_covid,2021-11-13,6456
ucd_covid,2021-11-20,6534
ucd_covid,2021-11-27,7067
ucd_covid,2021-12-04,7982
ucd_covid,2021-12-11,8854
ucd_covid,2021-12-18,9367
