cause,date,dead
UCD,2008-03,806
UCD,2008-04,665
UCD,2008-05,669
UCD,2008-06,623
UCD,2008-07,639
UCD,2008-08,679
UCD,2008-09,642
UCD,2008-10,692
UCD,2008-11,653
UCD,2008-12,798
UCD,2009-01,766
UCD,2009-02,707
UCD,2009-03,734
UCD,2009-04,665
UCD,2009-05,647
UCD,2009-06,672
UCD,2009-07,710
UCD,2009-08,617
UCD,2009-09,654
UCD,2009-10,796
UCD,2009-11,723
UCD,2009-12,779
UCD,2010-01,779
UCD,2010-02,665
UCD,2010-03,764
UCD,2010-04,710
UCD,2010-05,688
UCD,2010-06,661
UCD,2010-07,650
UCD,2010-08,665
UCD,2010-09,649
UCD,2010-10,669
UCD,2010-11,772
UCD,2010-12,809
UCD,2011-01,761
UCD,2011-02,679
UCD,2011-03,679
UCD,2011-04,662
UCD,2011-05,650
UCD,2011-06,629
UCD,2011-07,618
UCD,2011-08,623
UCD,2011-09,611
UCD,2011-10,632
UCD,2011-11,604
UCD,2011-12,647
UCD,2012-01,701
UCD,2012-02,633
UCD,2012-03,701
UCD,2012-04,678
UCD,2012-05,633
UCD,2012-06,584
UCD,2012-07,674
UCD,2012-08,622
UCD,2012-09,630
UCD,2012-10,639
UCD,2012-11,657
UCD,2012-12,727
UCD,2013-01,747
UCD,2013-02,678
UCD,2013-03,732
UCD,2013-04,676
UCD,2013-05,642
UCD,2013-06,643
UCD,2013-07,673
UCD,2013-08,590
UCD,2013-09,628
UCD,2013-10,652
UCD,2013-11,611
UCD,2013-12,759
UCD,2014-01,828
UCD,2014-02,713
UCD,2014-03,690
UCD,2014-04,667
UCD,2014-05,621
UCD,2014-06,604
UCD,2014-07,658
UCD,2014-08,654
UCD,2014-09,677
UCD,2014-10,680
UCD,2014-11,621
UCD,2014-12,773
UCD,2015-01,807
UCD,2015-02,766
UCD,2015-03,763
UCD,2015-04,754
UCD,2015-05,689
UCD,2015-06,730
UCD,2015-07,687
UCD,2015-08,688
UCD,2015-09,666
UCD,2015-10,686
UCD,2015-11,673
UCD,2015-12,790
UCD,2016-01,802
UCD,2016-02,744
UCD,2016-03,854
UCD,2016-04,698
UCD,2016-05,765
UCD,2016-06,706
UCD,2016-07,724
UCD,2016-08,696
UCD,2016-09,670
UCD,2016-10,785
UCD,2016-11,722
UCD,2016-12,781
UCD,2017-01,816
UCD,2017-02,742
UCD,2017-03,795
UCD,2017-04,752
UCD,2017-05,719
UCD,2017-06,706
UCD,2017-07,670
UCD,2017-08,676
UCD,2017-09,727
UCD,2017-10,729
UCD,2017-11,740
UCD,2017-12,891
UCD,2018-01,893
UCD,2018-02,771
UCD,2018-03,864
UCD,2018-04,714
UCD,2018-05,771
UCD,2018-06,669
UCD,2018-07,718
UCD,2018-08,740
UCD,2018-09,697
UCD,2018-10,703
UCD,2018-11,756
UCD,2018-12,855
UCD,2019-01,851
UCD,2019-02,753
UCD,2019-03,835
UCD,2019-04,777
UCD,2019-05,742
UCD,2019-06,710
UCD,2019-07,769
UCD,2019-08,692
UCD,2019-09,725
UCD,2019-10,791
UCD,2019-11,808
UCD,2019-12,882
UCD,2020-01,852
UCD,2020-02,841
UCD,2020-03,845
UCD,2020-04,835
UCD,2020-05,725
UCD,2020-06,756
UCD,2020-07,854
UCD,2020-08,834
UCD,2020-09,768
UCD,2020-10,781
UCD,2020-11,841
UCD,2020-12,939
UCD,2021-01,960
