type,cause,year,month,dead
mcd,D80-D89,2004,1,254
mcd,D80-D89,2004,2,254
mcd,D80-D89,2004,3,255
mcd,D80-D89,2004,4,233
mcd,D80-D89,2004,5,227
mcd,D80-D89,2004,6,216
mcd,D80-D89,2004,7,247
mcd,D80-D89,2004,8,229
mcd,D80-D89,2004,9,241
mcd,D80-D89,2004,10,225
mcd,D80-D89,2004,11,220
mcd,D80-D89,2004,12,266
mcd,D80-D89,2005,1,279
mcd,D80-D89,2005,2,261
mcd,D80-D89,2005,3,266
mcd,D80-D89,2005,4,251
mcd,D80-D89,2005,5,254
mcd,D80-D89,2005,6,195
mcd,D80-D89,2005,7,227
mcd,D80-D89,2005,8,230
mcd,D80-D89,2005,9,213
mcd,D80-D89,2005,10,278
mcd,D80-D89,2005,11,264
mcd,D80-D89,2005,12,248
mcd,D80-D89,2006,1,291
mcd,D80-D89,2006,2,268
mcd,D80-D89,2006,3,256
mcd,D80-D89,2006,4,250
mcd,D80-D89,2006,5,289
mcd,D80-D89,2006,6,203
mcd,D80-D89,2006,7,235
mcd,D80-D89,2006,8,249
mcd,D80-D89,2006,9,244
mcd,D80-D89,2006,10,243
mcd,D80-D89,2006,11,245
mcd,D80-D89,2006,12,271
mcd,D80-D89,2007,1,253
mcd,D80-D89,2007,2,270
mcd,D80-D89,2007,3,287
mcd,D80-D89,2007,4,266
mcd,D80-D89,2007,5,251
mcd,D80-D89,2007,6,231
mcd,D80-D89,2007,7,248
mcd,D80-D89,2007,8,250
mcd,D80-D89,2007,9,248
mcd,D80-D89,2007,10,218
mcd,D80-D89,2007,11,237
mcd,D80-D89,2007,12,277
mcd,D80-D89,2008,1,280
mcd,D80-D89,2008,2,259
mcd,D80-D89,2008,3,296
mcd,D80-D89,2008,4,235
mcd,D80-D89,2008,5,239
mcd,D80-D89,2008,6,264
mcd,D80-D89,2008,7,241
mcd,D80-D89,2008,8,254
mcd,D80-D89,2008,9,224
mcd,D80-D89,2008,10,241
mcd,D80-D89,2008,11,266
mcd,D80-D89,2008,12,247
mcd,D80-D89,2009,1,250
mcd,D80-D89,2009,2,266
mcd,D80-D89,2009,3,286
mcd,D80-D89,2009,4,244
mcd,D80-D89,2009,5,266
mcd,D80-D89,2009,6,238
mcd,D80-D89,2009,7,248
mcd,D80-D89,2009,8,257
mcd,D80-D89,2009,9,241
mcd,D80-D89,2009,10,290
mcd,D80-D89,2009,11,261
mcd,D80-D89,2009,12,291
mcd,D80-D89,2010,1,295
mcd,D80-D89,2010,2,270
mcd,D80-D89,2010,3,271
mcd,D80-D89,2010,4,265
mcd,D80-D89,2010,5,298
mcd,D80-D89,2010,6,222
mcd,D80-D89,2010,7,247
mcd,D80-D89,2010,8,231
mcd,D80-D89,2010,9,259
mcd,D80-D89,2010,10,244
mcd,D80-D89,2010,11,267
mcd,D80-D89,2010,12,302
mcd,D80-D89,2011,1,308
mcd,D80-D89,2011,2,314
mcd,D80-D89,2011,3,289
mcd,D80-D89,2011,4,257
mcd,D80-D89,2011,5,290
mcd,D80-D89,2011,6,256
mcd,D80-D89,2011,7,270
mcd,D80-D89,2011,8,231
mcd,D80-D89,2011,9,238
mcd,D80-D89,2011,10,298
mcd,D80-D89,2011,11,260
mcd,D80-D89,2011,12,276
mcd,D80-D89,2012,1,282
mcd,D80-D89,2012,2,311
mcd,D80-D89,2012,3,274
mcd,D80-D89,2012,4,282
mcd,D80-D89,2012,5,284
mcd,D80-D89,2012,6,233
mcd,D80-D89,2012,7,274
mcd,D80-D89,2012,8,277
mcd,D80-D89,2012,9,301
mcd,D80-D89,2012,10,289
mcd,D80-D89,2012,11,278
mcd,D80-D89,2012,12,314
mcd,D80-D89,2013,1,364
mcd,D80-D89,2013,2,295
mcd,D80-D89,2013,3,300
mcd,D80-D89,2013,4,306
mcd,D80-D89,2013,5,292
mcd,D80-D89,2013,6,273
mcd,D80-D89,2013,7,260
mcd,D80-D89,2013,8,311
mcd,D80-D89,2013,9,263
mcd,D80-D89,2013,10,274
mcd,D80-D89,2013,11,302
mcd,D80-D89,2013,12,342
mcd,D80-D89,2014,1,354
mcd,D80-D89,2014,2,296
mcd,D80-D89,2014,3,317
mcd,D80-D89,2014,4,271
mcd,D80-D89,2014,5,269
mcd,D80-D89,2014,6,282
mcd,D80-D89,2014,7,256
mcd,D80-D89,2014,8,256
mcd,D80-D89,2014,9,237
mcd,D80-D89,2014,10,342
mcd,D80-D89,2014,11,321
mcd,D80-D89,2014,12,299
mcd,D80-D89,2015,1,350
mcd,D80-D89,2015,2,313
mcd,D80-D89,2015,3,333
mcd,D80-D89,2015,4,294
mcd,D80-D89,2015,5,305
mcd,D80-D89,2015,6,280
mcd,D80-D89,2015,7,297
mcd,D80-D89,2015,8,267
mcd,D80-D89,2015,9,274
mcd,D80-D89,2015,10,324
