date,age,dead,pop
2011-05,75,13743,6091438
2011-05,80,18007,4448425
2011-05,85,18334,2557078
2011-05,90,13151,1062131
2011-05,95,6663,307233
2011-05,100,1593,45115
2011-06,0,294,5302343
2011-06,5,82,5522137
2011-06,10,72,5919967
2011-06,15,147,6084429
2011-06,20,277,6397000
2011-06,25,319,7272940
2011-06,30,430,8196619
2011-06,35,674,9783434
2011-06,40,949,9181884
2011-06,45,1221,7995615
2011-06,50,1890,7650964
2011-06,55,2993,8444163
2011-06,60,5752,10561018
2011-06,65,6385,7933325
2011-06,70,8828,7128913
2011-06,75,12870,6103467
2011-06,80,16649,4458323
2011-06,85,16586,2572416
2011-06,90,12097,1066393
2011-06,95,5886,309466
2011-06,100,1454,45514
2011-07,0,293,5302808
2011-07,5,64,5513030
2011-07,10,73,5917903
2011-07,15,166,6081979
2011-07,20,270,6389048
2011-07,25,330,7257880
2011-07,30,427,8166975
2011-07,35,733,9764835
2011-07,40,918,9223469
2011-07,45,1273,7982514
2011-07,50,1896,7646553
2011-07,55,3054,8409424
2011-07,60,5718,10590851
2011-07,65,6710,7904677
2011-07,70,8927,7143452
2011-07,75,12902,6114801
2011-07,80,16671,4468015
2011-07,85,17028,2587237
2011-07,90,12084,1070576
2011-07,95,5883,311650
2011-07,100,1469,45921
2011-08,0,301,5303121
2011-08,5,80,5503738
2011-08,10,71,5915650
2011-08,15,180,6079288
2011-08,20,307,6381346
2011-08,25,351,7242336
2011-08,30,447,8136851
2011-08,35,708,9744481
2011-08,40,1016,9263141
2011-08,45,1344,7972359
2011-08,50,1874,7642797
2011-08,55,3241,8373657
2011-08,60,6038,10613918
2011-08,65,6629,7881407
2011-08,70,9270,7159058
2011-08,75,13301,6126217
2011-08,80,17085,4478186
2011-08,85,17177,2602429
2011-08,90,12456,1075001
2011-08,95,6094,313867
2011-08,100,1457,46353
2011-09,0,266,5303143
2011-09,5,58,5494621
2011-09,10,53,5913274
2011-09,15,160,6076480
2011-09,20,272,6373870
2011-09,25,317,7226898
2011-09,30,428,8107617
2011-09,35,661,9723231
2011-09,40,958,9298614
2011-09,45,1152,7966750
2011-09,50,1775,7640010
2011-09,55,2991,8338164
2011-09,60,5731,10628273
2011-09,65,6362,7865733
2011-09,70,8866,7175324
2011-09,75,12921,6137354
2011-09,80,16298,4488556
2011-09,85,16787,2617396
2011-09,90,12245,1079571
2011-09,95,5952,315976
2011-09,100,1490,46783
2011-10,0,263,5302773
2011-10,5,40,5486011
2011-10,10,44,5910858
2011-10,15,123,6073695
2011-10,20,224,6366569
2011-10,25,269,7212140
2011-10,30,350,8080520
2011-10,35,558,9702059
2011-10,40,935,9328164
2011-10,45,1216,7966674
2011-10,50,1777,7638374
2011-10,55,2897,8304212
2011-10,60,5869,10633113
2011-10,65,6646,7858870
2011-10,70,9266,7191755
2011-10,75,13342,6147886
2011-10,80,17864,4498820
2011-10,85,18252,2631573
2011-10,90,13091,1084170
2011-10,95,6510,317852
2011-10,100,1571,47186
2011-11,0,286,5301938
2011-11,5,37,5477369
2011-11,10,44,5908229
2011-11,15,131,6070793
2011-11,20,217,6358815
2011-11,25,279,7197110
2011-11,30,369,8053892
2011-11,35,582,9679689
2011-11,40,933,9353625
2011-11,45,1108,7972366
2011-11,50,1667,7637817
2011-11,55,2913,8269633
2011-11,60,5911,10628763
2011-11,65,6591,7860570
2011-11,70,9262,7209411
2011-11,75,13777,6158524
2011-11,80,18163,4509670
2011-11,85,18624,2645868
2011-11,90,13608,1089115
2011-11,95,6651,319595
2011-11,100,1667,47586
2011-12,0,319,5300714
2011-12,5,47,5469268
2011-12,10,42,5905539
2011-12,15,125,6068003
2011-12,20,222,6351125
2011-12,25,285,7182756
2011-12,30,369,8029355
2011-12,35,645,9657573
2011-12,40,954,9373926
2011-12,45,1286,7982829
2011-12,50,1990,7638295
