date,age,dead,pop
2012-04,10,9,5892801.13581237
2012-04,15,15,6058116.2066644
2012-04,20,10,6314165.0765276
2012-04,25,25,7127193.14008569
2012-04,30,53,7945712.7889064
2012-04,35,130,9566292.70201076
2012-04,40,269,9408352.88561528
2012-04,45,374,8082496.71961204
2012-04,50,649,7651871.20466515
2012-04,55,1231,8110463.79614457
2012-04,60,2740,10480882.7614412
2012-04,65,3019,7994324.50050953
2012-04,70,3895,7302502.95918307
2012-04,75,4979,6207444.78395245
2012-04,80,4990,4566554.38084395
2012-04,85,3846,2710120.01083297
2012-04,90,1877,1116080.79658812
2012-04,95,613,324902.159083917
2012-04,100,88,49153.2101724303
2012-05,0,12,5287449.08033426
2012-05,5,7,5433291.53077019
2012-05,10,10,5889064.7424218
2012-05,15,14,6055969.62055708
2012-05,20,16,6306556.30679333
2012-05,25,27,7113180.31357282
2012-05,30,60,7924847.07664228
2012-05,35,125,9541426.30759601
2012-05,40,242,9418536.42951436
2012-05,45,376,8104599.90712306
2012-05,50,711,7655688.96613152
2012-05,55,1315,8080735.90117996
2012-05,60,2717,10443172.6140733
2012-05,65,3222,8027382.64091388
2012-05,70,4099,7320315.36923777
2012-05,75,5009,6216163.59664712
2012-05,80,5281,4577893.40771914
2012-05,85,4042,2722721.9160287
2012-05,90,1979,1121412.30230325
2012-05,95,553,326015.699296395
2012-05,100,82,49488.8043145848
2012-06,0,12,5284585.49787781
2012-06,5,10,5426738.01896928
2012-06,10,8,5884924.25823669
2012-06,15,4,6054011.90011383
2012-06,20,16,6298806.75391578
2012-06,25,35,7098683.3381341
2012-06,30,56,7903688.09686035
2012-06,35,128,9515159.14475082
2012-06,40,237,9428915.11146418
2012-06,45,397,8127683.1953497
2012-06,50,647,7660048.48159437
2012-06,55,1208,8050820.18427485
2012-06,60,2753,10401727.3162376
2012-06,65,3111,8063918.39442949
2012-06,70,3820,7338313.88649402
2012-06,75,4739,6224881.24870742
2012-06,80,5132,4589666.46916619
2012-06,85,3867,2735651.31397249
2012-06,90,1875,1126926.59955987
2012-06,95,586,327149.060443658
2012-06,100,91,49833.7342558604
2012-07,0,4,5281623.8559196
2012-07,5,5,5420750.72297526
2012-07,10,8,5880628.42300534
2012-07,15,17,6052418.00025383
2012-07,20,13,6291370.17012335
2012-07,25,32,7084634.72234685
2012-07,30,54,7883590.02810839
2012-07,35,130,9489244.43879355
2012-07,40,250,9439152.30052015
2012-07,45,358,8149926.90332094
2012-07,50,689,7664633.89937757
2012-07,55,1254,8022714.085071
2012-07,60,2724,10359767.924937
2012-07,65,3267,8101176.58154883
2012-07,70,4052,7355220.32741703
2012-07,75,4922,6233039.51053484
2012-07,80,5325,4601105.65079053
2012-07,85,4129,2748076.62431049
2012-07,90,2010,1132256.24428934
2012-07,95,602,328231.733017258
2012-07,100,68,50164.3854884669
2012-08,0,8,5278359.73307806
2012-08,5,4,5414957.67112616
2012-08,10,5,5875871.63770208
2012-08,15,19,6051132.48548018
2012-08,20,16,6283702.49877707
2012-08,25,36,7070094.987423
2012-08,30,42,7863201.59435182
2012-08,35,136,9462015.72970964
2012-08,40,253,9450278.31698739
2012-08,45,391,8172468.74156978
2012-08,50,707,7669714.77548898
2012-08,55,1287,7994614.26873057
2012-08,60,2862,10315068.7663816
2012-08,65,3310,8141225.25968843
2012-08,70,4267,7372039.57112101
2012-08,75,5282,6241186.65349085
2012-08,80,5432,4612964.82896892
2012-08,85,4147,2760828.89046173
2012-08,90,2046,1137744.34108955
2012-08,95,632,329338.622416976
2012-08,100,76,50501.3796451194
2012-09,0,5,5274881.41744499
2012-09,5,10,5409592.52303288
2012-09,10,12,5870772.36279859
2012-09,15,13,6050266.06994716
2012-09,20,18,6276002.82545635
2012-09,25,24,7055529.09424586
2012-09,30,64,7843187.36193673
2012-09,35,133,9434391.65115328
2012-09,40,247,9462314.44142625
2012-09,45,361,8194209.12311099
2012-09,50,630,7675107.14829839
2012-09,55,1237,7967544.62604012
2012-09,60,2646,10269587.4911264
2012-09,65,3102,8182425.23689263
2012-09,70,3939,7388073.18111646
2012-09,75,4876,6249050.55433296
2012-09,80,5256,4624854.45297747
2012-09,85,4054,2773495.2390442
2012-09,90,2028,1143200.51520339
2012-09,95,600,330436.216866684
2012-09,100,100,50832.1732259851
2012-10,0,14,5271306.1441214
2012-10,5,5,5404832.56391086
2012-10,10,11,5865493.88488426
2012-10,15,14,6049873.16532754
2012-10,20,14,6268476.90164095
2012-10,25,23,7041405.1140415
2012-10,30,50,7824163.99076846
2012-10,35,129,9407339.91438188
2012-10,40,268,9475156.63086061
2012-10,45,396,8214159.394116
2012-10,50,694,7680586.15021771
2012-10,55,1267,7942396.28408618
2012-10,60,2731,10225370.0483195
2012-10,65,3492,8222994.61398267
2012-10,70,4277,7402730.26617367
2012-10,75,5225,6256394.082871
2012-10,80,5633,4636380.62516789
2012-10,85,4379,2785673.94990275
2012-10,90,2095,1148439.22410402
2012-10,95,630,331492.123335753
2012-10,100,106,51145.0827694949
2012-11,0,10,5267434.76421118
2012-11,5,4,5400339.22791335
2012-11,10,7,5859694.94519551
2012-11,15,12,6049898.18614117
2012-11,20,11,6260652.17743122
2012-11,25,20,7026771.37906027
2012-11,30,56,7804851.49611777
2012-11,35,131,9379072.24840738
2012-11,40,232,9489742.49726998
2012-11,45,404,8233556.15787013
2012-11,50,675,7686449.65291169
2012-11,55,1208,7917535.66102162
2012-11,60,2610,10179684.3741776
2012-11,65,3217,8265362.33949742
2012-11,70,3968,7417076.46264992
2012-11,75,4976,6263673.22844973
2012-11,80,5564,4648289.45395582
2012-11,85,4358,2798184.34353531
2012-11,90,2008,1153820.00786761
2012-11,95,621,332577.324812271
2012-11,100,97,51461.5490557316
2012-12,0,8,5263601.05927464
2012-12,5,7,5396333.34108131
2012-12,10,14,5853789.90247334
2012-12,15,16,6050230.63195176
2012-12,20,16,6253139.38361476
2012-12,25,31,7012555.1504121
2012-12,30,57,7786484.23088304
2012-12,35,120,9351380.5865165
2012-12,40,239,9504940.84552342
2012-12,45,385,8251312.06031133
2012-12,50,682,7692223.38850957
2012-12,55,1272,7894580.19010207
2012-12,60,2659,10135326.2395072
2012-12,65,3420,8306672.20817274
2012-12,70,4341,7430483.04166026
2012-12,75,5421,6270348.00613934
2012-12,80,5741,4659777.62092891
2012-12,85,4500,2810231.13591022
2012-12,90,2152,1159028.21967843
2012-12,95,632,333620.220043597
2012-12,100,81,51763.7255182169
2013-01,0,7,5259639.60782737
2013-01,5,9,5392473.18633759
2013-01,10,8,5847428.66308005
2013-01,15,14,6050774.76361666
2013-01,20,13,6245552.31768167
2013-01,25,26,6997790.70498814
2013-01,30,43,7767825.55880419
