state,age,year,dead,pop
Arizona,65-74,2006,7716,423965
Arizona,65-74,2007,7518,439585
Arizona,65-74,2008,7794,461986
Arizona,65-74,2009,7975,483182
Arizona,65-74,2010,8088,497892
Arizona,65-74,2011,8342,521580
Arizona,65-74,2012,8923,558589
Arizona,65-74,2013,9239,590110
Arizona,65-74,2014,9902,622486
Arizona,65-74,2015,10511,653014
Arizona,65-74,2016,11175,682820
Arizona,65-74,2017,11439,701409
Arizona,75-84,1999,11924,231098
Arizona,75-84,2000,11946,235473
Arizona,75-84,2001,11972,243327
Arizona,75-84,2002,12466,248198
Arizona,75-84,2003,12615,252669
Arizona,75-84,2004,12143,257532
Arizona,75-84,2005,12685,265532
Arizona,75-84,2006,12651,269512
Arizona,75-84,2007,12148,272172
Arizona,75-84,2008,12067,275347
Arizona,75-84,2009,11808,277413
Arizona,75-84,2010,11865,280539
Arizona,75-84,2011,12198,290015
Arizona,75-84,2012,12341,298519
Arizona,75-84,2013,12239,309542
Arizona,75-84,2014,12486,322959
Arizona,75-84,2015,13245,336251
Arizona,75-84,2016,13547,351270
Arizona,75-84,2017,14240,363610
Arizona,85+,1999,9503,66200
Arizona,85+,2000,9766,68525
Arizona,85+,2001,10152,70994
Arizona,85+,2002,10790,72605
Arizona,85+,2003,11049,75704
Arizona,85+,2004,11118,78197
Arizona,85+,2005,12037,82184
Arizona,85+,2006,12326,86787
Arizona,85+,2007,12400,91210
Arizona,85+,2008,12710,94831
Arizona,85+,2009,12688,99851
Arizona,85+,2010,13486,103400
Arizona,85+,2011,14296,110240
Arizona,85+,2012,14383,114425
Arizona,85+,2013,14890,119210
Arizona,85+,2014,14946,124772
Arizona,85+,2015,15847,130789
Arizona,85+,2016,16589,136834
Arizona,85+,2017,16821,136727
Arizona,NS,1999,41,
Arizona,NS,2000,25,
Arizona,NS,2001,54,
Arizona,NS,2002,43,
Arizona,NS,2003,56,
Arizona,NS,2004,76,
Arizona,NS,2005,36,
Arizona,NS,2006,56,
Arizona,NS,2007,30,
Arizona,NS,2008,10,
Arizona,NS,2009,105,
Arizona,NS,2011,12,
Arizona,NS,2013,17,
Arkansas,0,1999,292,35851
Arkansas,0,2000,316,36065
Arkansas,0,2001,309,37013
Arkansas,0,2002,312,37217
Arkansas,0,2003,327,37155
Arkansas,0,2004,319,37766
Arkansas,0,2005,309,38707
Arkansas,0,2006,350,39522
Arkansas,0,2007,317,40530
Arkansas,0,2008,300,40784
Arkansas,0,2009,307,38962
Arkansas,0,2010,282,38402
Arkansas,0,2011,286,38025
Arkansas,0,2012,269,37863
Arkansas,0,2013,288,38310
Arkansas,0,2014,290,37936
Arkansas,0,2015,293,37698
Arkansas,0,2016,309,37737
Arkansas,0,2017,307,37966
Arkansas,1-4,1999,63,145276
Arkansas,1-4,2000,75,145520
Arkansas,1-4,2001,74,145013
Arkansas,1-4,2002,59,145493
Arkansas,1-4,2003,68,146932
Arkansas,1-4,2004,78,148844
Arkansas,1-4,2005,71,151050
Arkansas,1-4,2006,67,153187
Arkansas,1-4,2007,72,154411
Arkansas,1-4,2008,67,156369
Arkansas,1-4,2009,65,159025
Arkansas,1-4,2010,63,159287
Arkansas,1-4,2011,54,158320
Arkansas,1-4,2012,68,156156
Arkansas,1-4,2013,54,154606
Arkansas,1-4,2014,46,153685
Arkansas,1-4,2015,43,153160
Arkansas,1-4,2016,56,152540
Arkansas,1-4,2017,52,153469
Arkansas,5-14,1999,109,381156
Arkansas,5-14,2000,101,380159
Arkansas,5-14,2001,83,379003
Arkansas,5-14,2002,97,378469
Arkansas,5-14,2003,75,378180
Arkansas,5-14,2004,100,378859
Arkansas,5-14,2005,79,379917
Arkansas,5-14,2006,79,382888
Arkansas,5-14,2007,81,385050
Arkansas,5-14,2008,69,387310
Arkansas,5-14,2009,78,391046
Arkansas,5-14,2010,68,394436
Arkansas,5-14,2011,67,396966
Arkansas,5-14,2012,95,399465
Arkansas,5-14,2013,82,398408
Arkansas,5-14,2014,79,396363
Arkansas,5-14,2015,71,394366
Arkansas,5-14,2016,69,394061
Arkansas,5-14,2017,72,394301
Arkansas,15-24,1999,394,379744
Arkansas,15-24,2000,410,380363
Arkansas,15-24,2001,413,386708
Arkansas,15-24,2002,452,389822
Arkansas,15-24,2003,428,392434
Arkansas,15-24,2004,423,393476
Arkansas,15-24,2005,462,394552
Arkansas,15-24,2006,460,396127
Arkansas,15-24,2007,437,398071
Arkansas,15-24,2008,437,400097
Arkansas,15-24,2009,379,400806
Arkansas,15-24,2010,367,403455
Arkansas,15-24,2011,372,402793
Arkansas,15-24,2012,374,404089
Arkansas,15-24,2013,341,406865
Arkansas,15-24,2014,327,405599
Arkansas,15-24,2015,377,404217
Arkansas,15-24,2016,351,402453
Arkansas,15-24,2017,394,401152
Arkansas,25-34,1999,471,351295
Arkansas,25-34,2000,504,352845
Arkansas,25-34,2001,509,348283
Arkansas,25-34,2002,524,347949
Arkansas,25-34,2003,502,350210
Arkansas,25-34,2004,565,354627
Arkansas,25-34,2005,524,360441
Arkansas,25-34,2006,575,366132
Arkansas,25-34,2007,532,368360
Arkansas,25-34,2008,610,370940
Arkansas,25-34,2009,586,374133
Arkansas,25-34,2010,578,375892
Arkansas,25-34,2011,604,381792
Arkansas,25-34,2012,591,384233
Arkansas,25-34,2013,594,384032
Arkansas,25-34,2014,591,386530
Arkansas,25-34,2015,586,388958
Arkansas,25-34,2016,631,392755
Arkansas,25-34,2017,614,395464
Arkansas,35-44,1999,968,394882
Arkansas,35-44,2000,1012,398127
Arkansas,35-44,2001,1017,395032
Arkansas,35-44,2002,1054,389201
Arkansas,35-44,2003,1007,384753
Arkansas,35-44,2004,1002,382246
Arkansas,35-44,2005,1005,380572
Arkansas,35-44,2006,1050,381372
Arkansas,35-44,2007,1033,378802
Arkansas,35-44,2008,1019,374414
Arkansas,35-44,2009,995,369150
Arkansas,35-44,2010,904,366208
Arkansas,35-44,2011,888,363873
Arkansas,35-44,2012,910,363648
Arkansas,35-44,2013,918,364666
Arkansas,35-44,2014,981,364642
Arkansas,35-44,2015,999,365774
Arkansas,35-44,2016,1026,364726
Arkansas,35-44,2017,1012,366276
Arkansas,45-54,1999,1734,340043
Arkansas,45-54,2000,1808,349519
Arkansas,45-54,2001,1865,363232
Arkansas,45-54,2002,1967,366034
Arkansas,45-54,2003,2079,370826
Arkansas,45-54,2004,2116,376080
Arkansas,45-54,2005,2138,383112
Arkansas,45-54,2006,2198,391289
Arkansas,45-54,2007,2294,396686
Arkansas,45-54,2008,2401,401762
Arkansas,45-54,2009,2405,405489
Arkansas,45-54,2010,2365,407266
Arkansas,45-54,2011,2335,403512
Arkansas,45-54,2012,2262,396935
Arkansas,45-54,2013,2194,391101
Arkansas,45-54,2014,2278,385750
Arkansas,45-54,2015,2242,382362
Arkansas,45-54,2016,2152,378897
Arkansas,45-54,2017,2197,374651
Arkansas,55-64,1999,2931,251017
Arkansas,55-64,2000,3075,256783
Arkansas,55-64,2001,3062,262728
Arkansas,55-64,2002,3275,276471
Arkansas,55-64,2003,3299,286595
Arkansas,55-64,2004,3413,297658
Arkansas,55-64,2005,3526,308071
Arkansas,55-64,2006,3578,318693
Arkansas,55-64,2007,3592,327923
Arkansas,55-64,2008,3818,335312
Arkansas,55-64,2009,3790,343649
Arkansas,55-64,2010,3805,350991
Arkansas,55-64,2011,4121,363599
Arkansas,55-64,2012,4244,364152
Arkansas,55-64,2013,4326,366965
Arkansas,55-64,2014,4369,369673
Arkansas,55-64,2015,4531,374520
Arkansas,55-64,2016,4695,378345
Arkansas,55-64,2017,4737,381856
Arkansas,65-74,1999,5395,197936
Arkansas,65-74,2000,5259,198334
Arkansas,65-74,2001,5226,198248
Arkansas,65-74,2002,5174,198262
Arkansas,65-74,2003,4961,200441
Arkansas,65-74,2004,4930,202755
Arkansas,65-74,2005,5083,206253
Arkansas,65-74,2006,4808,212125
Arkansas,65-74,2007,4937,217281
Arkansas,65-74,2008,5318,224652
Arkansas,65-74,2009,5301,230814
Arkansas,65-74,2010,5320,234602
Arkansas,65-74,2011,5508,240264
Arkansas,65-74,2012,5789,252770
Arkansas,65-74,2013,6063,261551
Arkansas,65-74,2014,6167,270213
