type,cause,year,month,dead
mcd,C00-C97,2017,12,57495
mcd,C00-C97,2018,01,59186
mcd,C00-C97,2018,02,51879
mcd,C00-C97,2018,03,56271
mcd,C00-C97,2018,04,53984
mcd,C00-C97,2018,05,54795
mcd,C00-C97,2018,06,53205
mcd,C00-C97,2018,07,54769
mcd,C00-C97,2018,08,55483
mcd,C00-C97,2018,09,53885
mcd,C00-C97,2018,10,56882
mcd,C00-C97,2018,11,55132
mcd,C00-C97,2018,12,57165
mcd,C00-C97,2019,01,58020
mcd,C00-C97,2019,02,52006
mcd,C00-C97,2019,03,57208
mcd,C00-C97,2019,04,53884
mcd,C00-C97,2019,05,56030
mcd,C00-C97,2019,06,53798
mcd,C00-C97,2019,07,55157
mcd,C00-C97,2019,08,55579
mcd,C00-C97,2019,09,54031
mcd,C00-C97,2019,10,56963
mcd,C00-C97,2019,11,55310
mcd,C00-C97,2019,12,56777
mcd,C00-C97,2020,01,58745
mcd,C00-C97,2020,02,54300
mcd,C00-C97,2020,03,57934
mcd,C00-C97,2020,04,56766
mcd,C00-C97,2020,05,55823
mcd,C00-C97,2020,06,53854
mcd,C00-C97,2020,07,57344
mcd,C00-C97,2020,08,57653
mcd,C00-C97,2020,09,55856
mcd,C00-C97,2020,10,58107
mcd,C00-C97,2020,11,57603
mcd,C00-C97,2020,12,61874
mcd,C00-C97,2021,01,61699
mcd,C00-C97,2021,02,53498
mcd,C00-C97,2021,03,56998
mcd,C00-C97,2021,04,55674
mcd,C00-C97,2021,05,56848
mcd,C00-C97,2021,06,55095
mcd,C00-C97,2021,07,57447
mcd,C00-C97,2021,08,59929
mcd,C00-C97,2021,09,58136
mcd,C00-C97,2021,10,59758
mcd,C00-C97,2021,11,57903
mcd,C00-C97,2021,12,60799
mcd,C00-C97,2022,01,64543
mcd,C00-C97,2022,02,55166
mcd,C00-C97,2022,03,58285
mcd,C00-C97,2022,04,55305
mcd,C00-C97,2022,05,57460
mcd,C00-C97,2022,06,55797
mcd,C00-C97,2022,07,58143
mcd,C00-C97,2022,08,58600
mcd,C00-C97,2022,09,57029
mcd,C00-C97,2022,10,59069
mcd,C00-C97,2022,11,58194
mcd,C00-C97,2022,12,61584
mcd,C00-C97,2023,01,60254
mcd,C00-C97,2023,02,54292
mcd,C00-C97,2023,03,59016
mcd,C00-C97,2023,04,56335
mcd,C00-C97,2023,05,57811
mcd,C00-C97,2023,06,56285
mcd,C00-C97,2023,07,57767
mcd,C00-C97,2023,08,58752
mcd,C00-C97,2023,09,57069
mcd,C00-C97,2023,10,59575
mcd,C00-C97,2023,11,57663
mcd,C00-C97,2023,12,61332
mcd,C00-C97,2024,01,61459
