type,cause,year,month,dead
mcd,C34,2016,9,12839
mcd,C34,2016,10,13445
mcd,C34,2016,11,13012
mcd,C34,2016,12,13766
mcd,C34,2017,1,13857
mcd,C34,2017,2,12207
mcd,C34,2017,3,13570
mcd,C34,2017,4,12862
mcd,C34,2017,5,13099
mcd,C34,2017,6,12679
mcd,C34,2017,7,12968
mcd,C34,2017,8,12957
mcd,C34,2017,9,12563
mcd,C34,2017,10,13262
mcd,C34,2017,11,12844
mcd,C34,2017,12,13386
mcd,C34,2018,1,13862
mcd,C34,2018,2,12058
mcd,C34,2018,3,12965
mcd,C34,2018,4,12676
mcd,C34,2018,5,12727
mcd,C34,2018,6,12435
mcd,C34,2018,7,12578
mcd,C34,2018,8,12651
mcd,C34,2018,9,12370
mcd,C34,2018,10,13018
mcd,C34,2018,11,12532
mcd,C34,2018,12,13105
mcd,C34,2019,1,13463
mcd,C34,2019,2,11737
mcd,C34,2019,3,12876
mcd,C34,2019,4,12395
mcd,C34,2019,5,12820
mcd,C34,2019,6,12310
mcd,C34,2019,7,12567
mcd,C34,2019,8,12608
mcd,C34,2019,9,12221
mcd,C34,2019,10,12781
mcd,C34,2019,11,12388
mcd,C34,2019,12,12624
mcd,C34,2020,1,13261
mcd,C34,2020,2,12079
mcd,C34,2020,3,12856
mcd,C34,2020,4,12386
mcd,C34,2020,5,12238
mcd,C34,2020,6,11729
mcd,C34,2020,7,12248
mcd,C34,2020,8,12676
mcd,C34,2020,9,12173
mcd,C34,2020,10,12739
mcd,C34,2020,11,12235
mcd,C34,2020,12,13323
mcd,C34,2021,1,13055
mcd,C34,2021,2,11382
mcd,C34,2021,3,12159
mcd,C34,2021,4,12188
mcd,C34,2021,5,12421
mcd,C34,2021,6,12191
mcd,C34,2021,7,12349
mcd,C34,2021,8,13003
mcd,C34,2021,9,12434
mcd,C34,2021,10,12623
mcd,C34,2021,11,12323
mcd,C34,2021,12,12985
mcd,C34,2022,1,13793
mcd,C34,2022,2,11515
mcd,C34,2022,3,12383
mcd,C34,2022,4,11650
mcd,C34,2022,5,11976
mcd,C34,2022,6,11945
mcd,C34,2022,7,12174
mcd,C34,2022,8,12461
mcd,C34,2022,9,12063
mcd,C34,2022,10,12335
mcd,C34,2022,11,12312
mcd,C34,2022,12,12875
mcd,C34,2023,1,12722
mcd,C34,2023,2,11255
mcd,C34,2023,3,12370
mcd,C34,2023,4,11711
mcd,C34,2023,5,12104
mcd,C34,2023,6,11892
mcd,C34,2023,7,12050
mcd,C34,2023,8,12140
mcd,C34,2023,9,11902
mcd,C34,2023,10,12364
mcd,C34,2023,11,11999
mcd,C34,2023,12,12691
mcd,C34,2024,1,12537
mcd,C34,2024,2,11485
mcd,C34,2024,3,11936
mcd,C34,2024,4,11467
mcd,C34,2024,5,11724
mcd,C34,2024,6,11504
mcd,C34,2024,7,11818
mcd,C34,2024,8,11979
mcd,C34,2024,9,11422
mcd,C34,2024,10,11734
mcd,C34,2024,11,6856
and,C34,2020,3,52
and,C34,2020,4,393
and,C34,2020,5,278
and,C34,2020,6,143
and,C34,2020,7,219
and,C34,2020,8,241
and,C34,2020,9,177
and,C34,2020,10,220
and,C34,2020,11,523
and,C34,2020,12,874
and,C34,2021,1,885
and,C34,2021,2,470
and,C34,2021,3,272
and,C34,2021,4,248
and,C34,2021,5,168
and,C34,2021,6,103
and,C34,2021,7,109
and,C34,2021,8,349
and,C34,2021,9,468
and,C34,2021,10,372
and,C34,2021,11,307
and,C34,2021,12,389
and,C34,2022,1,1180
and,C34,2022,2,870
and,C34,2022,3,346
and,C34,2022,4,168
and,C34,2022,5,194
and,C34,2022,6,281
and,C34,2022,7,375
and,C34,2022,8,369
and,C34,2022,9,310
and,C34,2022,10,288
and,C34,2022,11,282
and,C34,2022,12,350
and,C34,2023,1,371
and,C34,2023,2,237
and,C34,2023,3,207
and,C34,2023,4,134
and,C34,2023,5,106
and,C34,2023,6,63
and,C34,2023,7,61
and,C34,2023,8,114
and,C34,2023,9,161
and,C34,2023,10,142
and,C34,2023,11,163
and,C34,2023,12,216
and,C34,2024,1,274
and,C34,2024,2,188
and,C34,2024,3,119
and,C34,2024,4,59
and,C34,2024,5,51
and,C34,2024,6,57
and,C34,2024,7,91
and,C34,2024,8,141
and,C34,2024,9,145
and,C34,2024,10,90
and,C34,2024,11,37
