cause,date,age,dead
A-Q,2004-07,65,30877
A-Q,2004-07,75,51717
A-Q,2004-07,85,48996
A-Q,2004-08,0,1941
A-Q,2004-08,1,204
A-Q,2004-08,5,251
A-Q,2004-08,15,595
A-Q,2004-08,25,1374
A-Q,2004-08,35,4570
A-Q,2004-08,45,12076
A-Q,2004-08,55,20005
A-Q,2004-08,65,30375
A-Q,2004-08,75,51610
A-Q,2004-08,85,49108
A-Q,2004-09,0,1902
A-Q,2004-09,1,170
A-Q,2004-09,5,235
A-Q,2004-09,15,598
A-Q,2004-09,25,1268
A-Q,2004-09,35,4423
A-Q,2004-09,45,11366
A-Q,2004-09,55,19818
A-Q,2004-09,65,29718
A-Q,2004-09,75,50109
A-Q,2004-09,85,48318
A-Q,2004-10,0,2019
A-Q,2004-10,1,155
A-Q,2004-10,5,289
A-Q,2004-10,15,573
A-Q,2004-10,25,1397
A-Q,2004-10,35,4575
A-Q,2004-10,45,12446
A-Q,2004-10,55,20472
A-Q,2004-10,65,31763
A-Q,2004-10,75,54312
A-Q,2004-10,85,53162
A-Q,2004-11,0,1851
A-Q,2004-11,1,192
A-Q,2004-11,5,268
A-Q,2004-11,15,570
A-Q,2004-11,25,1290
A-Q,2004-11,35,4479
A-Q,2004-11,45,12120
A-Q,2004-11,55,20186
A-Q,2004-11,65,30882
A-Q,2004-11,75,53562
A-Q,2004-11,85,52351
A-Q,2004-12,0,1885
A-Q,2004-12,1,232
A-Q,2004-12,5,310
A-Q,2004-12,15,620
A-Q,2004-12,25,1361
A-Q,2004-12,35,4668
A-Q,2004-12,45,12986
A-Q,2004-12,55,22099
A-Q,2004-12,65,33283
A-Q,2004-12,75,58589
A-Q,2004-12,85,58737
A-Q,2005-01,0,1934
A-Q,2005-01,1,214
A-Q,2005-01,5,303
A-Q,2005-01,15,625
A-Q,2005-01,25,1416
A-Q,2005-01,35,4944
A-Q,2005-01,45,13576
A-Q,2005-01,55,22868
A-Q,2005-01,65,35323
A-Q,2005-01,75,63075
A-Q,2005-01,85,65132
A-Q,2005-02,0,1775
A-Q,2005-02,1,210
A-Q,2005-02,5,276
A-Q,2005-02,15,625
A-Q,2005-02,25,1362
A-Q,2005-02,35,4578
A-Q,2005-02,45,12404
A-Q,2005-02,55,21273
A-Q,2005-02,65,33120
A-Q,2005-02,75,59370
A-Q,2005-02,85,62935
A-Q,2005-03,0,2092
A-Q,2005-03,1,235
A-Q,2005-03,5,328
A-Q,2005-03,15,698
A-Q,2005-03,25,1394
A-Q,2005-03,35,4994
A-Q,2005-03,45,13426
A-Q,2005-03,55,22989
A-Q,2005-03,65,35989
A-Q,2005-03,75,64196
A-Q,2005-03,85,67614
A-Q,2005-04,0,1944
A-Q,2005-04,1,209
A-Q,2005-04,5,287
A-Q,2005-04,15,616
A-Q,2005-04,25,1353
A-Q,2005-04,35,4582
A-Q,2005-04,45,12433
A-Q,2005-04,55,21050
A-Q,2005-04,65,32308
A-Q,2005-04,75,56078
A-Q,2005-04,85,57148
A-Q,2005-05,0,2092
A-Q,2005-05,1,226
A-Q,2005-05,5,248
A-Q,2005-05,15,586
A-Q,2005-05,25,1329
A-Q,2005-05,35,4528
A-Q,2005-05,45,12466
A-Q,2005-05,55,21434
A-Q,2005-05,65,32057
A-Q,2005-05,75,54514
A-Q,2005-05,85,53818
A-Q,2005-06,0,1936
A-Q,2005-06,1,170
A-Q,2005-06,5,269
A-Q,2005-06,15,569
A-Q,2005-06,25,1253
A-Q,2005-06,35,4272
A-Q,2005-06,45,11966
A-Q,2005-06,55,20240
A-Q,2005-06,65,29802
A-Q,2005-06,75,50537
A-Q,2005-06,85,49129
A-Q,2005-07,0,2018
A-Q,2005-07,1,199
A-Q,2005-07,5,270
A-Q,2005-07,15,628
A-Q,2005-07,25,1389
A-Q,2005-07,35,4374
A-Q,2005-07,45,12522
A-Q,2005-07,55,20606
A-Q,2005-07,65,29980
A-Q,2005-07,75,50656
A-Q,2005-07,85,49830
A-Q,2005-08,0,2003
A-Q,2005-08,1,172
A-Q,2005-08,5,259
A-Q,2005-08,15,592
A-Q,2005-08,25,1280
A-Q,2005-08,35,4388
A-Q,2005-08,45,12330
A-Q,2005-08,55,20535
A-Q,2005-08,65,29900
A-Q,2005-08,75,50761
A-Q,2005-08,85,49945
A-Q,2005-09,0,1822
A-Q,2005-09,1,156
A-Q,2005-09,5,252
A-Q,2005-09,15,596
A-Q,2005-09,25,1247
A-Q,2005-09,35,4280
A-Q,2005-09,45,11781
A-Q,2005-09,55,20068
A-Q,2005-09,65,29316
A-Q,2005-09,75,49616
A-Q,2005-09,85,49324
A-Q,2005-10,0,1931
A-Q,2005-10,1,204
A-Q,2005-10,5,270
A-Q,2005-10,15,630
A-Q,2005-10,25,1389
A-Q,2005-10,35,4498
A-Q,2005-10,45,12443
A-Q,2005-10,55,21070
A-Q,2005-10,65,30906
A-Q,2005-10,75,52974
A-Q,2005-10,85,54040
A-Q,2005-11,0,1853
A-Q,2005-11,1,199
A-Q,2005-11,5,276
A-Q,2005-11,15,591
A-Q,2005-11,25,1315
A-Q,2005-11,35,4432
A-Q,2005-11,45,12680
A-Q,2005-11,55,20854
A-Q,2005-11,65,30887
A-Q,2005-11,75,53423
A-Q,2005-11,85,54930
A-Q,2005-12,0,1939
A-Q,2005-12,1,205
A-Q,2005-12,5,300
A-Q,2005-12,15,673
A-Q,2005-12,25,1356
A-Q,2005-12,35,4819
A-Q,2005-12,45,13624
A-Q,2005-12,55,23369
A-Q,2005-12,65,34308
A-Q,2005-12,75,59162
A-Q,2005-12,85,62139
A-Q,2006-01,0,1899
A-Q,2006-01,1,242
A-Q,2006-01,5,282
A-Q,2006-01,15,664
A-Q,2006-01,25,1466
A-Q,2006-01,35,4791
A-Q,2006-01,45,13557
A-Q,2006-01,55,23066
A-Q,2006-01,65,34150
A-Q,2006-01,75,59902
A-Q,2006-01,85,63010
A-Q,2006-02,0,1810
A-Q,2006-02,1,225
A-Q,2006-02,5,269
A-Q,2006-02,15,596
A-Q,2006-02,25,1333
A-Q,2006-02,35,4390
A-Q,2006-02,45,12208
A-Q,2006-02,55,21299
A-Q,2006-02,65,31248
A-Q,2006-02,75,54811
A-Q,2006-02,85,57206
A-Q,2006-03,0,2036
