date,state,dead
2018-10,Montana,872
2018-10,Nebraska,1410
2018-10,Nevada,1975
2018-10,New Hampshire,1115
2018-10,New Jersey,6324
2018-10,New Mexico,1596
2018-10,New York,13408
2018-10,North Carolina,7834
2018-10,North Dakota,584
2018-10,Ohio,10154
2018-10,Oklahoma,3341
2018-10,Oregon,3002
2018-10,Pennsylvania,11390
2018-10,Rhode Island,858
2018-10,South Carolina,4085
2018-10,South Dakota,712
2018-10,Tennessee,5804
2018-10,Texas,16379
2018-10,Utah,1569
2018-10,Vermont,553
2018-10,Virginia,5901
2018-10,Washington,4813
2018-10,West Virginia,1950
2018-10,Wisconsin,4577
2018-10,Wyoming,418
2018-11,Alabama,4380
2018-11,Alaska,402
2018-11,Arizona,4719
2018-11,Arkansas,2693
2018-11,California,21757
2018-11,Colorado,3184
2018-11,Connecticut,2568
2018-11,Delaware,779
2018-11,District of Columbia,387
2018-11,Florida,16475
2018-11,Georgia,7009
2018-11,Hawaii,935
2018-11,Idaho,1139
2018-11,Illinois,9046
2018-11,Indiana,5321
2018-11,Iowa,2501
2018-11,Kansas,2252
2018-11,Kentucky,4067
2018-11,Louisiana,3814
2018-11,Maine,1254
2018-11,Maryland,4249
2018-11,Massachusetts,4797
2018-11,Michigan,8276
2018-11,Minnesota,3832
2018-11,Mississippi,2670
2018-11,Missouri,5056
2018-11,Montana,877
2018-11,Nebraska,1351
2018-11,Nevada,2033
2018-11,New Hampshire,1038
2018-11,New Jersey,6260
2018-11,New Mexico,1552
2018-11,New York,12943
2018-11,North Carolina,7791
2018-11,North Dakota,558
2018-11,Ohio,10379
2018-11,Oklahoma,3423
2018-11,Oregon,3029
2018-11,Pennsylvania,10963
2018-11,Rhode Island,792
2018-11,South Carolina,4234
2018-11,South Dakota,656
2018-11,Tennessee,5989
2018-11,Texas,16746
2018-11,Utah,1512
2018-11,Vermont,496
2018-11,Virginia,5784
2018-11,Washington,4693
2018-11,West Virginia,1854
2018-11,Wisconsin,4408
2018-11,Wyoming,452
2018-12,Alabama,4853
2018-12,Alaska,403
2018-12,Arizona,5220
2018-12,Arkansas,2871
2018-12,California,23518
2018-12,Colorado,3362
2018-12,Connecticut,2719
2018-12,Delaware,821
2018-12,District of Columbia,420
2018-12,Florida,18053
2018-12,Georgia,7690
2018-12,Hawaii,984
2018-12,Idaho,1234
2018-12,Illinois,9457
2018-12,Indiana,5854
2018-12,Iowa,2656
2018-12,Kansas,2468
2018-12,Kentucky,4232
2018-12,Louisiana,4144
2018-12,Maine,1319
2018-12,Maryland,4594
