age,cause,state,date,dead
all,C00-C97,Colorado,2020-02,816
all,C00-C97,Colorado,2020-03,837
all,C00-C97,Colorado,2020-04,856
all,C00-C97,Colorado,2020-05,767
all,C00-C97,Colorado,2020-06,739
all,C00-C97,Colorado,2020-07,805
all,C00-C97,Colorado,2020-08,790
all,C00-C97,Colorado,2020-09,761
all,C00-C97,Colorado,2020-10,797
all,C00-C97,Colorado,2020-11,863
all,C00-C97,Colorado,2020-12,923
all,C00-C97,Colorado,2021-01,937
all,C00-C97,Colorado,2021-02,701
all,C00-C97,Colorado,2021-03,822
all,C00-C97,Colorado,2021-04,758
all,C00-C97,Colorado,2021-05,783
all,C00-C97,Colorado,2021-06,755
all,C00-C97,Colorado,2021-07,821
all,C00-C97,Colorado,2021-08,886
all,C00-C97,Colorado,2021-09,837
all,C00-C97,Colorado,2021-10,903
all,C00-C97,Colorado,2021-11,866
all,C00-C97,Colorado,2021-12,887
all,C00-C97,Colorado,2022-01,949
all,C00-C97,Colorado,2022-02,780
all,C00-C97,Colorado,2022-03,803
all,C00-C97,Colorado,2022-04,807
all,C00-C97,Colorado,2022-05,861
all,C00-C97,Colorado,2022-06,869
all,C00-C97,Colorado,2022-07,851
all,C00-C97,Colorado,2022-08,795
all,C00-C97,Colorado,2022-09,840
all,C00-C97,Colorado,2022-10,834
all,C00-C97,Colorado,2022-11,813
all,C00-C97,Colorado,2022-12,922
all,C00-C97,Colorado,2023-01,825
all,C00-C97,Colorado,2023-02,783
all,C00-C97,Colorado,2023-03,864
all,C00-C97,Colorado,2023-04,833
all,C00-C97,Colorado,2023-05,852
all,C00-C97,Colorado,2023-06,790
all,C00-C97,Colorado,2023-07,823
all,C00-C97,Colorado,2023-08,864
all,C00-C97,Colorado,2023-09,813
all,C00-C97,Colorado,2023-10,897
all,C00-C97,Colorado,2023-11,834
all,C00-C97,Colorado,2023-12,903
all,C00-C97,Colorado,2024-01,806
all,C00-C97,Colorado,2024-02,824
all,C00-C97,Colorado,2024-03,863
all,C00-C97,Colorado,2024-04,844
all,C00-C97,Colorado,2024-05,830
all,C00-C97,Colorado,2024-06,813
all,C00-C97,Colorado,2024-07,854
all,C00-C97,Colorado,2024-08,842
all,C00-C97,Colorado,2024-09,822
all,C00-C97,Colorado,2024-10,840
all,C00-C97,Colorado,2024-11,496
all,C00-C97,Connecticut,2018-01,651
all,C00-C97,Connecticut,2018-02,540
all,C00-C97,Connecticut,2018-03,613
all,C00-C97,Connecticut,2018-04,632
all,C00-C97,Connecticut,2018-05,576
all,C00-C97,Connecticut,2018-06,555
all,C00-C97,Connecticut,2018-07,600
all,C00-C97,Connecticut,2018-08,629
all,C00-C97,Connecticut,2018-09,609
all,C00-C97,Connecticut,2018-10,614
all,C00-C97,Connecticut,2018-11,574
all,C00-C97,Connecticut,2018-12,623
all,C00-C97,Connecticut,2019-01,638
all,C00-C97,Connecticut,2019-02,551
all,C00-C97,Connecticut,2019-03,640
all,C00-C97,Connecticut,2019-04,621
all,C00-C97,Connecticut,2019-05,584
all,C00-C97,Connecticut,2019-06,601
all,C00-C97,Connecticut,2019-07,616
all,C00-C97,Connecticut,2019-08,621
all,C00-C97,Connecticut,2019-09,547
