year,sex,age,cases
1987,Men,65,3183
1987,Woman,65,2652
1986,Men,65,3052
1986,Woman,65,2575
1985,Men,65,2986
1985,Woman,65,2366
1984,Men,65,2884
1984,Woman,65,2358
1983,Men,65,2806
1983,Woman,65,2351
1982,Men,65,2750
1982,Woman,65,2308
1981,Men,65,2793
1981,Woman,65,2164
1980,Men,65,2820
1980,Woman,65,2217
1979,Men,65,2701
1979,Woman,65,2301
1978,Men,65,2754
1978,Woman,65,2345
1977,Men,65,2739
1977,Woman,65,2186
1976,Men,65,2763
1976,Woman,65,2190
1975,Men,65,2563
1975,Woman,65,2049
1974,Men,65,2506
1974,Woman,65,2068
1973,Men,65,2521
1973,Woman,65,2043
1972,Men,65,2461
1972,Woman,65,1974
1971,Men,65,2362
1971,Woman,65,1902
1970,Men,65,2275
1970,Woman,65,1771
2023,Men,70,6931
2023,Woman,70,5407
2022,Men,70,7256
2022,Woman,70,5584
2021,Men,70,7168
2021,Woman,70,5924
2020,Men,70,6862
2020,Woman,70,5750
2019,Men,70,7485
2019,Woman,70,6109
2018,Men,70,7555
2018,Woman,70,6085
2017,Men,70,7286
2017,Woman,70,5747
2016,Men,70,7150
2016,Woman,70,5328
2015,Men,70,6686
2015,Woman,70,4921
2014,Men,70,6192
2014,Woman,70,4729
2013,Men,70,5476
2013,Woman,70,4080
2012,Men,70,5075
2012,Woman,70,3842
2011,Men,70,5072
2011,Woman,70,3723
2010,Men,70,4876
2010,Woman,70,3525
2009,Men,70,4800
2009,Woman,70,3374
2008,Men,70,4302
2008,Woman,70,3122
2007,Men,70,4141
2007,Woman,70,2963
2006,Men,70,4184
2006,Woman,70,2887
2005,Men,70,4213
2005,Woman,70,2824
2004,Men,70,4383
2004,Woman,70,2804
2003,Men,70,4114
2003,Woman,70,2856
2002,Men,70,3963
2002,Woman,70,2865
2001,Men,70,3901
2001,Woman,70,2848
2000,Men,70,3891
2000,Woman,70,2874
1999,Men,70,4114
1999,Woman,70,2833
1998,Men,70,3936
1998,Woman,70,2788
1997,Men,70,3936
1997,Woman,70,2817
1996,Men,70,3988
1996,Woman,70,2988
1995,Men,70,4049
1995,Woman,70,3138
1994,Men,70,4295
1994,Woman,70,3070
1993,Men,70,4316
1993,Woman,70,3118
1992,Men,70,4102
1992,Woman,70,2974
1991,Men,70,4070
1991,Woman,70,2917
1990,Men,70,3809
1990,Woman,70,2917
1989,Men,70,3781
1989,Woman,70,2721
1988,Men,70,3783
1988,Woman,70,2820
1987,Men,70,3733
1987,Woman,70,2926
1986,Men,70,3624
1986,Woman,70,2591
1985,Men,70,3599
1985,Woman,70,2669
1984,Men,70,3666
1984,Woman,70,2670
1983,Men,70,3689
1983,Woman,70,2575
1982,Men,70,3489
1982,Woman,70,2679
1981,Men,70,3427
1981,Woman,70,2584
1980,Men,70,3431
1980,Woman,70,2519
1979,Men,70,3246
1979,Woman,70,2560
