location,age,dose,month,dead,pop
Makinohara/Shizuoka,all,2,2021-12,46,1053803
Makinohara/Shizuoka,all,3,2021-12,0,1963
Makinohara/Shizuoka,all,4,2021-12,0,0
Makinohara/Shizuoka,all,5,2021-12,0,0
Makinohara/Shizuoka,all,6,2021-12,0,0
Makinohara/Shizuoka,all,7,2021-12,0,0
Makinohara/Shizuoka,80over,0,2022-01,5,7043
Makinohara/Shizuoka,80over,1,2022-01,0,498
Makinohara/Shizuoka,80over,2,2022-01,28,137394
Makinohara/Shizuoka,80over,3,2022-01,0,1195
Makinohara/Shizuoka,80over,4,2022-01,0,0
Makinohara/Shizuoka,80over,5,2022-01,0,0
Makinohara/Shizuoka,80over,6,2022-01,0,0
Makinohara/Shizuoka,80over,7,2022-01,0,0
Makinohara/Shizuoka,all,0,2022-01,10,188211
Makinohara/Shizuoka,all,1,2022-01,1,4795
Makinohara/Shizuoka,all,2,2022-01,55,1041314
Makinohara/Shizuoka,all,3,2022-01,1,15938
Makinohara/Shizuoka,all,4,2022-01,0,0
Makinohara/Shizuoka,all,5,2022-01,0,0
Makinohara/Shizuoka,all,6,2022-01,0,0
Makinohara/Shizuoka,all,7,2022-01,0,0
Makinohara/Shizuoka,80over,0,2022-02,3,6157
Makinohara/Shizuoka,80over,1,2022-02,0,457
Makinohara/Shizuoka,80over,2,2022-02,23,65891
Makinohara/Shizuoka,80over,3,2022-02,3,58804
Makinohara/Shizuoka,80over,4,2022-02,0,0
Makinohara/Shizuoka,80over,5,2022-02,0,0
Makinohara/Shizuoka,80over,6,2022-02,0,0
Makinohara/Shizuoka,80over,7,2022-02,0,0
Makinohara/Shizuoka,all,0,2022-02,6,167936
Makinohara/Shizuoka,all,1,2022-02,0,4122
Makinohara/Shizuoka,all,2,2022-02,39,744292
Makinohara/Shizuoka,all,3,2022-02,9,211391
Makinohara/Shizuoka,all,4,2022-02,0,0
Makinohara/Shizuoka,all,5,2022-02,0,0
Makinohara/Shizuoka,all,6,2022-02,0,0
Makinohara/Shizuoka,all,7,2022-02,0,0
Makinohara/Shizuoka,80over,0,2022-03,6,6514
Makinohara/Shizuoka,80over,1,2022-03,0,501
Makinohara/Shizuoka,80over,2,2022-03,16,10399
Makinohara/Shizuoka,80over,3,2022-03,18,126844
Makinohara/Shizuoka,80over,4,2022-03,0,0
Makinohara/Shizuoka,80over,5,2022-03,0,0
Makinohara/Shizuoka,80over,6,2022-03,0,0
Makinohara/Shizuoka,80over,7,2022-03,0,0
Makinohara/Shizuoka,all,0,2022-03,8,181306
Makinohara/Shizuoka,all,1,2022-03,0,6842
Makinohara/Shizuoka,all,2,2022-03,26,558040
Makinohara/Shizuoka,all,3,2022-03,24,500602
Makinohara/Shizuoka,all,4,2022-03,0,0
Makinohara/Shizuoka,all,5,2022-03,0,0
Makinohara/Shizuoka,all,6,2022-03,0,0
Makinohara/Shizuoka,all,7,2022-03,0,0
Makinohara/Shizuoka,80over,0,2022-04,4,6168
Makinohara/Shizuoka,80over,1,2022-04,0,412
Makinohara/Shizuoka,80over,2,2022-04,7,6594
Makinohara/Shizuoka,80over,3,2022-04,11,125525
Makinohara/Shizuoka,80over,4,2022-04,0,0
Makinohara/Shizuoka,80over,5,2022-04,0,0
Makinohara/Shizuoka,80over,6,2022-04,0,0
Makinohara/Shizuoka,80over,7,2022-04,0,0
Makinohara/Shizuoka,all,0,2022-04,9,168273
Makinohara/Shizuoka,all,1,2022-04,0,7096
Makinohara/Shizuoka,all,2,2022-04,15,371240
Makinohara/Shizuoka,all,3,2022-04,26,658419
Makinohara/Shizuoka,all,4,2022-04,0,0
Makinohara/Shizuoka,all,5,2022-04,0,0
Makinohara/Shizuoka,all,6,2022-04,0,0
Makinohara/Shizuoka,all,7,2022-04,0,0
Makinohara/Shizuoka,80over,0,2022-05,3,6269
Makinohara/Shizuoka,80over,1,2022-05,0,403
Makinohara/Shizuoka,80over,2,2022-05,4,5539
Makinohara/Shizuoka,80over,3,2022-05,22,130298
Makinohara/Shizuoka,80over,4,2022-05,0,0
Makinohara/Shizuoka,80over,5,2022-05,0,0
Makinohara/Shizuoka,80over,6,2022-05,0,0
Makinohara/Shizuoka,80over,7,2022-05,0,0
Makinohara/Shizuoka,all,0,2022-05,8,167352
Makinohara/Shizuoka,all,1,2022-05,0,7605
Makinohara/Shizuoka,all,2,2022-05,8,263326
Makinohara/Shizuoka,all,3,2022-05,30,805291
Makinohara/Shizuoka,all,4,2022-05,0,0
Makinohara/Shizuoka,all,5,2022-05,0,0
Makinohara/Shizuoka,all,6,2022-05,0,0
Makinohara/Shizuoka,all,7,2022-05,0,0
Makinohara/Shizuoka,80over,0,2022-06,2,5992
Makinohara/Shizuoka,80over,1,2022-06,1,370
Makinohara/Shizuoka,80over,2,2022-06,4,4846
Makinohara/Shizuoka,80over,3,2022-06,11,126001
Makinohara/Shizuoka,80over,4,2022-06,0,15
Makinohara/Shizuoka,80over,5,2022-06,0,0
Makinohara/Shizuoka,80over,6,2022-06,0,0
Makinohara/Shizuoka,80over,7,2022-06,0,0
Makinohara/Shizuoka,all,0,2022-06,3,160102
Makinohara/Shizuoka,all,1,2022-06,1,4246
Makinohara/Shizuoka,all,2,2022-06,7,216085
Makinohara/Shizuoka,all,3,2022-06,28,821490
Makinohara/Shizuoka,all,4,2022-06,0,388
Makinohara/Shizuoka,all,5,2022-06,0,0
Makinohara/Shizuoka,all,6,2022-06,0,0
Makinohara/Shizuoka,all,7,2022-06,0,0
Makinohara/Shizuoka,80over,0,2022-07,3,6134
Makinohara/Shizuoka,80over,1,2022-07,0,372
Makinohara/Shizuoka,80over,2,2022-07,1,4701
Makinohara/Shizuoka,80over,3,2022-07,16,91610
Makinohara/Shizuoka,80over,4,2022-07,2,38346
Makinohara/Shizuoka,80over,5,2022-07,0,0
Makinohara/Shizuoka,80over,6,2022-07,0,0
Makinohara/Shizuoka,80over,7,2022-07,0,0
Makinohara/Shizuoka,all,0,2022-07,7,163648
