code,type,year,month,dead
I21+I22+I46+I50,mcd,2007,01,1076
I21+I22+I46+I50,mcd,2007,02,937
I21+I22+I46+I50,mcd,2007,03,1069
I21+I22+I46+I50,mcd,2007,04,993
I21+I22+I46+I50,mcd,2007,05,942
I21+I22+I46+I50,mcd,2007,06,862
I21+I22+I46+I50,mcd,2007,07,922
I21+I22+I46+I50,mcd,2007,08,888
I21+I22+I46+I50,mcd,2007,09,821
I21+I22+I46+I50,mcd,2007,10,956
I21+I22+I46+I50,mcd,2007,11,921
I21+I22+I46+I50,mcd,2007,12,1009
I21+I22+I46+I50,mcd,2008,01,1041
I21+I22+I46+I50,mcd,2008,02,1006
I21+I22+I46+I50,mcd,2008,03,1081
I21+I22+I46+I50,mcd,2008,04,1035
I21+I22+I46+I50,mcd,2008,05,1065
I21+I22+I46+I50,mcd,2008,06,926
I21+I22+I46+I50,mcd,2008,07,860
I21+I22+I46+I50,mcd,2008,08,849
I21+I22+I46+I50,mcd,2008,09,885
I21+I22+I46+I50,mcd,2008,10,894
I21+I22+I46+I50,mcd,2008,11,913
I21+I22+I46+I50,mcd,2008,12,1029
I21+I22+I46+I50,mcd,2009,01,1073
I21+I22+I46+I50,mcd,2009,02,898
I21+I22+I46+I50,mcd,2009,03,1088
I21+I22+I46+I50,mcd,2009,04,970
I21+I22+I46+I50,mcd,2009,05,924
I21+I22+I46+I50,mcd,2009,06,949
I21+I22+I46+I50,mcd,2009,07,892
I21+I22+I46+I50,mcd,2009,08,863
I21+I22+I46+I50,mcd,2009,09,840
I21+I22+I46+I50,mcd,2009,10,1000
I21+I22+I46+I50,mcd,2009,11,985
I21+I22+I46+I50,mcd,2009,12,1082
I21+I22+I46+I50,mcd,2010,01,972
I21+I22+I46+I50,mcd,2010,02,971
I21+I22+I46+I50,mcd,2010,03,1049
I21+I22+I46+I50,mcd,2010,04,1029
I21+I22+I46+I50,mcd,2010,05,958
I21+I22+I46+I50,mcd,2010,06,881
I21+I22+I46+I50,mcd,2010,07,932
I21+I22+I46+I50,mcd,2010,08,941
I21+I22+I46+I50,mcd,2010,09,885
I21+I22+I46+I50,mcd,2010,10,1060
I21+I22+I46+I50,mcd,2010,11,1022
I21+I22+I46+I50,mcd,2010,12,1061
I21+I22+I46+I50,mcd,2011,01,1070
I21+I22+I46+I50,mcd,2011,02,980
I21+I22+I46+I50,mcd,2011,03,1150
I21+I22+I46+I50,mcd,2011,04,1099
I21+I22+I46+I50,mcd,2011,05,1030
I21+I22+I46+I50,mcd,2011,06,966
I21+I22+I46+I50,mcd,2011,07,959
I21+I22+I46+I50,mcd,2011,08,927
I21+I22+I46+I50,mcd,2011,09,857
I21+I22+I46+I50,mcd,2011,10,1041
I21+I22+I46+I50,mcd,2011,11,1016
I21+I22+I46+I50,mcd,2011,12,1014
I21+I22+I46+I50,mcd,2012,01,1102
I21+I22+I46+I50,mcd,2012,02,971
I21+I22+I46+I50,mcd,2012,03,1119
I21+I22+I46+I50,mcd,2012,04,1003
