type,year,age,count
net,2016,5,3975
net,2017,5,4140
net,2018,5,3761
net,2019,5,4517
net,2020,5,2791
net,2021,5,830
net,2022,5,2673
net,2023,5,8389
net,2001,10,3468
net,2002,10,5456
net,2003,10,3659
net,2004,10,1423
net,2005,10,1438
net,2006,10,2305
net,2007,10,1491
net,2008,10,1163
net,2009,10,1719
net,2010,10,517
net,2011,10,-778
net,2012,10,-613
net,2013,10,331
net,2014,10,1988
net,2015,10,2805
net,2016,10,3740
net,2017,10,3697
net,2018,10,3384
net,2019,10,4245
net,2020,10,2475
net,2021,10,553
net,2022,10,2590
net,2023,10,7571
net,2001,15,9389
net,2002,15,12465
net,2003,15,6216
net,2004,15,1829
net,2005,15,1335
net,2006,15,1772
net,2007,15,2019
net,2008,15,2991
net,2009,15,3786
net,2010,15,2961
net,2011,15,1334
net,2012,15,967
net,2013,15,3002
net,2014,15,5985
net,2015,15,6189
net,2016,15,6007
net,2017,15,5020
net,2018,15,3866
net,2019,15,4109
net,2020,15,2137
net,2021,15,-1187
net,2022,15,1472
net,2023,15,6243
net,2001,20,581
net,2002,20,5350
net,2003,20,239
net,2004,20,-5235
net,2005,20,-4543
net,2006,20,-3890
net,2007,20,-3042
net,2008,20,-1112
net,2009,20,1285
net,2010,20,-654
net,2011,20,-4463
net,2012,20,-5032
net,2013,20,428
net,2014,20,6944
net,2015,20,9314
net,2016,20,6507
net,2017,20,3729
net,2018,20,3878
net,2019,20,4950
net,2020,20,3350
net,2021,20,-3809
net,2022,20,466
net,2023,20,9758
net,2001,25,3023
net,2002,25,7440
net,2003,25,5894
net,2004,25,1983
net,2005,25,1276
net,2006,25,2249
net,2007,25,741
net,2008,25,1361
net,2009,25,2512
net,2010,25,-879
net,2011,25,-2520
net,2012,25,-454
net,2013,25,4262
net,2014,25,8831
net,2015,25,11996
net,2016,25,11124
net,2017,25,8416
net,2018,25,7465
net,2019,25,10915
net,2020,25,4785
net,2021,25,-4827
net,2022,25,2795
net,2023,25,19090
net,2001,30,3579
net,2002,30,8102
net,2003,30,7304
net,2004,30,4547
net,2005,30,4031
net,2006,30,4087
net,2007,30,3362
net,2008,30,3539
net,2009,30,2857
net,2010,30,691
net,2011,30,-256
net,2012,30,560
net,2013,30,3583
net,2014,30,6561
net,2015,30,8201
net,2016,30,9277
net,2017,30,8314
net,2018,30,7973
net,2019,30,9941
net,2020,30,4263
net,2021,30,-1269
net,2022,30,6118
net,2023,30,23162
net,2001,35,2919
net,2002,35,5841
net,2003,35,5126
net,2004,35,2865
net,2005,35,2574
net,2006,35,2951
net,2007,35,2379
net,2008,35,2132
net,2009,35,1557
net,2010,35,6
net,2011,35,-1014
net,2012,35,-141
net,2013,35,1777
net,2014,35,3878
net,2015,35,5075
net,2016,35,5995
net,2017,35,6138
net,2018,35,6243
net,2019,35,8027
net,2020,35,3538
net,2021,35,-10
net,2022,35,4707
net,2023,35,18397
net,2001,40,1937
net,2002,40,3858
net,2003,40,3252
net,2004,40,1693
net,2005,40,1440
net,2006,40,1952
net,2007,40,1087
net,2008,40,782
net,2009,40,806
net,2010,40,-693
net,2011,40,-1497
net,2012,40,-835
net,2013,40,1087
net,2014,40,2618
net,2015,40,3249
net,2016,40,4127
net,2017,40,3798
net,2018,40,4234
net,2019,40,5486
net,2020,40,2727
net,2021,40,150
net,2022,40,3121
net,2023,40,12266
net,2001,45,531
net,2002,45,1931
net,2003,45,1632
net,2004,45,855
net,2005,45,487
net,2006,45,298
net,2007,45,-135
net,2008,45,-538
net,2009,45,-226
net,2010,45,-1347
net,2011,45,-2062
net,2012,45,-1560
net,2013,45,-265
net,2014,45,1028
net,2015,45,1585
net,2016,45,1936
net,2017,45,1918
net,2018,45,1921
net,2019,45,3172
net,2020,45,1867
net,2021,45,-147
net,2022,45,1186
net,2023,45,5749
net,2001,50,103
net,2002,50,770
net,2003,50,626
net,2004,50,223
net,2005,50,-89
net,2006,50,-174
net,2007,50,-335
net,2008,50,-568
net,2009,50,-93
net,2010,50,-857
net,2011,50,-1730
net,2012,50,-1233
net,2013,50,-160
net,2014,50,887
net,2015,50,933
net,2016,50,1277
net,2017,50,881
net,2018,50,615
net,2019,50,2295
net,2020,50,1338
net,2021,50,-583
net,2022,50,182
net,2023,50,2335
net,2001,55,429
net,2002,55,646
net,2003,55,466
net,2004,55,310
net,2005,55,114
net,2006,55,390
net,2007,55,-31
net,2008,55,-80
net,2009,55,210
net,2010,55,-201
net,2011,55,-325
net,2012,55,-175
net,2013,55,663
net,2014,55,1284
net,2015,55,1417
net,2016,55,1454
net,2017,55,879
net,2018,55,823
net,2019,55,2721
net,2020,55,1381
net,2021,55,-1043
net,2022,55,-359
net,2023,55,1694
net,2001,60,581
net,2002,60,843
net,2003,60,451
net,2004,60,413
net,2005,60,485
net,2006,60,658
net,2007,60,591
net,2008,60,386
net,2009,60,762
net,2010,60,457
net,2011,60,524
net,2012,60,713
net,2013,60,1101
net,2014,60,1606
net,2015,60,1632
net,2016,60,1796
net,2017,60,1457
net,2018,60,1249
net,2019,60,3641
net,2020,60,1442
net,2021,60,-1355
net,2022,60,-177
net,2023,60,2566
net,2001,65,259
net,2002,65,347
net,2003,65,239
net,2004,65,235
net,2005,65,295
net,2006,65,473
net,2007,65,362
net,2008,65,347
net,2009,65,461
net,2010,65,336
net,2011,65,367
net,2012,65,427
net,2013,65,578
net,2014,65,641
net,2015,65,836
net,2016,65,932
net,2017,65,724
net,2018,65,471
net,2019,65,2570
net,2020,65,935
net,2021,65,-1503
net,2022,65,-591
net,2023,65,1855
net,2001,70,161
net,2002,70,297
net,2003,70,90
net,2004,70,21
net,2005,70,68
net,2006,70,300
net,2007,70,208
net,2008,70,115
net,2009,70,221
net,2010,70,34
net,2011,70,80
net,2012,70,113
net,2013,70,224
net,2014,70,294
net,2015,70,285
net,2016,70,225
net,2017,70,136
net,2018,70,203
net,2019,70,1250
net,2020,70,504
net,2021,70,-1076
net,2022,70,-563
net,2023,70,931
net,2001,75,139
net,2002,75,138
net,2003,75,68
net,2004,75,65
net,2005,75,27
net,2006,75,104
net,2007,75,107
net,2008,75,118
net,2009,75,104
net,2010,75,37
net,2011,75,35
net,2012,75,44
net,2013,75,51
net,2014,75,201
net,2015,75,83
net,2016,75,83
net,2017,75,6
net,2018,75,13
net,2019,75,521
net,2020,75,302
net,2021,75,-492
net,2022,75,-360
net,2023,75,400
net,2001,80,70
net,2002,80,74
net,2003,80,62
net,2004,80,57
net,2005,80,20
net,2006,80,68
net,2007,80,64
net,2008,80,19
net,2009,80,-3
net,2010,80,-17
net,2011,80,-27
net,2012,80,18
net,2013,80,37
net,2014,80,52
net,2015,80,45
net,2016,80,31
net,2017,80,17
net,2018,80,-20
net,2019,80,193
net,2020,80,104
