cause,year,week,dead,date
mcd,2018,40,1053,2018-10-03
mcd,2018,41,1147,2018-10-10
mcd,2018,42,1070,2018-10-17
mcd,2018,43,1132,2018-10-24
mcd,2018,44,1097,2018-10-31
mcd,2018,45,1083,2018-11-07
mcd,2018,46,1100,2018-11-14
mcd,2018,47,1116,2018-11-21
mcd,2018,48,1127,2018-11-28
mcd,2018,49,1139,2018-12-05
mcd,2018,50,1168,2018-12-12
mcd,2018,51,1064,2018-12-19
mcd,2018,52,1047,2018-12-26
mcd,2019,1,1066,2019-01-02
mcd,2019,2,1162,2019-01-09
mcd,2019,3,1070,2019-01-16
mcd,2019,4,1069,2019-01-23
mcd,2019,5,1099,2019-01-30
mcd,2019,6,1072,2019-02-06
mcd,2019,7,1069,2019-02-13
mcd,2019,8,1088,2019-02-20
mcd,2019,9,1076,2019-02-27
mcd,2019,10,1065,2019-03-06
mcd,2019,11,1068,2019-03-13
mcd,2019,12,1082,2019-03-20
mcd,2019,13,1070,2019-03-27
mcd,2019,14,1084,2019-04-03
mcd,2019,15,1031,2019-04-10
mcd,2019,16,1059,2019-04-17
mcd,2019,17,1083,2019-04-24
mcd,2019,18,1094,2019-05-01
mcd,2019,19,1073,2019-05-08
mcd,2019,20,1068,2019-05-15
mcd,2019,21,1058,2019-05-22
mcd,2019,22,1055,2019-05-29
mcd,2019,23,1041,2019-06-05
mcd,2019,24,1042,2019-06-12
mcd,2019,25,1107,2019-06-19
mcd,2019,26,1070,2019-06-26
mcd,2019,27,1037,2019-07-03
mcd,2019,28,1072,2019-07-10
mcd,2019,29,1037,2019-07-17
mcd,2019,30,1043,2019-07-24
mcd,2019,31,1020,2019-07-31
mcd,2019,32,1023,2019-08-07
mcd,2019,33,1028,2019-08-14
mcd,2019,34,1038,2019-08-21
mcd,2019,35,1053,2019-08-28
mcd,2019,36,1078,2019-09-04
mcd,2019,37,994,2019-09-11
mcd,2019,38,1055,2019-09-18
mcd,2019,39,1082,2019-09-25
mcd,2019,40,1053,2019-10-02
mcd,2019,41,1008,2019-10-09
mcd,2019,42,1038,2019-10-16
mcd,2019,43,984,2019-10-23
mcd,2019,44,1045,2019-10-30
mcd,2019,45,1054,2019-11-06
mcd,2019,46,1077,2019-11-13
mcd,2019,47,1093,2019-11-20
mcd,2019,48,1008,2019-11-27
mcd,2019,49,1052,2019-12-04
mcd,2019,50,1036,2019-12-11
mcd,2019,51,1026,2019-12-18
mcd,2019,52,1021,2019-12-25
mcd,2020,1,1005,2020-01-01
mcd,2020,2,1055,2020-01-08
mcd,2020,3,1061,2020-01-15
mcd,2020,4,1084,2020-01-22
mcd,2020,5,1108,2020-01-29
mcd,2020,6,1039,2020-02-05
mcd,2020,7,1081,2020-02-12
mcd,2020,8,1096,2020-02-19
mcd,2020,9,1108,2020-02-26
mcd,2020,10,1023,2020-03-04
mcd,2020,11,1025,2020-03-11
mcd,2020,12,1053,2020-03-18
mcd,2020,13,1057,2020-03-25
mcd,2020,14,1070,2020-04-01
mcd,2020,15,1044,2020-04-08
mcd,2020,16,1082,2020-04-15
mcd,2020,17,1055,2020-04-22
mcd,2020,18,1074,2020-04-29
mcd,2020,19,1013,2020-05-06
mcd,2020,20,1052,2020-05-13
mcd,2020,21,1018,2020-05-20
mcd,2020,22,1026,2020-05-27
mcd,2020,23,1057,2020-06-03
mcd,2020,24,1073,2020-06-10
mcd,2020,25,1006,2020-06-17
mcd,2020,26,1013,2020-06-24
mcd,2020,27,1026,2020-07-01
mcd,2020,28,1059,2020-07-08
mcd,2020,29,1064,2020-07-15
mcd,2020,30,1052,2020-07-22
mcd,2020,31,1051,2020-07-29
mcd,2020,32,1026,2020-08-05
mcd,2020,33,1082,2020-08-12
mcd,2020,34,1006,2020-08-19
mcd,2020,35,1017,2020-08-26
mcd,2020,36,1088,2020-09-02
mcd,2020,37,994,2020-09-09
mcd,2020,38,1025,2020-09-16
mcd,2020,39,1019,2020-09-23
mcd,2020,40,1017,2020-09-30
mcd,2020,41,1066,2020-10-07
mcd,2020,42,998,2020-10-14
mcd,2020,43,1024,2020-10-21
mcd,2020,44,1056,2020-10-28
mcd,2020,45,1044,2020-11-04
mcd,2020,46,1051,2020-11-11
mcd,2020,47,1041,2020-11-18
mcd,2020,48,1063,2020-11-25
mcd,2020,49,1062,2020-12-02
mcd,2020,50,1057,2020-12-09
mcd,2020,51,1081,2020-12-16
mcd,2020,52,1097,2020-12-23
mcd,2020,53,1087,2020-12-30
mcd,2021,1,1105,2021-01-06
mcd,2021,2,1124,2021-01-13
mcd,2021,3,1054,2021-01-20
mcd,2021,4,1067,2021-01-27
mcd,2021,5,1093,2021-02-03
mcd,2021,6,1068,2021-02-10
mcd,2021,7,1090,2021-02-17
mcd,2021,8,1046,2021-02-24
mcd,2021,9,1028,2021-03-03
mcd,2021,10,1083,2021-03-10
mcd,2021,11,998,2021-03-17
mcd,2021,12,1007,2021-03-24
mcd,2021,13,1014,2021-03-31
mcd,2021,14,1057,2021-04-07
mcd,2021,15,987,2021-04-14
mcd,2021,16,1046,2021-04-21
mcd,2021,17,1047,2021-04-28
mcd,2021,18,1001,2021-05-05
mcd,2021,19,1034,2021-05-12
mcd,2021,20,1043,2021-05-19
mcd,2021,21,992,2021-05-26
mcd,2021,22,1031,2021-06-02
mcd,2021,23,995,2021-06-09
mcd,2021,24,1025,2021-06-16
mcd,2021,25,1061,2021-06-23
mcd,2021,26,1047,2021-06-30
mcd,2021,27,979,2021-07-07
mcd,2021,28,1068,2021-07-14
mcd,2021,29,1037,2021-07-21
mcd,2021,30,1012,2021-07-28
mcd,2021,31,1024,2021-08-04
mcd,2021,32,1069,2021-08-11
mcd,2021,33,1102,2021-08-18
mcd,2021,34,1033,2021-08-25
mcd,2021,35,1089,2021-09-01
mcd,2021,36,1027,2021-09-08
mcd,2021,37,1098,2021-09-15
mcd,2021,38,1145,2021-09-22
mcd,2021,39,1043,2021-09-29
mcd,2021,40,1114,2021-10-06
mcd,2021,41,1050,2021-10-13
mcd,2021,42,1027,2021-10-20
mcd,2021,43,1065,2021-10-27
mcd,2021,44,1024,2021-11-03
mcd,2021,45,1038,2021-11-10
mcd,2021,46,1022,2021-11-17
mcd,2021,47,1077,2021-11-24
mcd,2021,48,1040,2021-12-01
mcd,2021,49,1110,2021-12-08
mcd,2021,50,1047,2021-12-15
mcd,2021,51,1107,2021-12-22
mcd,2021,52,1134,2021-12-29
mcd,2022,1,1154,2022-01-05
mcd,2022,2,1168,2022-01-12
mcd,2022,3,1063,2022-01-19
mcd,2022,4,1139,2022-01-26
mcd,2022,5,1101,2022-02-02
mcd,2022,6,1059,2022-02-09
mcd,2022,7,1057,2022-02-16
mcd,2022,8,997,2022-02-23
mcd,2022,9,1029,2022-03-02
mcd,2022,10,1030,2022-03-09
mcd,2022,11,1067,2022-03-16
mcd,2022,12,997,2022-03-23
mcd,2022,13,1013,2022-03-30
mcd,2022,14,1009,2022-04-06
mcd,2022,15,1005,2022-04-13
mcd,2022,16,1053,2022-04-20
mcd,2022,17,1034,2022-04-27
mcd,2022,18,1033,2022-05-04
mcd,2022,19,1022,2022-05-11
mcd,2022,20,1060,2022-05-18
mcd,2022,21,1039,2022-05-25
mcd,2022,22,978,2022-06-01
mcd,2022,23,1059,2022-06-08
mcd,2022,24,1008,2022-06-15
mcd,2022,25,1048,2022-06-22
mcd,2022,26,1040,2022-06-29
mcd,2022,27,992,2022-07-06
mcd,2022,28,1015,2022-07-13
mcd,2022,29,1081,2022-07-20
mcd,2022,30,1053,2022-07-27
mcd,2022,31,1009,2022-08-03
mcd,2022,32,1024,2022-08-10
mcd,2022,33,970,2022-08-17
mcd,2022,34,1027,2022-08-24
mcd,2022,35,1021,2022-08-31
mcd,2022,36,1091,2022-09-07
mcd,2022,37,1042,2022-09-14
mcd,2022,38,1082,2022-09-21
mcd,2022,39,1076,2022-09-28
mcd,2022,40,1028,2022-10-05
mcd,2022,41,1045,2022-10-12
mcd,2022,42,1043,2022-10-19
mcd,2022,43,995,2022-10-26
mcd,2022,44,1094,2022-11-02
mcd,2022,45,1081,2022-11-09
mcd,2022,46,1101,2022-11-16
mcd,2022,47,1118,2022-11-23
mcd,2022,48,991,2022-11-30
mcd,2022,49,1101,2022-12-07
mcd,2022,50,1031,2022-12-14
mcd,2022,51,1056,2022-12-21
mcd,2022,52,1054,2022-12-28
mcd,2023,1,969,2023-01-04
mcd,2023,2,1017,2023-01-11
mcd,2023,3,1080,2023-01-18
mcd,2023,4,1083,2023-01-25
mcd,2023,5,1039,2023-02-01
mcd,2023,6,1076,2023-02-08
mcd,2023,7,1038,2023-02-15
mcd,2023,8,1040,2023-02-22
mcd,2023,9,1049,2023-03-01
mcd,2023,10,1061,2023-03-08
mcd,2023,11,1037,2023-03-15
mcd,2023,12,984,2023-03-22
mcd,2023,13,965,2023-03-29
mcd,2023,14,990,2023-04-05
mcd,2023,15,1020,2023-04-12
mcd,2023,16,959,2023-04-19
mcd,2023,17,1054,2023-04-26
mcd,2023,18,1060,2023-05-03
mcd,2023,19,1065,2023-05-10
mcd,2023,20,957,2023-05-17
mcd,2023,21,961,2023-05-24
mcd,2023,22,1017,2023-05-31
mcd,2023,23,1026,2023-06-07
mcd,2023,24,1052,2023-06-14
mcd,2023,25,982,2023-06-21
mcd,2023,26,1030,2023-06-28
mcd,2023,27,1012,2023-07-05
mcd,2023,28,1041,2023-07-12
mcd,2023,29,1001,2023-07-19
mcd,2023,30,1028,2023-07-26
mcd,2023,31,1078,2023-08-02
mcd,2023,32,1028,2023-08-09
mcd,2023,33,1041,2023-08-16
mcd,2023,34,1050,2023-08-23
mcd,2023,35,1042,2023-08-30
mcd,2023,36,986,2023-09-06
mcd,2023,37,1033,2023-09-13
mcd,2023,38,1029,2023-09-20
mcd,2023,39,1034,2023-09-27
mcd,2023,40,1148,2023-10-04
mcd,2023,41,1006,2023-10-11
mcd,2023,42,1029,2023-10-18
mcd,2023,43,1035,2023-10-25
mcd,2023,44,1036,2023-11-01
mcd,2023,45,1035,2023-11-08
mcd,2023,46,1040,2023-11-15
mcd,2023,47,1036,2023-11-22
mcd,2023,48,1030,2023-11-29
mcd,2023,49,1044,2023-12-06
mcd,2023,50,979,2023-12-13
mcd,2023,51,1109,2023-12-20
mcd,2023,52,1036,2023-12-27
mcd,2024,1,1033,2024-01-03
mcd,2024,2,1080,2024-01-10
mcd,2024,3,1050,2024-01-17
mcd,2024,4,1093,2024-01-24
mcd,2024,5,1059,2024-01-31
mcd,2024,6,1058,2024-02-07
mcd,2024,7,1021,2024-02-14
mcd,2024,8,1048,2024-02-21
mcd,2024,9,1010,2024-02-28
mcd,2024,10,1084,2024-03-06
mcd,2024,11,1046,2024-03-13
mcd,2024,12,1024,2024-03-20
mcd,2024,13,981,2024-03-27
mcd,2024,14,1053,2024-04-03
mcd,2024,15,1041,2024-04-10
mcd,2024,16,1003,2024-04-17
mcd,2024,17,997,2024-04-24
mcd,2024,18,1040,2024-05-01
mcd,2024,19,979,2024-05-08
mcd,2024,20,961,2024-05-15
mcd,2024,21,1044,2024-05-22
mcd,2024,22,1020,2024-05-29
mcd,2024,23,1002,2024-06-05
mcd,2024,24,968,2024-06-12
mcd,2024,25,1006,2024-06-19
mcd,2024,26,1015,2024-06-26
mcd,2024,27,1003,2024-07-03
mcd,2024,28,1037,2024-07-10
mcd,2024,29,1050,2024-07-17
mcd,2024,30,1049,2024-07-24
mcd,2024,31,1024,2024-07-31
mcd,2024,32,1039,2024-08-07
mcd,2024,33,1039,2024-08-14
mcd,2024,34,1012,2024-08-21
mcd,2024,35,1050,2024-08-28
mcd,2024,36,1001,2024-09-04
mcd,2024,37,1038,2024-09-11
mcd,2024,38,1031,2024-09-18
mcd,2024,39,1033,2024-09-25
mcd,2024,40,988,2024-10-02
mcd,2024,41,996,2024-10-09
mcd,2024,42,1002,2024-10-16
mcd,2024,43,978,2024-10-23
mcd,2024,44,1032,2024-10-30
mcd,2024,45,1025,2024-11-06
mcd,2024,46,1007,2024-11-13
mcd,2024,47,1011,2024-11-20
mcd,2024,48,1027,2024-11-27
mcd,2024,49,1066,2024-12-04
mcd,2024,50,1078,2024-12-11
mcd,2024,51,1002,2024-12-18
mcd,2024,52,1002,2024-12-25
mcd,2025,1,1042,2025-01-01
mcd,2025,2,1050,2025-01-08
mcd,2025,3,1050,2025-01-15
mcd,2025,4,1091,2025-01-22
mcd,2025,5,1073,2025-01-29
mcd,2025,6,1078,2025-02-05
mcd,2025,7,1029,2025-02-12
mcd,2025,8,1058,2025-02-19
mcd,2025,9,1016,2025-02-26
mcd,2025,10,1053,2025-03-05
mcd,2025,11,1048,2025-03-12
mcd,2025,12,1012,2025-03-19
mcd,2025,13,1002,2025-03-26
mcd,2025,14,965,2025-04-02
mcd,2025,15,999,2025-04-09
and,2020,14,17,2020-04-01
and,2020,15,23,2020-04-08
and,2020,16,30,2020-04-15
and,2020,17,30,2020-04-22
and,2020,18,24,2020-04-29
and,2020,19,20,2020-05-06
and,2020,20,22,2020-05-13
and,2020,21,16,2020-05-20
and,2020,22,25,2020-05-27
and,2020,23,21,2020-06-03
and,2020,24,20,2020-06-10
and,2020,25,10,2020-06-17
and,2020,27,12,2020-07-01
and,2020,28,15,2020-07-08
and,2020,29,26,2020-07-15
and,2020,30,17,2020-07-22
and,2020,31,23,2020-07-29
and,2020,32,24,2020-08-05
and,2020,33,26,2020-08-12
and,2020,34,13,2020-08-19
and,2020,35,14,2020-08-26
and,2020,36,16,2020-09-02
and,2020,37,13,2020-09-09
and,2020,38,18,2020-09-16
and,2020,39,13,2020-09-23
and,2020,40,15,2020-09-30
and,2020,41,11,2020-10-07
and,2020,44,18,2020-10-28
and,2020,45,15,2020-11-04
and,2020,46,21,2020-11-11
and,2020,47,28,2020-11-18
and,2020,48,34,2020-11-25
and,2020,49,36,2020-12-02
and,2020,50,58,2020-12-09
and,2020,51,42,2020-12-16
and,2020,52,59,2020-12-23
and,2020,53,63,2020-12-30
and,2021,1,57,2021-01-06
and,2021,2,68,2021-01-13
and,2021,3,59,2021-01-20
and,2021,4,53,2021-01-27
and,2021,5,54,2021-02-03
and,2021,6,44,2021-02-10
and,2021,7,41,2021-02-17
and,2021,8,27,2021-02-24
and,2021,9,35,2021-03-03
and,2021,10,24,2021-03-10
and,2021,11,24,2021-03-17
and,2021,12,15,2021-03-24
and,2021,13,17,2021-03-31
and,2021,14,22,2021-04-07
and,2021,15,18,2021-04-14
and,2021,16,23,2021-04-21
and,2021,17,18,2021-04-28
and,2021,18,21,2021-05-05
and,2021,19,25,2021-05-12
and,2021,20,24,2021-05-19
and,2021,21,14,2021-05-26
and,2021,22,15,2021-06-02
and,2021,24,14,2021-06-16
and,2021,25,11,2021-06-23
and,2021,26,12,2021-06-30
and,2021,29,12,2021-07-21
and,2021,30,21,2021-07-28
and,2021,31,18,2021-08-04
and,2021,32,30,2021-08-11
and,2021,33,35,2021-08-18
and,2021,34,34,2021-08-25
and,2021,35,45,2021-09-01
and,2021,36,44,2021-09-08
and,2021,37,61,2021-09-15
and,2021,38,36,2021-09-22
and,2021,39,44,2021-09-29
and,2021,40,39,2021-10-06
and,2021,41,35,2021-10-13
and,2021,42,27,2021-10-20
and,2021,43,35,2021-10-27
and,2021,44,22,2021-11-03
and,2021,45,27,2021-11-10
and,2021,46,29,2021-11-17
and,2021,47,22,2021-11-24
and,2021,48,38,2021-12-01
and,2021,49,28,2021-12-08
and,2021,50,27,2021-12-15
and,2021,51,44,2021-12-22
and,2021,52,49,2021-12-29
and,2022,1,58,2022-01-05
and,2022,2,92,2022-01-12
and,2022,3,95,2022-01-19
and,2022,4,119,2022-01-26
